country,year,expenditure on education (% GDP)
Austria,1995,5.5
Austria,1996,5.5
Austria,1997,5.4
Austria,1998,5.3
Austria,1999,5.4
Austria,2000,5.2
Austria,2001,5.2
Austria,2002,5.2
Austria,2003,5.3
Austria,2004,4.9
Austria,2005,4.8
Austria,2006,4.8
Austria,2007,4.7
Austria,2008,4.8
Austria,2009,5.1
Austria,2010,5.1
Austria,2011,5
Austria,2012,5
Austria,2013,5
Austria,2014,4.9
Austria,2015,4.9
Austria,2016,4.9
Austria,2017,4.8
Belgium,1995,5.8
Belgium,1996,5.9
Belgium,1997,5.8
Belgium,1998,5.8
Belgium,1999,5.7
Belgium,2000,5.5
Belgium,2001,5.6
Belgium,2002,5.8
Belgium,2003,5.9
Belgium,2004,5.6
Belgium,2005,5.7
Belgium,2006,5.6
Belgium,2007,5.5
Belgium,2008,5.7
Belgium,2009,6
Belgium,2010,6
Belgium,2011,6.2
Belgium,2012,6.2
Belgium,2013,6.4
Belgium,2014,6.4
Belgium,2015,6.4
Belgium,2016,6.3
Belgium,2017,6.3
Bulgaria,1995,3.6
Bulgaria,1996,3.3
Bulgaria,1997,3.3
Bulgaria,1998,3.3
Bulgaria,1999,4.2
Bulgaria,2000,4.2
Bulgaria,2001,3.7
Bulgaria,2002,3.8
Bulgaria,2003,4.2
Bulgaria,2004,4
Bulgaria,2005,4.2
Bulgaria,2006,3.6
Bulgaria,2007,3.6
Bulgaria,2008,4
Bulgaria,2009,4.1
Bulgaria,2010,3.6
Bulgaria,2011,3.4
Bulgaria,2012,3.3
Bulgaria,2013,3.7
Bulgaria,2014,4.1
Bulgaria,2015,4
Bulgaria,2016,3.4
Bulgaria,2017,3.6
Switzerland,1995,5.4
Switzerland,1996,5.5
Switzerland,1997,5.4
Switzerland,1998,5.3
Switzerland,1999,5.3
Switzerland,2000,5.2
Switzerland,2001,5.3
Switzerland,2002,5.6
Switzerland,2003,5.7
Switzerland,2004,5.5
Switzerland,2005,5.4
Switzerland,2006,5.2
Switzerland,2007,4.9
Switzerland,2008,5
Switzerland,2009,5.4
Switzerland,2010,5.3
Switzerland,2011,5.3
Switzerland,2012,5.5
Switzerland,2013,5.5
Switzerland,2014,5.5
Switzerland,2015,5.6
Switzerland,2016,5.6
Switzerland,2017,5.6
Cyprus,1995,4.8
Cyprus,1996,5
Cyprus,1997,5.2
Cyprus,1998,5.2
Cyprus,1999,5.2
Cyprus,2000,5.2
Cyprus,2001,5.2
Cyprus,2002,5.5
Cyprus,2003,6.2
Cyprus,2004,6
Cyprus,2005,5.9
Cyprus,2006,5.9
Cyprus,2007,5.9
Cyprus,2008,6.3
Cyprus,2009,6.7
Cyprus,2010,6.9
Cyprus,2011,6.7
Cyprus,2012,6.3
Cyprus,2013,6.8
Cyprus,2014,6
Cyprus,2015,6
Cyprus,2016,5.9
Cyprus,2017,5.7
Czechia,1995,5.3
Czechia,1996,4.7
Czechia,1997,4.6
Czechia,1998,4.5
Czechia,1999,4.2
Czechia,2000,4.4
Czechia,2001,4.5
Czechia,2002,4.9
Czechia,2003,5.2
Czechia,2004,4.8
Czechia,2005,4.8
Czechia,2006,4.9
Czechia,2007,4.7
Czechia,2008,4.7
Czechia,2009,5.1
Czechia,2010,5.1
Czechia,2011,5.1
Czechia,2012,5
Czechia,2013,5.1
Czechia,2014,5.1
Czechia,2015,4.9
Czechia,2016,4.5
Czechia,2017,4.6
Germany (until 1990 former territory of the FRG),1995,4.4
Germany (until 1990 former territory of the FRG),1996,4.5
Germany (until 1990 former territory of the FRG),1997,4.4
Germany (until 1990 former territory of the FRG),1998,4.4
Germany (until 1990 former territory of the FRG),1999,4.4
Germany (until 1990 former territory of the FRG),2000,4
Germany (until 1990 former territory of the FRG),2001,4.1
Germany (until 1990 former territory of the FRG),2002,4.1
Germany (until 1990 former territory of the FRG),2003,4.1
Germany (until 1990 former territory of the FRG),2004,4.1
Germany (until 1990 former territory of the FRG),2005,4.1
Germany (until 1990 former territory of the FRG),2006,4
Germany (until 1990 former territory of the FRG),2007,3.9
Germany (until 1990 former territory of the FRG),2008,3.9
Germany (until 1990 former territory of the FRG),2009,4.3
Germany (until 1990 former territory of the FRG),2010,4.4
Germany (until 1990 former territory of the FRG),2011,4.3
Germany (until 1990 former territory of the FRG),2012,4.2
Germany (until 1990 former territory of the FRG),2013,4.3
Germany (until 1990 former territory of the FRG),2014,4.2
Germany (until 1990 former territory of the FRG),2015,4.2
Germany (until 1990 former territory of the FRG),2016,4.1
Germany (until 1990 former territory of the FRG),2017,4.1
Denmark,1995,6.4
Denmark,1996,6.4
Denmark,1997,6.4
Denmark,1998,6.7
Denmark,1999,6.5
Denmark,2000,6.3
Denmark,2001,6.4
Denmark,2002,6.6
Denmark,2003,6.6
Denmark,2004,6.6
Denmark,2005,6.4
Denmark,2006,6.2
Denmark,2007,5.9
Denmark,2008,6.1
Denmark,2009,6.9
Denmark,2010,7.1
Denmark,2011,6.8
Denmark,2012,7
Denmark,2013,6.9
Denmark,2014,7.1
Denmark,2015,7
Denmark,2016,6.8
Denmark,2017,6.5
Euro area (11 countries),1995,4.9
Euro area (11 countries),1996,5
Euro area (11 countries),1997,4.9
Euro area (11 countries),1998,4.8
Euro area (11 countries),1999,4.8
Euro area (11 countries),2000,4.7
Euro area (11 countries),2001,4.7
Euro area (11 countries),2002,4.8
Euro area (11 countries),2003,4.8
Euro area (11 countries),2004,4.7
Euro area (11 countries),2005,4.7
Euro area (11 countries),2006,4.7
Euro area (11 countries),2007,4.6
Euro area (11 countries),2008,4.6
Euro area (11 countries),2009,5
Euro area (11 countries),2010,4.9
Euro area (11 countries),2011,4.8
Euro area (11 countries),2012,4.7
Euro area (11 countries),2013,4.8
Euro area (11 countries),2014,4.7
Euro area (11 countries),2015,4.6
Euro area (11 countries),2016,4.6
Euro area (11 countries),2017,4.5
Euro area (12 countries),1995,4.9
Euro area (12 countries),1996,4.9
Euro area (12 countries),1997,4.9
Euro area (12 countries),1998,4.8
Euro area (12 countries),1999,4.8
Euro area (12 countries),2000,4.7
Euro area (12 countries),2001,4.7
Euro area (12 countries),2002,4.8
Euro area (12 countries),2003,4.8
Euro area (12 countries),2004,4.7
Euro area (12 countries),2005,4.7
Euro area (12 countries),2006,4.6
Euro area (12 countries),2007,4.6
Euro area (12 countries),2008,4.6
Euro area (12 countries),2009,5
Euro area (12 countries),2010,4.9
Euro area (12 countries),2011,4.8
Euro area (12 countries),2012,4.7
Euro area (12 countries),2013,4.8
Euro area (12 countries),2014,4.7
Euro area (12 countries),2015,4.6
Euro area (12 countries),2016,4.6
Euro area (12 countries),2017,4.5
Euro area (13 countries),1995,NA
Euro area (13 countries),1996,NA
Euro area (13 countries),1997,NA
Euro area (13 countries),1998,NA
Euro area (13 countries),1999,4.8
Euro area (13 countries),2000,4.7
Euro area (13 countries),2001,4.7
Euro area (13 countries),2002,4.8
Euro area (13 countries),2003,4.8
Euro area (13 countries),2004,4.7
Euro area (13 countries),2005,4.7
Euro area (13 countries),2006,4.6
Euro area (13 countries),2007,4.6
Euro area (13 countries),2008,4.6
Euro area (13 countries),2009,5
Euro area (13 countries),2010,4.9
Euro area (13 countries),2011,4.8
