iso3,country,employment_in_industry,year,indicator,indicator.label,note_source.label
ALB,Albania,10.19,1995,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
ALB,Albania,9.59,1996,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
ALB,Albania,9.3,1997,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
ALB,Albania,8.76,1998,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
ALB,Albania,8.73,1999,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
ALB,Albania,6.65,2000,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
ALB,Albania,6.49,2001,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
ALB,Albania,13.7,2002,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
ALB,Albania,13.39,2003,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
ALB,Albania,13.64,2004,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
ALB,Albania,13.52,2005,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
ALB,Albania,13.48,2006,EMP_TIND_NOC_RT,Share of industry in total employment (%),NA
ALB,Albania,22.55,2007,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,17.77,2008,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,19.94,2009,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,20.59,2010,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,18.86,2011,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,17.26,2012,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,16.81,2013,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,17.44,2014,EMP_TIND_NOC_RT,Share of industry in total employment (%),Population coverage: Excluding both institutional population and armed forces and/or conscripts
ALB,Albania,18.57,2015,EMP_TIND_NOC_RT,Share of industry in total employment (%),Population coverage: Excluding both institutional population and armed forces and/or conscripts
ALB,Albania,19.35,2017,EMP_TIND_NOC_RT,Share of industry in total employment (%),Employment definition: Excluding own-use production workers | Population coverage: Excluding both institutional population and armed forces and/or conscripts
ARM,Armenia,16.97,2002,EMP_TIND_NOC_RT,Share of industry in total employment (%),Population coverage: Excluding armed forces and/or conscripts
ARM,Armenia,18.97,2007,EMP_TIND_NOC_RT,Share of industry in total employment (%),Population coverage: Including armed forces and/or conscripts | Age coverage - minimum age: 16 years old
ARM,Armenia,22.31,2008,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,17.08,2009,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,17.41,2010,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,16.68,2011,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,17.68,2012,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,17,2013,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,16.73,2014,EMP_TIND_NOC_RT,Share of industry in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
