iso3,country,emp_pop_ratio,year,indicator,indicator.label,source.label
ALB,Albania,52.295,1995,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,51.537,1996,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,52.158,1997,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,51.912,1998,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,51.327,1999,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,51.599,2000,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,51.32,2001,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,50.866,2002,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,49.819,2003,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,48.908,2004,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,48.132,2005,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,47.541,2006,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,46.994,2007,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,47.866,2008,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,47.077,2009,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,46.626,2010,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,48.204,2011,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,49.76,2012,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,45.14,2013,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,44.851,2014,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,46.809,2015,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,47.725,2016,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,48.458,2017,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ALB,Albania,48.269,2018,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ALB - ILO - ILO modelled estimates
ARM,Armenia,54.235,1995,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,52.407,1996,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,51.236,1997,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,51.734,1998,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,50.403,1999,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,50.067,2000,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,49.788,2001,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
ARM,Armenia,49.575,2002,EMP_2WAP_NOC_RT,"Employment-to-population ratio -- ILO modelled estimates, November 2018 (%)",ARM - ILO - ILO modelled estimates
