iso3,country,participation_rate,year,indicator,indicator.label,note_source.label
ALB,Albania,40.3,1995,EAP_DWAP_NOC_RT,Labour force participation rate (%),NA
ALB,Albania,59.61,2002,EAP_DWAP_NOC_RT,Labour force participation rate (%),NA
ALB,Albania,35,2003,EAP_DWAP_NOC_RT,Labour force participation rate (%),Population coverage: Excluding both institutional population and armed forces and/or conscripts
ALB,Albania,34.79,2004,EAP_DWAP_NOC_RT,Labour force participation rate (%),Population coverage: Excluding both institutional population and armed forces and/or conscripts
ALB,Albania,34.5,2005,EAP_DWAP_NOC_RT,Labour force participation rate (%),Population coverage: Excluding both institutional population and armed forces and/or conscripts
ALB,Albania,34.45,2006,EAP_DWAP_NOC_RT,Labour force participation rate (%),Population coverage: Excluding both institutional population and armed forces and/or conscripts
ALB,Albania,48.7278,2007,EAP_DWAP_NOC_RT,Labour force participation rate (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,53.1922,2008,EAP_DWAP_NOC_RT,Labour force participation rate (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,54.9928,2009,EAP_DWAP_NOC_RT,Labour force participation rate (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,55.2018,2010,EAP_DWAP_NOC_RT,Labour force participation rate (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,59.9375,2011,EAP_DWAP_NOC_RT,Labour force participation rate (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,56.9948,2012,EAP_DWAP_NOC_RT,Labour force participation rate (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,52.4181,2013,EAP_DWAP_NOC_RT,Labour force participation rate (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,53.7,2014,EAP_DWAP_NOC_RT,Labour force participation rate (%),Population coverage: Excluding both institutional population and armed forces and/or conscripts
ALB,Albania,55.661318191,2015,EAP_DWAP_NOC_RT,Labour force participation rate (%),Population coverage: Excluding both institutional population and armed forces and/or conscripts
ALB,Albania,58.3,2017,EAP_DWAP_NOC_RT,Labour force participation rate (%),Employment definition: Excluding own-use production workers | Population coverage: Excluding both institutional population and armed forces and/or conscripts
