iso3,country,unemployment_rate,year,indicator,indicator.label,note_source.label
ALB,Albania,12.9,1995,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December
ALB,Albania,12.3,1996,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December
ALB,Albania,14.9,1997,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December
ALB,Albania,17.7,1998,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December
ALB,Albania,18.4,1999,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December
ALB,Albania,16.8,2000,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December
ALB,Albania,16.4,2001,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December
ALB,Albania,15.8,2002,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December
ALB,Albania,15,2003,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December
ALB,Albania,14.4,2004,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December
ALB,Albania,14.1,2005,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December
ALB,Albania,13.8,2006,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December
ALB,Albania,15.9663,2007,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,13.0599,2008,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,13.6739,2009,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,14.086,2010,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,13.4809,2011,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,13.3759,2012,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,15.8659,2013,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,17.49,2014,UNE_DEAP_NOC_RT,Unemployment rate (%),Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 74 years old
ALB,Albania,17.082631856,2015,UNE_DEAP_NOC_RT,Unemployment rate (%),Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 74 years old
ALB,Albania,13.7,2017,UNE_DEAP_NOC_RT,Unemployment rate (%),Employment definition: Excluding own-use production workers | Population coverage: Excluding both institutional population and armed forces and/or conscripts
ARM,Armenia,9.8123,2007,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,22.9738,2008,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,18.4363,2009,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,19.008,2010,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,18.4429,2011,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,17.3013,2012,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,16.1789,2013,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,17.4985,2014,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,18.261,2015,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,17.6172,2016,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,17.7045,2017,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
AUT,Austria,4.3473,1995,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,5.2813,1996,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,5.1495,1997,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,5.5226,1998,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,4.6977,1999,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,4.6872,2000,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,4.007,2001,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,4.8493,2002,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,4.7785,2003,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,5.8342,2004,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,5.6275,2005,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,5.2428,2006,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,4.8579,2007,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,4.1281,2008,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,5.3014,2009,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,4.82,2010,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,4.5638,2011,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,4.865,2012,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,5.3348,2013,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,5.6197,2014,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,5.7227,2015,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,6.0138,2016,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,5.499,2017,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AUT,Austria,4.848,2018,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
AZE,Azerbaijan,0.8,1995,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
AZE,Azerbaijan,0.9,1996,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
AZE,Azerbaijan,1.03,1997,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
AZE,Azerbaijan,1.13,1998,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
AZE,Azerbaijan,16.25,1999,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: January | Age coverage - minimum age: 16 years old
AZE,Azerbaijan,1.2,2000,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
AZE,Azerbaijan,1.3,2001,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
AZE,Azerbaijan,1.3,2002,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
AZE,Azerbaijan,10.7,2003,UNE_DEAP_NOC_RT,Unemployment rate (%),Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
AZE,Azerbaijan,8.4,2004,UNE_DEAP_NOC_RT,Unemployment rate (%),Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
AZE,Azerbaijan,7.6,2005,UNE_DEAP_NOC_RT,Unemployment rate (%),Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
AZE,Azerbaijan,6.8,2006,UNE_DEAP_NOC_RT,Unemployment rate (%),Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
AZE,Azerbaijan,6.54,2007,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 for males and 59 for females
AZE,Azerbaijan,6.05,2008,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 for males and 59 for females
AZE,Azerbaijan,5.74,2009,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
AZE,Azerbaijan,5.63,2010,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 for males and 59 for females
AZE,Azerbaijan,5.42,2011,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 for males and 59 for females
AZE,Azerbaijan,5.19,2012,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 for males and 59 for females
AZE,Azerbaijan,4.97,2013,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 for males and 59 for females
AZE,Azerbaijan,4.91,2014,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 for males and 59 for females
AZE,Azerbaijan,4.96,2015,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 for males and 59 for females
AZE,Azerbaijan,5.04,2016,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 62 for males and 59 for females
AZE,Azerbaijan,4.96,2017,UNE_DEAP_NOC_RT,Unemployment rate (%),Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 62.5 for men and 59.5 for women
AZE,Azerbaijan,4.94,2018,UNE_DEAP_NOC_RT,Unemployment rate (%),Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
BLR,Belarus,2.9,1995,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,4,1996,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,2.8,1997,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,2.3,1998,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,2.1,1999,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,2.1,2000,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,2.3,2001,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,3,2002,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,3.1,2003,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
