"Reference Period","Country","1990","1995","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Gender pay gap as difference in monthly earnings","Albania",..,..,..,..,..,..,..,..,..,..,14.7,11.5,..,..,..,..,10.1,11.5,11.4,10.5,..
"Gender pay gap as difference in monthly earnings","Armenia",..,..,48.1,54.2,59.3,57.9,46.6,42.5,40.8,40.8,41.8,39.2,35.9,35.3,35.6,34.4,34.1,33.5,33.6,32.5,..
"Gender pay gap as difference in monthly earnings","Austria",..,..,..,..,..,..,34.6,34.1,34.2,36.7,35.3,36.7,33.9,33.6,36.3,36.1,35.1,35.2,34.3,33.9,..
"Gender pay gap as difference in monthly earnings","Azerbaijan",..,..,54.0,58.0,57.2,55.2,55.9,53.8,52.6,49.5,43.2,41.4,45.2,48.9,53.1,52.5,45.3,46.1,49.7,49.4,..
"Gender pay gap as difference in monthly earnings","Belarus",..,20.9,19.0,17.3,19.1,20.6,18.9,20.9,20.1,21.6,26.1,25.4,23.4,26.3,25.5,25.5,23.4,23.8,21.5,25.4,..
"Gender pay gap as difference in monthly earnings","Belgium",..,..,26.5,26.0,25.5,25.5,25.2,24.7,23.6,23.5,22.9,21.9,21.7,21.1,20.4,20.2,20.2,20.0,20.2,..,..
"Gender pay gap as difference in monthly earnings","Bulgaria",..,..,24.2,23.4,21.7,18.8,17.4,17.7,16.8,16.6,17.9,19.2,19.4,19.3,20.5,19.7,20.1,21.2,20.1,20.1,..
"Gender pay gap as difference in monthly earnings","Canada",..,..,30.6,30.2,29.4,28.9,27.9,27.3,27.2,26.9,27.0,25.8,25.8,24.8,24.9,24.7,24.7,24.4,23.8,23.3,..
"Gender pay gap as difference in monthly earnings","Croatia",..,..,..,..,..,10.5,10.7,10.6,11.0,10.8,11.1,10.6,10.2,10.0,9.8,10.2,11.3,11.3,13.2,..,..
"Gender pay gap as difference in monthly earnings","Cyprus",..,..,..,..,25.9,..,..,..,25.1,..,..,..,19.5,..,..,..,15.1,..,..,..,..
"Gender pay gap as difference in monthly earnings","Czechia",..,..,29.9,28.6,25.4,25.4,25.1,24.9,24.6,24.8,25.9,25.2,24.9,22.2,22.1,21.7,21.9,21.9,21.1,20.7,..
"Gender pay gap as difference in monthly earnings","Denmark",..,..,..,..,..,..,..,..,21.4,..,..,..,19.6,..,..,..,..,..,..,..,..
"Gender pay gap as difference in monthly earnings","Estonia",..,..,..,..,..,..,33.2,31.2,32.7,31.0,30.9,27.9,31.1,31.0,33.8,30.7,23.6,25.0,22.7,23.8,..
"Gender pay gap as difference in monthly earnings","Finland",..,21.4,21.2,19.8,19.6,19.6,19.1,19.1,19.8,19.8,19.2,18.9,18.5,18.0,18.1,17.8,17.2,17.0,17.3,16.7,..
"Gender pay gap as difference in monthly earnings","France",..,..,..,..,..,..,..,..,18.1,..,..,..,23.8,..,..,..,23.4,..,..,..,..
"Gender pay gap as difference in monthly earnings","Georgia",..,..,45.7,49.3,49.6,47.4,46.1,51.0,50.9,49.5,45.8,42.3,42.6,40.3,39.8,36.4,36.9,35.5,34.5,35.7,..
"Gender pay gap as difference in monthly earnings","Germany",..,..,..,..,..,..,..,..,20.9,..,..,..,19.0,..,..,..,18.1,..,..,..,..
"Gender pay gap as difference in monthly earnings","Greece",..,..,..,..,..,..,..,..,23.8,..,..,..,17.8,..,..,..,..,..,..,..,..
"Gender pay gap as difference in monthly earnings","Hungary",..,..,..,..,..,..,..,..,16.6,18.5,18.9,18.4,19.3,19.6,22.2,20.7,17.3,17.0,17.6,..,..
"Gender pay gap as difference in monthly earnings","Iceland",..,..,35.4,34.2,32.4,31.8,31.5,30.6,30.7,30.8,28.3,23.8,22.7,23.0,22.7,22.7,21.9,21.0,21.8,19.9,..
"Gender pay gap as difference in monthly earnings","Ireland",..,..,..,..,..,..,..,..,..,..,..,..,..,24.2,24.6,25.7,26.0,..,..,..,..
"Gender pay gap as difference in monthly earnings","Israel",43.2,39.6,38.5,40.3,38.5,37.8,36.7,36.8,36.6,35.8,36.9,34.1,34.3,33.9,32.6,31.9,33.1,32.8,34.6,31.4,..
"Gender pay gap as difference in monthly earnings","Italy",..,..,..,..,..,..,..,..,26.4,27.0,24.8,25.1,14.6,..,..,..,17.5,..,..,..,..
"Gender pay gap as difference in monthly earnings","Kazakhstan",..,..,38.5,41.3,38.3,39.2,38.1,38.9,37.7,34.2,36.2,33.8,34.0,32.0,30.5,32.2,33.0,34.1,31.4,32.2,..
"Gender pay gap as difference in monthly earnings","Kyrgyzstan",..,..,32.4,36.9,35.1,35.9,33.4,37.5,34.2,32.7,32.7,36.1,36.4,21.6,25.7,26.7,28.9,24.5,24.7,27.5,..
"Gender pay gap as difference in monthly earnings","Latvia",..,22.0,21.1,19.8,18.5,17.0,15.3,18.1,17.6,16.1,15.1,16.0,18.4,16.5,16.8,16.9,17.0,16.1,17.1,15.3,..
"Gender pay gap as difference in monthly earnings","Lithuania",..,29.7,18.3,18.5,18.8,19.0,18.7,17.6,17.8,20.7,19.1,12.8,14.3,13.5,13.5,14.3,15.0,15.5,15.6,15.1,..
"Gender pay gap as difference in monthly earnings","Luxembourg",..,..,19.1,18.9,19.9,19.8,19.4,19.2,18.7,17.7,17.3,..,..,..,..,..,7.8,..,..,7.6,..
