"Field of Study","Type of Programme","Sex","Measurement","Country","1990-1991","1995-1996","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018"
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Albania",27461,30086,40859,42160,43600,52609,63257,74157,86863,90606,93139,122326,134877,160839,173029,173819,160527,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Armenia",69470,40326,90417,99761,104891,108750,115475,127499,135725,141407,146224,146125,141455,121265,116036,113957,106966,107775,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Austria",205767,238981,323192,283480,229802,238521,244410,253139,260975,284791,308150,350190,361797,376498,418228,421225,425972,431125,430370,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Azerbaijan",163901,118105,120693,121475,121156,122770,128634,131507,181937,180298,180276,180727,181057,184834,187590,195401,..,..,..,200609
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Belarus",335294,322985,437995,463544,488650,507360,528508,544328,556893,544434,554060,568772,584846,587958,562168,517578,477221,443997,418745,389327
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Belgium",276248,358214,359265,366982,374532,386110,389547,394427,393687,401652,425219,445309,462419,477712,488488,495910,504745,508270,526760,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Bosnia and Herzegovina",..,..,63425,64629,70671,77009,84422,91263,99557,104938,105488,105137,107537,107083,112607,111970,108475,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Bulgaria",188479,250336,247006,228394,230513,228468,237909,243464,258692,264463,274247,287086,285265,284995,283959,283294,278953,266707,249937,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Croatia",72342,86357,104168,112537,121722,126322,134658,136646,139996,143410,139069,140573,153960,157289,164623,165161,162022,162017,165197,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Cyprus",6554,8874,11934,13927,18272,20849,20078,20587,22227,25688,30986,32233,32118,31772,31965,33674,37166,40347,45263,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Czechia",118194,191604,260044,284485,287013,318858,336307,338009,363277,392540,416847,437354,446158,440230,427441,418624,395529,371948,352873,..
