country,year,Female,Male,gender_parity_in_life_expectancy_at_birth
Albania,1990,75.9,69.6,1.1
Albania,1995,78.5,71.7,1.1
Albania,2000,78.2,72.2,1.1
Albania,2001,80.4,74.1,1.1
Albania,2002,79.2,73.8,1.1
Albania,2003,78.4,73.3,1.1
Albania,2004,78.9,73.7,1.1
Albania,2005,78.6,72.1,1.1
Albania,2006,78,73.9,1.1
Albania,2007,NA,NA,NA
Albania,2008,77.8,72.9,1.1
Albania,2009,77.8,73.4,1.1
Albania,2010,79.3,74.7,1.1
Albania,2011,79.8,75.3,1.1
Albania,2012,79.7,75.5,1.1
Albania,2013,80,76,1.1
Albania,2014,80.3,76.4,1.1
Albania,2015,79.7,76.2,1
Albania,2016,80.1,77.1,1
Albania,2017,80.1,77.1,1
Armenia,1990,73.4,67.9,1.1
Armenia,1995,74.7,66.5,1.1
Armenia,2000,75.8,70.1,1.1
Armenia,2001,76.1,70,1.1
Armenia,2002,75.9,69.9,1.1
Armenia,2003,75.9,69.9,1.1
Armenia,2004,76.1,70.1,1.1
Armenia,2005,76.2,70.1,1.1
Armenia,2006,76,69.8,1.1
Armenia,2007,76.1,69.8,1.1
Armenia,2008,76.3,70,1.1
Armenia,2009,76.3,70,1.1
Armenia,2010,76.4,70.1,1.1
Armenia,2011,77.3,70.5,1.1
Armenia,2012,77.5,70.9,1.1
Armenia,2013,77.9,71.5,1.1
Armenia,2014,78.1,71.8,1.1
Armenia,2015,78.2,71.7,1.1
Armenia,2016,78.3,71.6,1.1
Armenia,2017,78.7,71.9,1.1
Austria,1990,79,72.3,1.1
Austria,1995,80.1,73.4,1.1
Austria,2000,81.2,75.2,1.1
Austria,2001,81.7,75.6,1.1
Austria,2002,81.7,75.8,1.1
Austria,2003,81.5,75.9,1.1
Austria,2004,82.1,76.4,1.1
Austria,2005,82.2,76.6,1.1
Austria,2006,82.8,77.1,1.1
Austria,2007,83.1,77.4,1.1
Austria,2008,83.3,77.7,1.1
Austria,2009,83.2,77.6,1.1
Austria,2010,83.5,77.8,1.1
Austria,2011,83.8,78.3,1.1
Austria,2012,83.6,78.4,1.1
Austria,2013,83.8,78.6,1.1
Austria,2014,84,79.1,1.1
Austria,2015,83.7,78.8,1.1
Austria,2016,84.1,79.3,1.1
Austria,2017,84,79.4,1.1
Azerbaijan,1990,74.8,67,1.1
Azerbaijan,1995,72.9,65.2,1.1
Azerbaijan,2000,75.1,68.6,1.1
Azerbaijan,2001,75.2,68.6,1.1
Azerbaijan,2002,75,69.4,1.1
Azerbaijan,2003,75.1,69.5,1.1
Azerbaijan,2004,75.2,69.6,1.1
Azerbaijan,2005,75.1,69.6,1.1
Azerbaijan,2006,75.1,69.6,1.1
Azerbaijan,2007,75.8,70.1,1.1
Azerbaijan,2008,76.1,70.8,1.1
Azerbaijan,2009,76.1,70.9,1.1
Azerbaijan,2010,76.2,70.9,1.1
Azerbaijan,2011,76.5,71.2,1.1
Azerbaijan,2012,76.6,71.3,1.1
Azerbaijan,2013,76.8,71.6,1.1
Azerbaijan,2014,76.8,71.6,1.1
Azerbaijan,2015,77.6,72.7,1.1
Azerbaijan,2016,77.6,72.8,1.1
Azerbaijan,2017,77.8,73.1,1.1
Belarus,1990,75.6,66.3,1.1
Belarus,1995,74.3,62.9,1.2
Belarus,2000,74.7,63.4,1.2
Belarus,2001,74.5,62.8,1.2
Belarus,2002,74.1,62.3,1.2
Belarus,2003,74.7,62.7,1.2
Belarus,2004,75,63.2,1.2
Belarus,2005,75.1,62.9,1.2
Belarus,2006,75.5,63.6,1.2
Belarus,2007,76.2,64.5,1.2
Belarus,2008,76.5,64.7,1.2
Belarus,2009,76.4,64.7,1.2
Belarus,2010,76.5,64.6,1.2
Belarus,2011,76.7,64.7,1.2
Belarus,2012,77.6,66.6,1.2
Belarus,2013,77.9,67.3,1.2
Belarus,2014,78.4,67.8,1.2
Belarus,2015,78.9,68.6,1.2
Belarus,2016,79,68.9,1.1
Belarus,2017,79.2,69.3,1.1
Belgium,1990,79.5,72.7,1.1
Belgium,1995,80.4,73.5,1.1
Belgium,2000,81,74.6,1.1
Belgium,2001,81.2,74.9,1.1
Belgium,2002,81.2,75.1,1.1
Belgium,2003,81.1,75.3,1.1
Belgium,2004,81.9,76,1.1
Belgium,2005,81.9,76.2,1.1
Belgium,2006,82.3,76.6,1.1
Belgium,2007,82.6,77.1,1.1
Belgium,2008,82.6,76.9,1.1
Belgium,2009,82.8,77.4,1.1
Belgium,2010,83,77.5,1.1
Belgium,2011,83.3,78,1.1
Belgium,2012,83.1,77.8,1.1
Belgium,2013,83.2,78.1,1.1
Belgium,2014,83.9,78.8,1.1
Belgium,2015,83.4,78.7,1.1
Belgium,2016,84,79,1.1
Belgium,2017,83.9,79.2,1.1
Bosnia and Herzegovina,1990,75.2,69.7,1.1
Bosnia and Herzegovina,1995,75.1,69.5,1.1
Bosnia and Herzegovina,2000,76.7,71.3,1.1
Bosnia and Herzegovina,2001,76.7,71.3,1.1
Bosnia and Herzegovina,2002,76.7,71.3,1.1
Bosnia and Herzegovina,2003,76.7,71.3,1.1
Bosnia and Herzegovina,2004,76.7,71.3,1.1
Bosnia and Herzegovina,2005,77.5,72.1,1.1
Bosnia and Herzegovina,2006,78.1,72.9,1.1
Bosnia and Herzegovina,2007,78.1,72.9,1.1
Bosnia and Herzegovina,2008,78.1,72.9,1.1
Bosnia and Herzegovina,2009,78.1,72.9,1.1
Bosnia and Herzegovina,2010,78.1,72.9,1.1
Bosnia and Herzegovina,2011,78.8,73.7,1.1
Bosnia and Herzegovina,2012,78.8,73.7,1.1
Bosnia and Herzegovina,2013,78.8,73.7,1.1
Bosnia and Herzegovina,2014,78.8,73.7,1.1
Bosnia and Herzegovina,2015,78.8,73.7,1.1
Bosnia and Herzegovina,2016,79.6,74.6,1.1
Bosnia and Herzegovina,2017,79.6,74.6,1.1
Bulgaria,1990,74.7,68,1.1
Bulgaria,1995,74.9,67.4,1.1
Bulgaria,2000,75,68.4,1.1
Bulgaria,2001,75.4,68.6,1.1
Bulgaria,2002,75.5,68.8,1.1
Bulgaria,2003,75.9,68.9,1.1
Bulgaria,2004,76.2,69,1.1
Bulgaria,2005,76.2,69,1.1
Bulgaria,2006,76.3,69.2,1.1
Bulgaria,2007,76.6,69.5,1.1
Bulgaria,2008,77,69.8,1.1
Bulgaria,2009,77.4,70.2,1.1
Bulgaria,2010,77.4,70.3,1.1
Bulgaria,2011,77.8,70.7,1.1
Bulgaria,2012,77.9,70.9,1.1
Bulgaria,2013,78.6,71.3,1.1
Bulgaria,2014,78,71.1,1.1
Bulgaria,2015,78.2,71.2,1.1
Bulgaria,2016,78.5,71.3,1.1
Bulgaria,2017,78.4,71.4,1.1
Croatia,1990,76,68.6,1.1
Croatia,1995,77.2,67.1,1.2
Croatia,2000,76.7,69.1,1.1
