country,year,mean_age_of_men_at_first_marriage
Albania,1995,27.8
Albania,2000,NA
Albania,2001,28.2
Albania,2002,28.2
Albania,2003,28.9
Albania,2004,29.2
Albania,2005,28.5
Albania,2006,28.5
Albania,2007,27.7
Albania,2008,28.1
Albania,2009,29.2
Albania,2010,29.2
Albania,2011,29.3
Albania,2012,29.1
Albania,2013,30.5
Albania,2014,29.5
Albania,2015,NA
Armenia,1995,26.3
Armenia,2000,27.1
Armenia,2001,26.9
Armenia,2002,26.9
Armenia,2003,27.4
Armenia,2004,27.5
Armenia,2005,28
Armenia,2006,28.2
Armenia,2007,28.3
Armenia,2008,28.4
Armenia,2009,28.1
Armenia,2010,28.4
Armenia,2011,29
Armenia,2012,28.8
Armenia,2013,29.1
Armenia,2014,29.4
Armenia,2015,NA
Austria,1995,28.2
Austria,2000,29.8
Austria,2001,30
Austria,2002,30.2
Austria,2003,30.4
Austria,2004,30.6
Austria,2005,30.9
Austria,2006,31.4
Austria,2007,31.6
Austria,2008,31.7
Austria,2009,31.8
Austria,2010,31.9
Austria,2011,32
Austria,2012,32.2
Austria,2013,32.2
Austria,2014,32.4
Austria,2015,32.6
Azerbaijan,1995,26.5
Azerbaijan,2000,27.3
Azerbaijan,2001,27.3
Azerbaijan,2002,27.6
Azerbaijan,2003,27.6
Azerbaijan,2004,27.5
Azerbaijan,2005,27.5
Azerbaijan,2006,27.5
Azerbaijan,2007,27.4
Azerbaijan,2008,27.3
Azerbaijan,2009,27.3
Azerbaijan,2010,27.3
Azerbaijan,2011,27.6
Azerbaijan,2012,27.6
Azerbaijan,2013,27.7
Azerbaijan,2014,27.6
Azerbaijan,2015,NA
Belarus,1995,23.7
Belarus,2000,25
Belarus,2001,25.1
Belarus,2002,25.3
Belarus,2003,25.4
Belarus,2004,25.6
Belarus,2005,25.7
Belarus,2006,25.8
Belarus,2007,25.9
Belarus,2008,26
Belarus,2009,26.4
Belarus,2010,26.5
Belarus,2011,26.6
Belarus,2012,26.7
Belarus,2013,27.1
Belarus,2014,27.4
Belarus,2015,NA
Belgium,1995,27.2
Belgium,2000,28.3
Belgium,2001,28.6
Belgium,2002,28.8
Belgium,2003,29.3
Belgium,2004,29.7
Belgium,2005,29.8
Belgium,2006,30.3
Belgium,2007,30.4
Belgium,2008,30.8
Belgium,2009,31.1
Belgium,2010,31
Belgium,2011,31.3
Belgium,2012,31.6
Belgium,2013,31.8
Belgium,2014,32.1
Belgium,2015,32.3
Bosnia and Herzegovina,1995,NA
Bosnia and Herzegovina,2000,27.9
Bosnia and Herzegovina,2001,27.8
