country,year,"expenditures, active (%)"
European Union (28 countries),1997,NA
European Union (15 countries),1997,NA
Belgium,1997,NA
Bulgaria,1997,NA
Czech Republic,1997,NA
Denmark,1997,NA
Germany (until 1990 former territory of the FRG),1997,NA
Estonia,1997,NA
Ireland,1997,NA
Greece,1997,NA
Spain,1997,NA
France,1997,NA
Croatia,1997,NA
Italy,1997,NA
Cyprus,1997,NA
Latvia,1997,NA
Lithuania,1997,NA
Luxembourg,1997,NA
Hungary,1997,NA
Malta,1997,NA
Netherlands,1997,NA
Austria,1997,NA
Poland,1997,NA
Portugal,1997,NA
Romania,1997,NA
Slovenia,1997,NA
Slovakia,1997,NA
Finland,1997,1.178
Sweden,1997,NA
United Kingdom,1997,NA
Norway,1997,NA
European Union (28 countries),1998,NA
European Union (15 countries),1998,NA
Belgium,1998,NA
Bulgaria,1998,NA
Czech Republic,1998,NA
Denmark,1998,1.65
Germany (until 1990 former territory of the FRG),1998,0.972
Estonia,1998,NA
Ireland,1998,0.887
Greece,1998,NA
Spain,1998,0.485
France,1998,0.979
Croatia,1998,NA
Italy,1998,0.463
Cyprus,1998,NA
Latvia,1998,NA
Lithuania,1998,NA
Luxembourg,1998,0.197
Hungary,1998,NA
Malta,1998,NA
Netherlands,1998,0.917
Austria,1998,0.314
Poland,1998,NA
Portugal,1998,NA
Romania,1998,NA
Slovenia,1998,NA
Slovakia,1998,NA
Finland,1998,0.969
Sweden,1998,2.082
United Kingdom,1998,NA
Norway,1998,NA
European Union (28 countries),1999,NA
European Union (15 countries),1999,NA
Belgium,1999,NA
Bulgaria,1999,NA
Czech Republic,1999,NA
Denmark,1999,1.841
Germany (until 1990 former territory of the FRG),1999,1.098
Estonia,1999,NA
Ireland,1999,0.83
Greece,1999,0.226
Spain,1999,0.617
France,1999,1.031
Croatia,1999,NA
Italy,1999,0.521
Cyprus,1999,NA
Latvia,1999,NA
Lithuania,1999,NA
Luxembourg,1999,0.184
Hungary,1999,NA
Malta,1999,NA
Netherlands,1999,0.914
Austria,1999,0.397
Poland,1999,NA
Portugal,1999,0.353
Romania,1999,NA
Slovenia,1999,NA
Slovakia,1999,NA
Finland,1999,0.88
Sweden,1999,1.853
United Kingdom,1999,NA
Norway,1999,0.585
European Union (28 countries),2000,NA
European Union (15 countries),2000,NA
Belgium,2000,0.645
Bulgaria,2000,NA
Czech Republic,2000,NA
Denmark,2000,1.691
Germany (until 1990 former territory of the FRG),2000,1.046
Estonia,2000,NA
Ireland,2000,0.626
Greece,2000,0.227
Spain,2000,0.643
France,2000,0.996
Croatia,2000,NA
Italy,2000,0.542
Cyprus,2000,NA
Latvia,2000,NA
Lithuania,2000,NA
Luxembourg,2000,0.172
Hungary,2000,NA
Malta,2000,NA
Netherlands,2000,0.903
Austria,2000,0.374
Poland,2000,NA
Portugal,2000,0.577
Romania,2000,NA
Slovenia,2000,NA
Slovakia,2000,NA
Finland,2000,0.724
Sweden,2000,1.409
United Kingdom,2000,NA
Norway,2000,0.485
European Union (28 countries),2001,NA
European Union (15 countries),2001,NA
Belgium,2001,0.641
Bulgaria,2001,NA
Czech Republic,2001,NA
Denmark,2001,1.655
Germany (until 1990 former territory of the FRG),2001,1.045
Estonia,2001,NA
Ireland,2001,0.688
Greece,2001,0.239
Spain,2001,0.59
France,2001,0.947
Croatia,2001,NA
Italy,2001,0.615
Cyprus,2001,NA
Latvia,2001,NA
Lithuania,2001,NA
Luxembourg,2001,0.179
Hungary,2001,NA
Malta,2001,NA
Netherlands,2001,0.942
Austria,2001,0.413
Poland,2001,NA
Portugal,2001,0.511
Romania,2001,NA
Slovenia,2001,NA
Slovakia,2001,NA
Finland,2001,0.659
Sweden,2001,1.251
United Kingdom,2001,NA
Norway,2001,0.506
European Union (28 countries),2002,NA
European Union (15 countries),2002,NA
Belgium,2002,NA
Bulgaria,2002,NA
Czech Republic,2002,0.107
Denmark,2002,1.669
Germany (until 1990 former territory of the FRG),2002,1.058
Estonia,2002,NA
Ireland,2002,0.616
Greece,2002,0.163
Spain,2002,0.549
France,2002,0.885
Croatia,2002,NA
Italy,2002,0.679
Cyprus,2002,NA
Latvia,2002,NA
Lithuania,2002,NA
Luxembourg,2002,0.191
Hungary,2002,NA
Malta,2002,NA
Netherlands,2002,0.992
Austria,2002,0.391
Poland,2002,NA
Portugal,2002,0.464
Romania,2002,NA
Slovenia,2002,NA
Slovakia,2002,NA
Finland,2002,0.653
Sweden,2002,1.154
United Kingdom,2002,NA
Norway,2002,0.558
European Union (28 countries),2003,NA
European Union (15 countries),2003,NA
Belgium,2003,NA
Bulgaria,2003,NA
Czech Republic,2003,0.107
Denmark,2003,1.556
Germany (until 1990 former territory of the FRG),2003,0.985
Estonia,2003,0.047
Ireland,2003,0.535
Greece,2003,0.085
Spain,2003,0.546
France,2003,0.812
Croatia,2003,NA
Italy,2003,0.685
Cyprus,2003,NA
Latvia,2003,0.08
Lithuania,2003,0.15
Luxembourg,2003,0.321
Hungary,2003,NA
Malta,2003,NA
Netherlands,2003,0.934
Austria,2003,0.435
Poland,2003,NA
Portugal,2003,0.484
Romania,2003,0.109
Slovenia,2003,NA
Slovakia,2003,NA
Finland,2003,0.718
Sweden,2003,0.844
United Kingdom,2003,NA
Norway,2003,0.656
European Union (28 countries),2004,NA
European Union (15 countries),2004,0.587
Belgium,2004,0.454
Bulgaria,2004,0.442
Czech Republic,2004,0.12
Denmark,2004,1.452
Germany (until 1990 former territory of the FRG),2004,0.904
Estonia,2004,0.04
Ireland,2004,0.485
Greece,2004,0.134
Spain,2004,0.536
France,2004,0.725
Croatia,2004,NA
Italy,2004,0.522
Cyprus,2004,NA
Latvia,2004,0.077
Lithuania,2004,0.153
Luxembourg,2004,0.354
Hungary,2004,0.214
Malta,2004,NA
Netherlands,2004,0.86
Austria,2004,0.42
Poland,2004,NA
Portugal,2004,0.512
Romania,2004,0.101
Slovenia,2004,NA
Slovakia,2004,0.07
Finland,2004,0.759
Sweden,2004,0.813
United Kingdom,2004,0.052
Norway,2004,0.632
European Union (28 countries),2005,0.52
European Union (15 countries),2005,0.54
Belgium,2005,0.471
Bulgaria,2005,0.396
Czech Republic,2005,0.111
Denmark,2005,1.219
Germany (until 1990 former territory of the FRG),2005,0.812
Estonia,2005,0.046
Ireland,2005,0.466
Greece,2005,0.056
Spain,2005,0.568
France,2005,0.663
Croatia,2005,NA
Italy,2005,0.458
