country,year,"expenditures, passive (%)"
European Union (28 countries),1997,NA
European Union (15 countries),1997,NA
Belgium,1997,NA
Bulgaria,1997,NA
Czech Republic,1997,NA
Denmark,1997,NA
Germany (until 1990 former territory of the FRG),1997,NA
Estonia,1997,NA
Ireland,1997,NA
Greece,1997,NA
Spain,1997,NA
France,1997,NA
Croatia,1997,NA
Italy,1997,NA
Cyprus,1997,NA
Latvia,1997,NA
Lithuania,1997,NA
Luxembourg,1997,NA
Hungary,1997,NA
Malta,1997,NA
Netherlands,1997,NA
Austria,1997,NA
Poland,1997,NA
Portugal,1997,NA
Romania,1997,NA
Slovenia,1997,NA
Slovakia,1997,NA
Finland,1997,3.016
Sweden,1997,NA
United Kingdom,1997,NA
Norway,1997,NA
European Union (28 countries),1998,NA
European Union (15 countries),1998,NA
Belgium,1998,2.443
Bulgaria,1998,NA
Czech Republic,1998,NA
Denmark,1998,2.881
Germany (until 1990 former territory of the FRG),1998,2.193
Estonia,1998,NA
Ireland,1998,1.453
Greece,1998,NA
Spain,1998,1.584
France,1998,1.912
Croatia,1998,NA
Italy,1998,0.545
Cyprus,1998,NA
Latvia,1998,NA
Lithuania,1998,NA
Luxembourg,1998,0.593
Hungary,1998,NA
Malta,1998,NA
Netherlands,1998,2.093
Austria,1998,1.384
Poland,1998,NA
Portugal,1998,NA
Romania,1998,NA
Slovenia,1998,NA
Slovakia,1998,NA
Finland,1998,2.493
Sweden,1998,1.695
United Kingdom,1998,0.377
Norway,1998,0.476
European Union (28 countries),1999,NA
European Union (15 countries),1999,1.366
Belgium,1999,2.304
Bulgaria,1999,NA
Czech Republic,1999,NA
Denmark,1999,2.509
Germany (until 1990 former territory of the FRG),1999,2.031
Estonia,1999,NA
Ireland,1999,1.092
Greece,1999,0.376
Spain,1999,1.41
France,1999,1.883
Croatia,1999,NA
Italy,1999,0.516
Cyprus,1999,NA
Latvia,1999,NA
Lithuania,1999,NA
Luxembourg,1999,0.477
Hungary,1999,NA
Malta,1999,NA
Netherlands,1999,1.79
Austria,1999,1.288
Poland,1999,NA
Portugal,1999,0.769
Romania,1999,NA
Slovenia,1999,NA
Slovakia,1999,NA
Finland,1999,2.251
Sweden,1999,1.559
United Kingdom,1999,0.331
Norway,1999,0.45
European Union (28 countries),2000,NA
European Union (15 countries),2000,1.22
Belgium,2000,2.062
Bulgaria,2000,NA
Czech Republic,2000,NA
Denmark,2000,2.322
Germany (until 1990 former territory of the FRG),2000,1.808
Estonia,2000,NA
Ireland,2000,0.772
Greece,2000,0.38
Spain,2000,1.319
France,2000,1.706
Croatia,2000,NA
Italy,2000,0.611
Cyprus,2000,NA
Latvia,2000,NA
Lithuania,2000,NA
Luxembourg,2000,0.412
Hungary,2000,NA
Malta,2000,NA
Netherlands,2000,1.509
Austria,2000,1.154
Poland,2000,NA
Portugal,2000,0.784
Romania,2000,NA
Slovenia,2000,NA
Slovakia,2000,NA
Finland,2000,2.021
Sweden,2000,1.284
United Kingdom,2000,0.276
Norway,2000,0.418
European Union (28 countries),2001,NA
European Union (15 countries),2001,1.21
Belgium,2001,2.09
Bulgaria,2001,NA
Czech Republic,2001,NA
Denmark,2001,2.213
Germany (until 1990 former territory of the FRG),2001,1.827
Estonia,2001,NA
Ireland,2001,0.686
Greece,2001,0.342
Spain,2001,1.339
France,2001,1.754
Croatia,2001,NA
Italy,2001,0.563
Cyprus,2001,NA
Latvia,2001,NA
Lithuania,2001,NA
Luxembourg,2001,0.442
Hungary,2001,NA
Malta,2001,NA
Netherlands,2001,1.43
Austria,2001,1.157
Poland,2001,NA
Portugal,2001,0.929
Romania,2001,NA
Slovenia,2001,NA
Slovakia,2001,NA
Finland,2001,1.898
Sweden,2001,1.063
United Kingdom,2001,0.241
Norway,2001,0.436
European Union (28 countries),2002,NA
European Union (15 countries),2002,1.296
Belgium,2002,2.267
Bulgaria,2002,NA
Czech Republic,2002,0.255
Denmark,2002,2.248
Germany (until 1990 former territory of the FRG),2002,2.03
Estonia,2002,NA
Ireland,2002,0.797
Greece,2002,0.318
Spain,2002,1.439
France,2002,1.945
Croatia,2002,NA
Italy,2002,0.555
Cyprus,2002,NA
Latvia,2002,NA
Lithuania,2002,NA
Luxembourg,2002,0.479
Hungary,2002,NA
Malta,2002,NA
Netherlands,2002,1.464
Austria,2002,1.216
Poland,2002,NA
Portugal,2002,0.897
Romania,2002,NA
Slovenia,2002,NA
Slovakia,2002,NA
Finland,2002,1.963
Sweden,2002,1.065
United Kingdom,2002,0.231
Norway,2002,0.534
European Union (28 countries),2003,NA
European Union (15 countries),2003,1.395
Belgium,2003,2.395
Bulgaria,2003,NA
Czech Republic,2003,0.282
Denmark,2003,2.595
Germany (until 1990 former territory of the FRG),2003,2.163
Estonia,2003,0.189
Ireland,2003,0.846
Greece,2003,0.354
Spain,2003,1.426
France,2003,2.129
Croatia,2003,NA
Italy,2003,0.554
Cyprus,2003,NA
Latvia,2003,0.352
Lithuania,2003,0.155
Luxembourg,2003,0.586
Hungary,2003,0.354
Malta,2003,NA
Netherlands,2003,1.716
Austria,2003,1.336
Poland,2003,NA
Portugal,2003,1.13
Romania,2003,0.52
Slovenia,2003,NA
Slovakia,2003,NA
Finland,2003,1.981
Sweden,2003,1.219
United Kingdom,2003,0.213
Norway,2003,0.714
European Union (28 countries),2004,NA
European Union (15 countries),2004,1.402
Belgium,2004,2.336
Bulgaria,2004,0.248
Czech Republic,2004,0.231
Denmark,2004,2.591
Germany (until 1990 former territory of the FRG),2004,2.187
Estonia,2004,0.171
Ireland,2004,0.853
Greece,2004,0.387
Spain,2004,1.465
France,2004,2.118
Croatia,2004,NA
Italy,2004,0.61
Cyprus,2004,NA
Latvia,2004,0.361
Lithuania,2004,0.109
Luxembourg,2004,0.631
Hungary,2004,0.367
Malta,2004,NA
Netherlands,2004,1.831
Austria,2004,1.377
Poland,2004,NA
Portugal,2004,1.171
Romania,2004,0.483
Slovenia,2004,NA
Slovakia,2004,0.33
Finland,2004,1.954
Sweden,2004,1.317
United Kingdom,2004,0.175
Norway,2004,0.633
European Union (28 countries),2005,1.26
European Union (15 countries),2005,1.313
Belgium,2005,2.283
Bulgaria,2005,0.196
Czech Republic,2005,0.22
Denmark,2005,2.281
Germany (until 1990 former territory of the FRG),2005,1.92
Estonia,2005,0.118
Ireland,2005,0.789
Greece,2005,0.399
Spain,2005,1.429
France,2005,2.012
Croatia,2005,NA
