iso3,country,year,strikes and lockouts
AUT,Austria,1995,2000
AUT,Austria,1997,741.28
AUT,Austria,2000,0.94
AUT,Austria,2001,0
AUT,Austria,2002,3
AUT,Austria,2003,4.1
AUT,Austria,2004,0
AUT,Austria,2005,0
AUT,Austria,2006,0
AUT,Austria,2007,0
AUT,Austria,2008,0
AUT,Austria,2009,0
AUT,Austria,2010,0
AUT,Austria,2011,16.56
AUT,Austria,2012,375.33
AUT,Austria,2013,592.69
AUT,Austria,2015,0
AUT,Austria,2016,0
AUT,Austria,2017,0
BEL,Belgium,1995,33.25
BEL,Belgium,1996,48.28
BEL,Belgium,1997,13.13
BEL,Belgium,1998,28.04
BEL,Belgium,1999,6283.24
BEL,Belgium,2000,23070.54
CYP,Cyprus,1995,1523.69
CYP,Cyprus,1996,1968.57
CYP,Cyprus,1997,2283.22
CYP,Cyprus,1998,1205.89
CYP,Cyprus,1999,12351.52
CYP,Cyprus,2000,6311.11
CYP,Cyprus,2001,2812.24
CYP,Cyprus,2002,20.1
CYP,Cyprus,2003,29
CYP,Cyprus,2004,37.2
CYP,Cyprus,2005,66.2
CYP,Cyprus,2006,110.3
CYP,Cyprus,2007,3029.74
CYP,Cyprus,2008,1391.66
CYP,Cyprus,2009,3041.88
CYP,Cyprus,2010,1000
CYP,Cyprus,2011,477.91
CYP,Cyprus,2012,1535.39
CYP,Cyprus,2013,13680.37
CYP,Cyprus,2014,1249.74
CYP,Cyprus,2015,2068.36
CYP,Cyprus,2016,6486.07
CYP,Cyprus,2017,786.36
CYP,Cyprus,2018,2796.36
CZE,Czech Republic,1995,0.7
CZE,Czech Republic,1996,5.4
CZE,Czech Republic,2009,0
CZE,Czech Republic,2010,0
CZE,Czech Republic,2011,0
CZE,Czech Republic,2012,0
CZE,Czech Republic,2013,0
DEU,Germany,1995,7.4
DEU,Germany,1996,2.9
DEU,Germany,1997,1.6
DEU,Germany,1998,0.505
DEU,Germany,1999,2.3
DEU,Germany,2000,0.33
DEU,Germany,2001,0.82
DEU,Germany,2002,8.9
DEU,Germany,2003,4.8
DEU,Germany,2004,1.3
DEU,Germany,2005,0.5
DEU,Germany,2006,12.4
DEU,Germany,2007,8.1
DEU,Germany,2008,3.7
DEU,Germany,2009,5809.64
DEU,Germany,2010,2126.82
DEU,Germany,2011,6195.36
DEU,Germany,2012,3883.52
DEU,Germany,2013,2236.03
DEU,Germany,2014,2678.55
DEU,Germany,2015,4756.54
DEU,Germany,2016,972.91
DEU,Germany,2017,2106.44
DEU,Germany,2018,15.1
DNK,Denmark,1995,1584.79
DNK,Denmark,1996,1151.59
DNK,Denmark,1997,1349.72
DNK,Denmark,1998,6317.47
DNK,Denmark,1999,1221.23
DNK,Denmark,2000,1649.57
DNK,Denmark,2001,1132.23
DNK,Denmark,2002,1746.44
DNK,Denmark,2003,1241.97
DNK,Denmark,2004,1009.11
DNK,Denmark,2005,1556.36
DNK,Denmark,2006,1085.58
DNK,Denmark,2007,1500.5
DNK,Denmark,2008,20447.66
DNK,Denmark,2009,1183.06
DNK,Denmark,2010,1168.81
DNK,Denmark,2011,1142.68
DNK,Denmark,2012,1187.57
DNK,Denmark,2013,16230.22
DNK,Denmark,2014,1591.94
DNK,Denmark,2015,1552.69
DNK,Denmark,2016,2200.94
DNK,Denmark,2017,1657.52
DNK,Denmark,2018,2793.45
ESP,Spain,1995,121
ESP,Spain,1996,122.7
ESP,Spain,1997,137.6
ESP,Spain,1998,92.1
ESP,Spain,1999,102.4
ESP,Spain,2000,233.3
ESP,Spain,2001,119.1
ESP,Spain,2002,297.4
ESP,Spain,2003,45.8
ESP,Spain,2004,248.9
ESP,Spain,2005,50.1
ESP,Spain,2006,47
ESP,Spain,2007,58.3
ESP,Spain,2008,74.5
ESP,Spain,2009,68.34
ESP,Spain,2010,36.38
ESP,Spain,2011,26.8
ESP,Spain,2012,74.7
ESP,Spain,2013,65.6
ESP,Spain,2014,35.8
ESP,Spain,2015,33.67
ESP,Spain,2016,21.2
ESP,Spain,2017,31.567559815
ESP,Spain,2018,46.96011424
EST,Estonia,1995,0
EST,Estonia,1996,0
EST,Estonia,1997,0
EST,Estonia,1998,0
EST,Estonia,1999,0
EST,Estonia,2000,0
EST,Estonia,2001,0
EST,Estonia,2003,20.9
EST,Estonia,2005,0
EST,Estonia,2006,125
EST,Estonia,2007,150
EST,Estonia,2008,125
EST,Estonia,2009,121
EST,Estonia,2018,1680
FIN,Finland,2009,920.26
FIN,Finland,2011,664.3
FIN,Finland,2012,116.12
FIN,Finland,2013,211.11008191
FIN,Finland,2014,202.28
FIN,Finland,2015,810.19
FIN,Finland,2016,903.53
FIN,Finland,2017,1328
FIN,Finland,2018,760.12
FIN,Finland,1995,547
FIN,Finland,1996,11.2
FIN,Finland,1997,47.8
FIN,Finland,1998,60.5
FIN,Finland,1999,9.5
FIN,Finland,2000,110
FIN,Finland,2001,25.6
FIN,Finland,2002,31.6
FIN,Finland,2003,28
FIN,Finland,2004,17.9
FIN,Finland,2005,280.3
FIN,Finland,2006,34.8
FIN,Finland,2007,38
FIN,Finland,2008,6.5
FRA,France,2005,151
FRA,France,2006,116
FRA,France,2008,107
FRA,France,2009,136.3041595
FRA,France,2010,318.4657563
FRA,France,2011,77
FRA,France,2012,60
FRA,France,2014,80.998802
FRA,France,1995,300.48
FRA,France,1996,57.33
FRA,France,1997,42.08
FRA,France,1998,50.74
FRA,France,1999,63.56
FRA,France,2000,114.39
FRA,France,2001,82.29
FRA,France,2002,3721.97
FRA,France,2003,3578.14
FRA,France,2004,3204.76
FRA,France,2015,69
FRA,France,2016,131
GBR,United Kingdom,1995,18
GBR,United Kingdom,1996,55
GBR,United Kingdom,1997,10
GBR,United Kingdom,1998,11.419
GBR,United Kingdom,1999,9.638
GBR,United Kingdom,2000,19.44
GBR,United Kingdom,2001,20.206
GBR,United Kingdom,2002,50.73
GBR,United Kingdom,2003,19.089
GBR,United Kingdom,2004,34.351
GBR,United Kingdom,2005,6
GBR,United Kingdom,2006,28
GBR,United Kingdom,2007,38
GBR,United Kingdom,2008,28
GBR,United Kingdom,2009,17
GBR,United Kingdom,2010,14
GBR,United Kingdom,2011,52
GBR,United Kingdom,2012,9
GBR,United Kingdom,2013,17
GBR,United Kingdom,2014,27
GBR,United Kingdom,2015,6
GBR,United Kingdom,2016,100
GBR,United Kingdom,2017,178
GBR,United Kingdom,2018,154
GRC,Greece,1995,8612.33
GRC,Greece,1996,10062.27
