iso3,country,emigrants,year,time_period
ARM,Armenia,12043,1995,1995
AZE,Azerbaijan,16033,1995,NA
KAZ,Kazakhstan,309632,1995,NA
KGZ,Kyrgyzstan,37302,1995,NA
TJK,Tajikistan,45322,1995,NA
TKM,Turkmenistan,20893,1995,NA
UZB,Uzbekistan,116877,1995,NA
BGR,Bulgaria,52900,1995,NA
BLR,Belarus,35071,1995,NA
CZE,Czech Republic,541,1995,NA
HRV,Croatia,15413,1995,NA
HUN,Hungary,3173,1995,NA
LTU,Lithuania,25688,1995,NA
LVA,Latvia,16512,1995,NA
MDA,Republic of Moldova,5432,1995,NA
MKD,The Former Yugoslav Republic of Macedonia,392,1995,NA
POL,Poland,26344,1995,NA
ROU,Romania,25675,1995,NA
RUS,Russian Federation,347338,1995,NA
SVK,Slovakia,213,1995,NA
SVN,Slovenia,3372,1995,NA
UKR,Ukraine,277534,1995,NA
ARM,Armenia,9094,1996,1996
AZE,Azerbaijan,13151,1996,NA
KAZ,Kazakhstan,229412,1996,NA
KGZ,Kyrgyzstan,27584,1996,NA
TJK,Tajikistan,34128,1996,NA
TKM,Turkmenistan,30287,1996,NA
UZB,Uzbekistan,59715,1996,NA
BGR,Bulgaria,66100,1996,NA
BLR,Belarus,22539,1996,NA
CZE,Czech Republic,728,1996,NA
HRV,Croatia,10027,1996,NA
HUN,Hungary,3642,1996,NA
LTU,Lithuania,26394,1996,NA
LVA,Latvia,12828,1996,NA
MDA,Republic of Moldova,4720,1996,NA
MKD,The Former Yugoslav Republic of Macedonia,247,1996,NA
POL,Poland,21297,1996,NA
ROU,Romania,21526,1996,NA
RUS,Russian Federation,291642,1996,NA
SVK,Slovakia,222,1996,NA
SVN,Slovenia,2985,1996,NA
UKR,Ukraine,260715,1996,NA
ARM,Armenia,11149,1997,1997
AZE,Azerbaijan,15703,1997,NA
KAZ,Kazakhstan,299455,1997,NA
KGZ,Kyrgyzstan,19538,1997,NA
TJK,Tajikistan,21112,1997,NA
TKM,Turkmenistan,20872,1997,NA
UZB,Uzbekistan,48560,1997,NA
BLR,Belarus,16709,1997,NA
CZE,Czech Republic,805,1997,NA
HRV,Croatia,18531,1997,NA
HUN,Hungary,2822,1997,NA
LTU,Lithuania,24957,1997,NA
LVA,Latvia,12333,1997,NA
MDA,Republic of Moldova,5503,1997,NA
MKD,The Former Yugoslav Republic of Macedonia,282,1997,NA
POL,Poland,20222,1997,NA
ROU,Romania,19945,1997,NA
RUS,Russian Federation,232987,1997,NA
SVK,Slovakia,572,1997,NA
SVN,Slovenia,5447,1997,NA
UKR,Ukraine,203600,1997,NA
ARM,Armenia,10412,1998,1998
AZE,Azerbaijan,10498,1998,NA
KAZ,Kazakhstan,243663,1998,NA
KGZ,Kyrgyzstan,15671,1998,NA
TJK,Tajikistan,17591,1998,NA
TKM,Turkmenistan,13910,1998,NA
UZB,Uzbekistan,62371,1998,NA
BLR,Belarus,13247,1998,NA
CZE,Czech Republic,1241,1998,NA
HRV,Croatia,7592,1998,NA
HUN,Hungary,3059,1998,NA
LTU,Lithuania,24828,1998,NA
LVA,Latvia,8874,1998,NA
MDA,Republic of Moldova,4783,1998,NA
MKD,The Former Yugoslav Republic of Macedonia,248,1998,NA
POL,Poland,22177,1998,NA
ROU,Romania,17536,1998,NA
RUS,Russian Federation,213377,1998,NA
SVK,Slovakia,746,1998,NA
SVN,Slovenia,6708,1998,NA
UKR,Ukraine,165425,1998,NA
ARM,Armenia,8604,1999,1999
AZE,Azerbaijan,9142,1999,NA
KAZ,Kazakhstan,164947,1999,NA
KGZ,Kyrgyzstan,17818,1999,NA
TJK,Tajikistan,14686,1999,NA
TKM,Turkmenistan,13158,1999,NA
UZB,Uzbekistan,60249,1999,NA
BLR,Belarus,13238,1999,NA
CZE,Czech Republic,1136,1999,NA
HRV,Croatia,14285,1999,NA
HUN,Hungary,2821,1999,NA
LTU,Lithuania,23418,1999,NA
LVA,Latvia,5898,1999,NA
MDA,Republic of Moldova,6318,1999,NA
MKD,The Former Yugoslav Republic of Macedonia,141,1999,NA
POL,Poland,21536,1999,NA
ROU,Romania,12594,1999,NA
RUS,Russian Federation,214963,1999,NA
SVK,Slovakia,618,1999,NA
SVN,Slovenia,2606,1999,NA
UKR,Ukraine,110600,1999,NA
ARM,Armenia,12813,2000,2000
AZE,Azerbaijan,9947,2000,NA
KAZ,Kazakhstan,155749,2000,NA
KGZ,Kyrgyzstan,27887,2000,NA
TJK,Tajikistan,14554,2000,NA
TKM,Turkmenistan,10671,2000,NA
UZB,Uzbekistan,62545,2000,NA
BLR,Belarus,13812,2000,NA
CZE,Czech Republic,1263,2000,NA
EST,Estonia,1784,2000,NA
HRV,Croatia,5953,2000,NA
HUN,Hungary,2208,2000,NA
LTU,Lithuania,21816,2000,NA
LVA,Latvia,22911,2000,NA
MDA,Republic of Moldova,9128,2000,NA
MKD,The Former Yugoslav Republic of Macedonia,172,2000,NA
POL,Poland,26999,2000,NA
ROU,Romania,14753,2000,NA
RUS,Russian Federation,145720,2000,NA
SVK,Slovakia,811,2000,NA
SVN,Slovenia,3570,2000,NA
UKR,Ukraine,100300,2000,NA
ARM,Armenia,11906,2001,2001
AZE,Azerbaijan,7288,2001,NA
KAZ,Kazakhstan,141710,2001,NA
KGZ,Kyrgyzstan,31633,2001,NA
TJK,Tajikistan,12914,2001,NA
TKM,Turkmenistan,9827,2001,NA
UZB,Uzbekistan,79537,2001,NA
BLR,Belarus,14270,2001,NA
CZE,Czech Republic,21469,2001,NA
EST,Estonia,2175,2001,NA
HRV,Croatia,7488,2001,NA
HUN,Hungary,1944,2001,NA
LTU,Lithuania,7253,2001,NA
LVA,Latvia,24539,2001,NA
MDA,Republic of Moldova,6446,2001,NA
MKD,The Former Yugoslav Republic of Macedonia,503,2001,NA
POL,Poland,23368,2001,NA
ROU,Romania,9921,2001,NA
RUS,Russian Federation,121166,2001,NA
SVK,Slovakia,1011,2001,NA
SVN,Slovenia,4811,2001,NA
UKR,Ukraine,88800,2001,NA
ARM,Armenia,10927,2002,2002
AZE,Azerbaijan,4320,2002,NA
