iso3,country,emmigrants,year,time_period,indicator
ARM,Armenia,12043,1995,1995,Number of emigrants - Number
AZE,Azerbaijan,16033,1995,NA,Number of emigrants - Number
KAZ,Kazakhstan,309632,1995,NA,Number of emigrants - Number
KGZ,Kyrgyzstan,37302,1995,NA,Number of emigrants - Number
TJK,Tajikistan,45322,1995,NA,Number of emigrants - Number
TKM,Turkmenistan,20893,1995,NA,Number of emigrants - Number
UZB,Uzbekistan,116877,1995,NA,Number of emigrants - Number
BGR,Bulgaria,52900,1995,NA,Number of emigrants - Number
BLR,Belarus,35071,1995,NA,Number of emigrants - Number
CZE,Czech Republic,541,1995,NA,Number of emigrants - Number
HRV,Croatia,15413,1995,NA,Number of emigrants - Number
HUN,Hungary,3173,1995,NA,Number of emigrants - Number
LTU,Lithuania,25688,1995,NA,Number of emigrants - Number
LVA,Latvia,16512,1995,NA,Number of emigrants - Number
MDA,Republic of Moldova,5432,1995,NA,Number of emigrants - Number
MKD,The Former Yugoslav Republic of Macedonia,392,1995,NA,Number of emigrants - Number
POL,Poland,26344,1995,NA,Number of emigrants - Number
ROU,Romania,25675,1995,NA,Number of emigrants - Number
RUS,Russian Federation,347338,1995,NA,Number of emigrants - Number
SVK,Slovakia,213,1995,NA,Number of emigrants - Number
SVN,Slovenia,3372,1995,NA,Number of emigrants - Number
UKR,Ukraine,277534,1995,NA,Number of emigrants - Number
ARM,Armenia,9094,1996,1996,Number of emigrants - Number
AZE,Azerbaijan,13151,1996,NA,Number of emigrants - Number
KAZ,Kazakhstan,229412,1996,NA,Number of emigrants - Number
KGZ,Kyrgyzstan,27584,1996,NA,Number of emigrants - Number
TJK,Tajikistan,34128,1996,NA,Number of emigrants - Number
TKM,Turkmenistan,30287,1996,NA,Number of emigrants - Number
UZB,Uzbekistan,59715,1996,NA,Number of emigrants - Number
BGR,Bulgaria,66100,1996,NA,Number of emigrants - Number
BLR,Belarus,22539,1996,NA,Number of emigrants - Number
CZE,Czech Republic,728,1996,NA,Number of emigrants - Number
HRV,Croatia,10027,1996,NA,Number of emigrants - Number
HUN,Hungary,3642,1996,NA,Number of emigrants - Number
LTU,Lithuania,26394,1996,NA,Number of emigrants - Number
LVA,Latvia,12828,1996,NA,Number of emigrants - Number
MDA,Republic of Moldova,4720,1996,NA,Number of emigrants - Number
MKD,The Former Yugoslav Republic of Macedonia,247,1996,NA,Number of emigrants - Number
POL,Poland,21297,1996,NA,Number of emigrants - Number
ROU,Romania,21526,1996,NA,Number of emigrants - Number
RUS,Russian Federation,291642,1996,NA,Number of emigrants - Number
SVK,Slovakia,222,1996,NA,Number of emigrants - Number
SVN,Slovenia,2985,1996,NA,Number of emigrants - Number
UKR,Ukraine,260715,1996,NA,Number of emigrants - Number
ARM,Armenia,11149,1997,1997,Number of emigrants - Number
AZE,Azerbaijan,15703,1997,NA,Number of emigrants - Number
KAZ,Kazakhstan,299455,1997,NA,Number of emigrants - Number
KGZ,Kyrgyzstan,19538,1997,NA,Number of emigrants - Number
TJK,Tajikistan,21112,1997,NA,Number of emigrants - Number
TKM,Turkmenistan,20872,1997,NA,Number of emigrants - Number
UZB,Uzbekistan,48560,1997,NA,Number of emigrants - Number
BLR,Belarus,16709,1997,NA,Number of emigrants - Number
CZE,Czech Republic,805,1997,NA,Number of emigrants - Number
HRV,Croatia,18531,1997,NA,Number of emigrants - Number
HUN,Hungary,2822,1997,NA,Number of emigrants - Number
LTU,Lithuania,24957,1997,NA,Number of emigrants - Number
LVA,Latvia,12333,1997,NA,Number of emigrants - Number
MDA,Republic of Moldova,5503,1997,NA,Number of emigrants - Number
MKD,The Former Yugoslav Republic of Macedonia,282,1997,NA,Number of emigrants - Number
POL,Poland,20222,1997,NA,Number of emigrants - Number
ROU,Romania,19945,1997,NA,Number of emigrants - Number
RUS,Russian Federation,232987,1997,NA,Number of emigrants - Number
SVK,Slovakia,572,1997,NA,Number of emigrants - Number
SVN,Slovenia,5447,1997,NA,Number of emigrants - Number
UKR,Ukraine,203600,1997,NA,Number of emigrants - Number
ARM,Armenia,10412,1998,1998,Number of emigrants - Number
AZE,Azerbaijan,10498,1998,NA,Number of emigrants - Number
KAZ,Kazakhstan,243663,1998,NA,Number of emigrants - Number
KGZ,Kyrgyzstan,15671,1998,NA,Number of emigrants - Number
TJK,Tajikistan,17591,1998,NA,Number of emigrants - Number
TKM,Turkmenistan,13910,1998,NA,Number of emigrants - Number
UZB,Uzbekistan,62371,1998,NA,Number of emigrants - Number
BLR,Belarus,13247,1998,NA,Number of emigrants - Number
CZE,Czech Republic,1241,1998,NA,Number of emigrants - Number
HRV,Croatia,7592,1998,NA,Number of emigrants - Number
HUN,Hungary,3059,1998,NA,Number of emigrants - Number
LTU,Lithuania,24828,1998,NA,Number of emigrants - Number
LVA,Latvia,8874,1998,NA,Number of emigrants - Number
