iso2c,country,population_density,year
AL,Albania,104.612262773723,2018
AL,Albania,104.870693430657,2017
AL,Albania,104.967189781022,2016
AL,Albania,105.135145985401,2015
AL,Albania,105.441751824818,2014
AL,Albania,105.660291970803,2013
AL,Albania,105.854051094891,2012
AL,Albania,106.02901459854,2011
AL,Albania,106.314635036496,2010
AL,Albania,106.843759124088,2009
AL,Albania,107.566204379562,2008
AL,Albania,108.394781021898,2007
AL,Albania,109.21704379562,2006
AL,Albania,109.908284671533,2005
AL,Albania,110.472226277372,2004
AL,Albania,110.934890510949,2003
AL,Albania,111.350729927007,2002
AL,Albania,111.685145985401,2001
AL,Albania,112.738211678832,2000
AL,Albania,113.459051094891,1999
AL,Albania,114.179927007299,1998
AL,Albania,114.900766423358,1997
AL,Albania,115.621642335766,1996
AL,Albania,116.342481751825,1995
AM,Armenia,103.680224798033,2018
AM,Armenia,103.435511064278,2017
AM,Armenia,103.131225851774,2016
AM,Armenia,102.759149982438,2015
AM,Armenia,102.297260273973,2014
AM,Armenia,101.77674745346,2013
AM,Armenia,101.307657183,2012
AM,Armenia,101.03751317176,2011
AM,Armenia,101.064945556726,2010
AM,Armenia,101.443343870741,2009
AM,Armenia,102.1291886196,2008
AM,Armenia,103.007305936073,2007
AM,Armenia,103.909624165789,2006
AM,Armenia,104.716157358623,2005
AM,Armenia,105.399367755532,2004
AM,Armenia,106.003933965578,2003
AM,Armenia,106.567544783983,2002
AM,Armenia,107.154443273621,2001
AM,Armenia,107.818440463646,2000
AM,Armenia,108.500948366702,1999
AM,Armenia,109.19167544784,1998
AM,Armenia,110.048788198103,1997
AM,Armenia,111.282788900597,1996
AM,Armenia,113.008359676853,1995
AT,Austria,107.206926667578,2018
AT,Austria,106.607445296677,2017
AT,Austria,105.869493435483,2016
AT,Austria,104.730792682674,2015
AT,Austria,103.563324191706,2014
AT,Austria,102.7471301857,2013
AT,Austria,102.114865434913,2012
AT,Austria,101.6417363772,2011
AT,Austria,101.287430158942,2010
AT,Austria,101.035665641397,2009
AT,Austria,100.771345840527,2008
AT,Austria,100.45638301005,2007
AT,Austria,100.128856866069,2006
AT,Austria,99.6346451925406,2005
AT,Austria,98.9581738919835,2004
AT,Austria,98.3461249697263,2003
AT,Austria,97.8682126422863,2002
AT,Austria,97.3879026398644,2001
AT,Austria,97.0158149673044,2000
AT,Austria,96.7828045531606,1999
AT,Austria,96.5946839428433,1998
AT,Austria,96.4887503027367,1997
AT,Austria,96.3794744490191,1996
AT,Austria,96.2494308549285,1995
AZ,Azerbaijan,120.265319946776,2018
AZ,Azerbaijan,119.197205757832,2017
AZ,Azerbaijan,118.033288980283,2016
AZ,Azerbaijan,116.731079539702,2015
AZ,Azerbaijan,115.34881658409,2014
AZ,Azerbaijan,113.92347542296,2013
AZ,Azerbaijan,112.460792901473,2012
AZ,Azerbaijan,110.976338851057,2011
AZ,Azerbaijan,109.542349350317,2010
AZ,Azerbaijan,108.291287895398,2009
AZ,Azerbaijan,106.059760040326,2008
AZ,Azerbaijan,103.853363762393,2007
