iso2c,country,young_dependency_ratio,year
AL,Albania,24.6894536579374,2018
AL,Albania,25.0616153756683,2017
AL,Albania,25.5205227532969,2016
AL,Albania,25.9617139197613,2015
AL,Albania,27.1477515201907,2014
AL,Albania,28.5271557328546,2013
AL,Albania,30.0552270840505,2012
AL,Albania,31.7314696950619,2011
AL,Albania,33.6023219586931,2010
AL,Albania,34.767467258984,2009
AL,Albania,36.0509187205753,2008
AL,Albania,37.4523569585642,2007
AL,Albania,38.9894913134787,2006
AL,Albania,40.7130109481035,2005
AL,Albania,42.2927555010409,2004
AL,Albania,43.8893540771308,2003
AL,Albania,45.463524639865,2002
AL,Albania,46.9419098897808,2001
AL,Albania,48.2958197031285,2000
AL,Albania,49.4210653801797,1999
AL,Albania,50.4163358217002,1998
AL,Albania,51.3773159898314,1997
AL,Albania,52.427612980711,1996
AL,Albania,53.6205897427312,1995
AM,Armenia,29.3084984564764,2018
AM,Armenia,29.0960039034489,2017
AM,Armenia,28.8633613568128,2016
AM,Armenia,28.6579749377294,2015
AM,Armenia,28.3751708477808,2014
AM,Armenia,28.1036646219243,2013
AM,Armenia,27.9123299932868,2012
AM,Armenia,27.8709552578531,2011
AM,Armenia,27.9826950937282,2010
AM,Armenia,28.3774356182044,2009
AM,Armenia,29.1076139571245,2008
AM,Armenia,30.0905493568875,2007
AM,Armenia,31.1620957018806,2006
AM,Armenia,32.2057743543125,2005
AM,Armenia,33.6213760455971,2004
AM,Armenia,35.0810661992215,2003
AM,Armenia,36.6151634563089,2002
AM,Armenia,38.3081172490974,2001
AM,Armenia,40.2210314972422,2000
AM,Armenia,41.789366151858,1999
AM,Armenia,43.3225143340721,1998
AM,Armenia,44.7346477934276,1997
AM,Armenia,45.9461575016047,1996
AM,Armenia,46.9158415496152,1995
AT,Austria,21.2007365368426,2018
AT,Austria,21.1246843359041,2017
AT,Austria,21.0781071065913,2016
AT,Austria,21.0621386472655,2015
AT,Austria,21.1273669541679,2014
