iso2c,country,GB.XPD.RSDV.GD.ZS,year
AL,Albania,NA,2017
AL,Albania,NA,2016
AL,Albania,NA,2015
AL,Albania,NA,2014
AL,Albania,NA,2013
AL,Albania,NA,2012
AL,Albania,NA,2011
AL,Albania,NA,2010
AL,Albania,NA,2009
AL,Albania,0.15412,2008
AL,Albania,0.08737,2007
AL,Albania,NA,2006
AL,Albania,NA,2005
AL,Albania,NA,2004
AL,Albania,NA,2003
AL,Albania,NA,2002
AL,Albania,NA,2001
AL,Albania,NA,2000
AL,Albania,NA,1999
AL,Albania,NA,1998
AL,Albania,NA,1997
AL,Albania,NA,1996
AL,Albania,NA,1995
AM,Armenia,0.2277,2017
AM,Armenia,0.23305,2016
AM,Armenia,0.25002,2015
AM,Armenia,0.24151,2014
AM,Armenia,0.22216,2013
AM,Armenia,0.23853,2012
AM,Armenia,0.27014,2011
AM,Armenia,0.24139,2010
AM,Armenia,0.29093,2009
AM,Armenia,0.22438,2008
AM,Armenia,0.21107,2007
AM,Armenia,0.24057,2006
AM,Armenia,0.25761,2005
AM,Armenia,0.25659,2004
AM,Armenia,0.32109,2003
AM,Armenia,0.25255,2002
AM,Armenia,0.27987,2001
AM,Armenia,0.19106,2000
AM,Armenia,0.214,1999
AM,Armenia,0.22601,1998
AM,Armenia,0.18692,1997
AM,Armenia,NA,1996
AM,Armenia,NA,1995
AT,Austria,NA,2017
AT,Austria,3.08695,2016
AT,Austria,3.04771,2015
AT,Austria,3.06921,2014
AT,Austria,2.95492,2013
AT,Austria,2.91472,2012
AT,Austria,2.66868,2011
AT,Austria,2.7261,2010
AT,Austria,2.59674,2009
AT,Austria,2.56945,2008
AT,Austria,2.41843,2007
AT,Austria,2.35923,2006
AT,Austria,2.37324,2005
AT,Austria,2.16612,2004
AT,Austria,2.17456,2003
AT,Austria,2.06598,2002
AT,Austria,1.9921,2001
AT,Austria,1.88602,2000
AT,Austria,1.84537,1999
AT,Austria,1.73155,1998
AT,Austria,1.65491,1997
AT,Austria,1.58077,1996
AT,Austria,NA,1995
AZ,Azerbaijan,0.18521,2017
AZ,Azerbaijan,0.20637,2016
AZ,Azerbaijan,0.22232,2015
AZ,Azerbaijan,0.20978,2014
AZ,Azerbaijan,0.20969,2013
AZ,Azerbaijan,0.21427,2012
AZ,Azerbaijan,0.21084,2011
