iso3,country,year,education_classification,labor force (thousands)
ALB,Albania,2002,Education (Aggregate levels): Total,1318.117
ALB,Albania,2002,Education (Aggregate levels): Less than basic,27.223
ALB,Albania,2002,Education (Aggregate levels): Basic,792.34
ALB,Albania,2002,Education (Aggregate levels): Intermediate,393.889
ALB,Albania,2002,Education (Aggregate levels): Advanced,104.665
ALB,Albania,2007,Education (Aggregate levels): Total,1163.7862
ALB,Albania,2007,Education (Aggregate levels): Less than basic,7.5073
ALB,Albania,2007,Education (Aggregate levels): Basic,576.6495
ALB,Albania,2007,Education (Aggregate levels): Intermediate,451.5575
ALB,Albania,2007,Education (Aggregate levels): Advanced,128.0719
ALB,Albania,2008,Education (Aggregate levels): Total,1291.8724
ALB,Albania,2008,Education (Aggregate levels): Less than basic,7.6141
ALB,Albania,2008,Education (Aggregate levels): Basic,680.6354
ALB,Albania,2008,Education (Aggregate levels): Intermediate,443.8518
ALB,Albania,2008,Education (Aggregate levels): Advanced,159.7711
ALB,Albania,2009,Education (Aggregate levels): Total,1344.3298
ALB,Albania,2009,Education (Aggregate levels): Less than basic,10.3576
ALB,Albania,2009,Education (Aggregate levels): Basic,688.3262
ALB,Albania,2009,Education (Aggregate levels): Intermediate,472.3167
ALB,Albania,2009,Education (Aggregate levels): Advanced,173.3293
ALB,Albania,2010,Education (Aggregate levels): Total,1358.6164
ALB,Albania,2010,Education (Aggregate levels): Less than basic,12.6686
ALB,Albania,2010,Education (Aggregate levels): Basic,687.9007
ALB,Albania,2010,Education (Aggregate levels): Intermediate,487.5424
ALB,Albania,2010,Education (Aggregate levels): Advanced,170.5048
ALB,Albania,2011,Education (Aggregate levels): Total,1340.133
ALB,Albania,2011,Education (Aggregate levels): Less than basic,13.0892
ALB,Albania,2011,Education (Aggregate levels): Basic,666.4818
ALB,Albania,2011,Education (Aggregate levels): Intermediate,496.6826
ALB,Albania,2011,Education (Aggregate levels): Advanced,163.8795
ALB,Albania,2012,Education (Aggregate levels): Total,1308.9267
ALB,Albania,2012,Education (Aggregate levels): Less than basic,11.0459
ALB,Albania,2012,Education (Aggregate levels): Basic,651.7299
ALB,Albania,2012,Education (Aggregate levels): Intermediate,473.3288
ALB,Albania,2012,Education (Aggregate levels): Advanced,172.7743
ALB,Albania,2012,Education (Aggregate levels): Level not stated,NA
ALB,Albania,2013,Education (Aggregate levels): Total,1217.2723
ALB,Albania,2013,Education (Aggregate levels): Less than basic,12.0861
ALB,Albania,2013,Education (Aggregate levels): Basic,578.2078
ALB,Albania,2013,Education (Aggregate levels): Intermediate,423.9872
ALB,Albania,2013,Education (Aggregate levels): Advanced,202.9912
ALB,Albania,2014,Education (Aggregate levels): Total,1256.858
ALB,Albania,2014,Education (Aggregate levels): Less than basic,40.749
ALB,Albania,2014,Education (Aggregate levels): Basic,532.016
ALB,Albania,2014,Education (Aggregate levels): Intermediate,466.686
ALB,Albania,2014,Education (Aggregate levels): Advanced,217.407
ALB,Albania,2015,Education (Aggregate levels): Total,1310.4763221
ALB,Albania,2015,Education (Aggregate levels): Less than basic,39.410591384
ALB,Albania,2015,Education (Aggregate levels): Basic,539.0017979
ALB,Albania,2015,Education (Aggregate levels): Intermediate,487.33246499
ALB,Albania,2015,Education (Aggregate levels): Advanced,244.73146784
ALB,Albania,2017,Education (Aggregate levels): Total,1385.3997
ALB,Albania,2017,Education (Aggregate levels): Less than basic,38.36016
ALB,Albania,2017,Education (Aggregate levels): Basic,580.54531
ALB,Albania,2017,Education (Aggregate levels): Intermediate,503.08198
ALB,Albania,2017,Education (Aggregate levels): Advanced,263.41225
ALB,Albania,2017,Education (Aggregate levels): Level not stated,0
ARM,Armenia,2007,Education (Aggregate levels): Total,1659.4
ARM,Armenia,2007,Education (Aggregate levels): Less than basic,2.3
ARM,Armenia,2007,Education (Aggregate levels): Basic,175.2
ARM,Armenia,2007,Education (Aggregate levels): Intermediate,1101.9
ARM,Armenia,2007,Education (Aggregate levels): Advanced,380
ARM,Armenia,2008,Education (Aggregate levels): Total,1308.4105
ARM,Armenia,2008,Education (Aggregate levels): Less than basic,NA
ARM,Armenia,2008,Education (Aggregate levels): Basic,107.2457
ARM,Armenia,2008,Education (Aggregate levels): Intermediate,869.5335
ARM,Armenia,2008,Education (Aggregate levels): Advanced,329.7412
ARM,Armenia,2014,Education (Aggregate levels): Total,1373.9636
ARM,Armenia,2014,Education (Aggregate levels): Less than basic,0.083
ARM,Armenia,2014,Education (Aggregate levels): Basic,56.5642
ARM,Armenia,2014,Education (Aggregate levels): Intermediate,896.4808
ARM,Armenia,2014,Education (Aggregate levels): Advanced,420.8355
ARM,Armenia,2015,Education (Aggregate levels): Total,1312.2777
ARM,Armenia,2015,Education (Aggregate levels): Less than basic,1.0153
ARM,Armenia,2015,Education (Aggregate levels): Basic,66.3466
ARM,Armenia,2015,Education (Aggregate levels): Intermediate,865.3059
ARM,Armenia,2015,Education (Aggregate levels): Advanced,379.6098
ARM,Armenia,2016,Education (Aggregate levels): Total,1221.3148
ARM,Armenia,2016,Education (Aggregate levels): Less than basic,NA
ARM,Armenia,2016,Education (Aggregate levels): Basic,65.4856
ARM,Armenia,2016,Education (Aggregate levels): Intermediate,803.2038
ARM,Armenia,2016,Education (Aggregate levels): Advanced,352.238
ARM,Armenia,2017,Education (Aggregate levels): Total,1229.3803
ARM,Armenia,2017,Education (Aggregate levels): Less than basic,NA
ARM,Armenia,2017,Education (Aggregate levels): Basic,51.4841
ARM,Armenia,2017,Education (Aggregate levels): Intermediate,812.6413
ARM,Armenia,2017,Education (Aggregate levels): Advanced,364.7945
ARM,Armenia,2007,Education (Aggregate levels): Total,1317.8007
ARM,Armenia,2007,Education (Aggregate levels): Less than basic,4.5613
ARM,Armenia,2007,Education (Aggregate levels): Basic,30.4875
ARM,Armenia,2007,Education (Aggregate levels): Intermediate,636.37
ARM,Armenia,2007,Education (Aggregate levels): Advanced,371.6837
ARM,Armenia,2007,Education (Aggregate levels): Level not stated,274.6982
ARM,Armenia,2008,Education (Aggregate levels): Total,1414.637
ARM,Armenia,2008,Education (Aggregate levels): Less than basic,4.3505
ARM,Armenia,2008,Education (Aggregate levels): Basic,124.8058
ARM,Armenia,2008,Education (Aggregate levels): Intermediate,965.4419
ARM,Armenia,2008,Education (Aggregate levels): Advanced,320.0388
ARM,Armenia,2009,Education (Aggregate levels): Total,1413.4203
ARM,Armenia,2009,Education (Aggregate levels): Less than basic,5.0024
