iso3,country,year,education_classification,unemployment (thousands)
ALB,Albania,2007,Education (Aggregate levels): Total,185.814
ALB,Albania,2007,Education (Aggregate levels): Less than basic,1.5182
ALB,Albania,2007,Education (Aggregate levels): Basic,81.9673
ALB,Albania,2007,Education (Aggregate levels): Intermediate,82.3327
ALB,Albania,2007,Education (Aggregate levels): Advanced,19.9959
ALB,Albania,2008,Education (Aggregate levels): Total,168.7167
ALB,Albania,2008,Education (Aggregate levels): Less than basic,1.7933
ALB,Albania,2008,Education (Aggregate levels): Basic,77.3982
ALB,Albania,2008,Education (Aggregate levels): Intermediate,69.2688
ALB,Albania,2008,Education (Aggregate levels): Advanced,20.2565
ALB,Albania,2009,Education (Aggregate levels): Total,183.8219
ALB,Albania,2009,Education (Aggregate levels): Less than basic,2.542
ALB,Albania,2009,Education (Aggregate levels): Basic,79.5052
ALB,Albania,2009,Education (Aggregate levels): Intermediate,73.6902
ALB,Albania,2009,Education (Aggregate levels): Advanced,28.0845
ALB,Albania,2010,Education (Aggregate levels): Total,191.3751
ALB,Albania,2010,Education (Aggregate levels): Less than basic,2.7872
ALB,Albania,2010,Education (Aggregate levels): Basic,87.6319
ALB,Albania,2010,Education (Aggregate levels): Intermediate,76.8388
ALB,Albania,2010,Education (Aggregate levels): Advanced,24.1172
ALB,Albania,2011,Education (Aggregate levels): Total,180.6623
ALB,Albania,2011,Education (Aggregate levels): Less than basic,NA
ALB,Albania,2011,Education (Aggregate levels): Basic,82.0262
ALB,Albania,2011,Education (Aggregate levels): Intermediate,72.5252
ALB,Albania,2011,Education (Aggregate levels): Advanced,25.5706
ALB,Albania,2012,Education (Aggregate levels): Total,175.0804
ALB,Albania,2012,Education (Aggregate levels): Less than basic,0.8392
ALB,Albania,2012,Education (Aggregate levels): Basic,76.7779
ALB,Albania,2012,Education (Aggregate levels): Intermediate,70.2119
ALB,Albania,2012,Education (Aggregate levels): Advanced,27.2515
ALB,Albania,2013,Education (Aggregate levels): Total,193.1317
ALB,Albania,2013,Education (Aggregate levels): Less than basic,1.9222
ALB,Albania,2013,Education (Aggregate levels): Basic,81.2679
ALB,Albania,2013,Education (Aggregate levels): Intermediate,79.6963
ALB,Albania,2013,Education (Aggregate levels): Advanced,30.2453
ALB,Albania,2014,Education (Aggregate levels): Total,219.797
ALB,Albania,2014,Education (Aggregate levels): Less than basic,3.457
ALB,Albania,2014,Education (Aggregate levels): Basic,79.415
ALB,Albania,2014,Education (Aggregate levels): Intermediate,99.563
ALB,Albania,2014,Education (Aggregate levels): Advanced,37.362
ALB,Albania,2015,Education (Aggregate levels): Total,223.86384567
ALB,Albania,2015,Education (Aggregate levels): Less than basic,3.5080065443
ALB,Albania,2015,Education (Aggregate levels): Basic,74.343361286
ALB,Albania,2015,Education (Aggregate levels): Intermediate,99.27993714
ALB,Albania,2015,Education (Aggregate levels): Advanced,46.732540702
ALB,Albania,1995,Education (Aggregate levels): Total,171.001
ALB,Albania,1995,Education (Aggregate levels): Basic,82.717
ALB,Albania,1995,Education (Aggregate levels): Intermediate,84.584
ALB,Albania,1995,Education (Aggregate levels): Advanced,3.7
ALB,Albania,1996,Education (Aggregate levels): Total,158.155
ALB,Albania,1996,Education (Aggregate levels): Basic,78.069
ALB,Albania,1996,Education (Aggregate levels): Intermediate,76.957
ALB,Albania,1996,Education (Aggregate levels): Advanced,3.129
ALB,Albania,1997,Education (Aggregate levels): Total,193.526
ALB,Albania,1997,Education (Aggregate levels): Basic,94.664
ALB,Albania,1997,Education (Aggregate levels): Intermediate,93.702
ALB,Albania,1997,Education (Aggregate levels): Advanced,5.16
ALB,Albania,1999,Education (Aggregate levels): Total,239.794
ALB,Albania,1999,Education (Aggregate levels): Basic,114.834
ALB,Albania,1999,Education (Aggregate levels): Intermediate,117.973
ALB,Albania,1999,Education (Aggregate levels): Advanced,6.987
ALB,Albania,2000,Education (Aggregate levels): Total,215.085
ALB,Albania,2000,Education (Aggregate levels): Basic,104.604
ALB,Albania,2000,Education (Aggregate levels): Intermediate,104.615
ALB,Albania,2000,Education (Aggregate levels): Advanced,5.866
ALB,Albania,2001,Education (Aggregate levels): Total,180.513
ALB,Albania,2001,Education (Aggregate levels): Basic,89.309
ALB,Albania,2001,Education (Aggregate levels): Intermediate,87.097
ALB,Albania,2001,Education (Aggregate levels): Advanced,4.107
ALB,Albania,2003,Education (Aggregate levels): Total,163.03
ALB,Albania,2003,Education (Aggregate levels): Basic,86.91
ALB,Albania,2003,Education (Aggregate levels): Intermediate,73.541
ALB,Albania,2003,Education (Aggregate levels): Advanced,2.579
ALB,Albania,2004,Education (Aggregate levels): Total,157.008
ALB,Albania,2004,Education (Aggregate levels): Basic,84.066
ALB,Albania,2004,Education (Aggregate levels): Intermediate,70.219
ALB,Albania,2004,Education (Aggregate levels): Advanced,2.723
ALB,Albania,2005,Education (Aggregate levels): Total,153.25
ALB,Albania,2005,Education (Aggregate levels): Basic,81.845
ALB,Albania,2005,Education (Aggregate levels): Intermediate,68.563
ALB,Albania,2005,Education (Aggregate levels): Advanced,2.842
ALB,Albania,2006,Education (Aggregate levels): Total,149.79
ALB,Albania,2006,Education (Aggregate levels): Basic,81.278
ALB,Albania,2006,Education (Aggregate levels): Intermediate,65.148
ALB,Albania,2006,Education (Aggregate levels): Advanced,3.373
ARM,Armenia,2007,Education (Aggregate levels): Total,470.9
ARM,Armenia,2007,Education (Aggregate levels): Less than basic,0.5
ARM,Armenia,2007,Education (Aggregate levels): Basic,42.6
ARM,Armenia,2007,Education (Aggregate levels): Intermediate,328.7
ARM,Armenia,2007,Education (Aggregate levels): Advanced,99.1
ARM,Armenia,2008,Education (Aggregate levels): Total,300.5921
ARM,Armenia,2008,Education (Aggregate levels): Less than basic,NA
ARM,Armenia,2008,Education (Aggregate levels): Basic,33.4023
ARM,Armenia,2008,Education (Aggregate levels): Intermediate,204.8484
ARM,Armenia,2008,Education (Aggregate levels): Advanced,61.9489
ARM,Armenia,2014,Education (Aggregate levels): Total,240.4227
ARM,Armenia,2014,Education (Aggregate levels): Basic,5.4529
ARM,Armenia,2014,Education (Aggregate levels): Intermediate,161.4479
ARM,Armenia,2014,Education (Aggregate levels): Advanced,73.5219
ARM,Armenia,2015,Education (Aggregate levels): Total,239.6353
ARM,Armenia,2015,Education (Aggregate levels): Basic,10.1136
ARM,Armenia,2015,Education (Aggregate levels): Intermediate,162.9802
ARM,Armenia,2015,Education (Aggregate levels): Advanced,66.5415
ARM,Armenia,2016,Education (Aggregate levels): Total,215.1613
ARM,Armenia,2016,Education (Aggregate levels): Basic,9.541
ARM,Armenia,2016,Education (Aggregate levels): Intermediate,146.3906
ARM,Armenia,2016,Education (Aggregate levels): Advanced,59.2297
ARM,Armenia,2017,Education (Aggregate levels): Total,217.6559
ARM,Armenia,2017,Education (Aggregate levels): Basic,8.9598
ARM,Armenia,2017,Education (Aggregate levels): Intermediate,143.7008
ARM,Armenia,2017,Education (Aggregate levels): Advanced,64.9953
ARM,Armenia,2007,Education (Aggregate levels): Total,129.3066
ARM,Armenia,2007,Education (Aggregate levels): Less than basic,NA
ARM,Armenia,2007,Education (Aggregate levels): Basic,0.6112
ARM,Armenia,2007,Education (Aggregate levels): Intermediate,64.1311
