iso3,country,employment_in_agriculture,year,indicator,indicator.label,note_source.label
ALB,Albania,68.37,1995,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
ALB,Albania,70.25,1996,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
ALB,Albania,69.65,1997,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
ALB,Albania,70.78,1998,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
ALB,Albania,72.11,1999,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
ALB,Albania,71.82,2000,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
ALB,Albania,72.15,2001,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
ALB,Albania,57.72,2002,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
ALB,Albania,58.1,2003,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
ALB,Albania,58.54,2004,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
ALB,Albania,58.47,2005,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
ALB,Albania,57.97,2006,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
ALB,Albania,36.65,2007,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,44.64,2008,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,44.05,2009,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,42.08,2010,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,45.39,2011,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,45.97,2012,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,44.03,2013,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,42.7,2014,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Population coverage: Excluding both institutional population and armed forces and/or conscripts
ALB,Albania,41.26,2015,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Population coverage: Excluding both institutional population and armed forces and/or conscripts
ALB,Albania,38.2,2017,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Employment definition: Excluding own-use production workers | Population coverage: Excluding both institutional population and armed forces and/or conscripts
ARM,Armenia,45.26,2002,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Population coverage: Excluding armed forces and/or conscripts
ARM,Armenia,36.53,2007,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Population coverage: Including armed forces and/or conscripts | Age coverage - minimum age: 16 years old
ARM,Armenia,30.18,2008,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,39.45,2009,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,38.6,2010,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,38.92,2011,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,37.25,2012,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,36.28,2013,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,34.83,2014,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,35.33,2015,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,33.6,2016,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,31.34,2017,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
AUT,Austria,7.34,1995,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,7.43,1996,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,6.89,1997,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,6.48,1998,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,6.23,1999,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,6.05,2000,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,5.8,2001,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,5.76,2002,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,5.5,2003,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.89,2004,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,5.27,2005,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,5.24,2006,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,5.53,2007,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,5.25,2008,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,5.32,2009,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,5.21,2010,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.94,2011,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.68,2012,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.58,2013,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.84,2014,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.53,2015,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.35,2016,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,3.93,2017,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,3.69,2018,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Repository: Eurostat special tabulation
AZE,Azerbaijan,30.8,1995,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Population coverage: Including armed forces and/or conscripts
AZE,Azerbaijan,31.8,1996,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Population coverage: Including armed forces and/or conscripts
AZE,Azerbaijan,29,1997,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Population coverage: Including armed forces and/or conscripts
AZE,Azerbaijan,42.3,1998,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
AZE,Azerbaijan,42.31,1999,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
AZE,Azerbaijan,41.01,2000,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
AZE,Azerbaijan,39.95,2001,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
AZE,Azerbaijan,40.19,2002,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
AZE,Azerbaijan,38.2,2003,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Population coverage: Excluding armed forces and/or conscripts
AZE,Azerbaijan,39.54,2004,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
AZE,Azerbaijan,39.32,2005,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
AZE,Azerbaijan,39.55,2006,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Population coverage: Excluding armed forces and/or conscripts
AZE,Azerbaijan,38.55,2007,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Population coverage: Excluding armed forces and/or conscripts
AZE,Azerbaijan,38.4,2008,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),NA
AZE,Azerbaijan,36.35,2017,EMP_TAGR_NOC_RT,Share of agriculture in total employment (%),Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
