iso3,country,employment_in_employers,year,indicator,indicator.label,note_source.label
ALB,Albania,3.21,2007,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,1.75,2008,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,1.44,2009,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,1.57,2010,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,1.89,2011,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,1.53,2012,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,1.74,2013,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,1.94,2014,EMP_TEER_NOC_RT,Share of employers in total employment (%),Population coverage: Excluding both institutional population and armed forces and/or conscripts
ALB,Albania,2.37,2015,EMP_TEER_NOC_RT,Share of employers in total employment (%),Population coverage: Excluding both institutional population and armed forces and/or conscripts
ALB,Albania,2.99,2017,EMP_TEER_NOC_RT,Share of employers in total employment (%),Employment definition: Excluding own-use production workers | Population coverage: Excluding both institutional population and armed forces and/or conscripts
ARM,Armenia,0.53,2007,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,1.15,2008,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,0.54,2009,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,0.52,2010,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,0.64,2011,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,0.54,2012,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,0.46,2013,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,1.41,2014,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,0.91,2015,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,1.04,2016,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,1.22,2017,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
AUT,Austria,4.83,1995,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.9,1996,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.9,1997,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,5.14,1998,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.94,1999,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,5,2000,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.89,2001,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,5.22,2002,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,5.09,2003,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.26,2004,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.62,2005,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.81,2006,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.88,2007,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.69,2008,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.74,2009,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.78,2010,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.68,2011,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.62,2012,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.49,2013,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.71,2014,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.51,2015,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.55,2016,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.65,2017,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,4.57,2018,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
AZE,Azerbaijan,7.09,2003,EMP_TEER_NOC_RT,Share of employers in total employment (%),Data reference period: End of the year | Population coverage: Excluding armed forces and/or conscripts
AZE,Azerbaijan,4.29,2004,EMP_TEER_NOC_RT,Share of employers in total employment (%),NA
AZE,Azerbaijan,3.25,2005,EMP_TEER_NOC_RT,Share of employers in total employment (%),NA
AZE,Azerbaijan,2.19,2006,EMP_TEER_NOC_RT,Share of employers in total employment (%),Data reference period: End of the year | Population coverage: Excluding armed forces and/or conscripts
AZE,Azerbaijan,5.05,2007,EMP_TEER_NOC_RT,Share of employers in total employment (%),Data reference period: End of the year | Population coverage: Excluding armed forces and/or conscripts
AZE,Azerbaijan,2.95,2008,EMP_TEER_NOC_RT,Share of employers in total employment (%),Data reference period: End of the year | Population coverage: Excluding armed forces and/or conscripts
AZE,Azerbaijan,12.2,2009,EMP_TEER_NOC_RT,Share of employers in total employment (%),Data reference period: End of the year | Population coverage: Excluding armed forces and/or conscripts
AZE,Azerbaijan,12.09,2010,EMP_TEER_NOC_RT,Share of employers in total employment (%),Data reference period: End of the year | Population coverage: Excluding armed forces and/or conscripts
AZE,Azerbaijan,10.75,2011,EMP_TEER_NOC_RT,Share of employers in total employment (%),Data reference period: End of the year | Population coverage: Excluding armed forces and/or conscripts
AZE,Azerbaijan,9.56,2012,EMP_TEER_NOC_RT,Share of employers in total employment (%),Data reference period: End of the year | Population coverage: Excluding armed forces and/or conscripts
AZE,Azerbaijan,10.08,2013,EMP_TEER_NOC_RT,Share of employers in total employment (%),Data reference period: End of the year | Population coverage: Excluding armed forces and/or conscripts
AZE,Azerbaijan,9.99,2014,EMP_TEER_NOC_RT,Share of employers in total employment (%),Data reference period: End of the year | Population coverage: Excluding armed forces and/or conscripts
AZE,Azerbaijan,12.35,2015,EMP_TEER_NOC_RT,Share of employers in total employment (%),Data reference period: End of the year | Population coverage: Excluding armed forces and/or conscripts
AZE,Azerbaijan,13.14,2016,EMP_TEER_NOC_RT,Share of employers in total employment (%),Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
AZE,Azerbaijan,13.16,2017,EMP_TEER_NOC_RT,Share of employers in total employment (%),Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
AZE,Azerbaijan,12.73,2018,EMP_TEER_NOC_RT,Share of employers in total employment (%),Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
BEL,Belgium,1.9,1995,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,1.85,1996,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,1.43,1997,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,1.81,1998,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,4.46,1999,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,4.53,2000,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,4.49,2001,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,4.04,2002,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,4.13,2003,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,4.53,2004,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,4.65,2005,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,4.67,2006,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,4.51,2007,EMP_TEER_NOC_RT,Share of employers in total employment (%),Repository: Eurostat special tabulation
