iso3,country,employment_in_services,year,indicator,indicator.label,note_source.label
ALB,Albania,21.44,1995,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
ALB,Albania,20.16,1996,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
ALB,Albania,21.05,1997,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
ALB,Albania,20.46,1998,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
ALB,Albania,19.15,1999,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
ALB,Albania,21.54,2000,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
ALB,Albania,21.35,2001,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
ALB,Albania,28.37,2002,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
ALB,Albania,28.51,2003,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
ALB,Albania,27.6,2004,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
ALB,Albania,27.79,2005,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
ALB,Albania,28.45,2006,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
ALB,Albania,40.8,2007,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,37.56,2008,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,36.01,2009,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,37.32,2010,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,35.75,2011,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,36.6,2012,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,38.77,2013,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: ILO-STATISTICS - Micro data processing
ALB,Albania,39.41,2014,EMP_TSRV_NOC_RT,Share of services in total employment (%),Population coverage: Excluding both institutional population and armed forces and/or conscripts
ALB,Albania,39.92,2015,EMP_TSRV_NOC_RT,Share of services in total employment (%),Population coverage: Excluding both institutional population and armed forces and/or conscripts
ALB,Albania,42.44,2017,EMP_TSRV_NOC_RT,Share of services in total employment (%),Employment definition: Excluding own-use production workers | Population coverage: Excluding both institutional population and armed forces and/or conscripts
ARM,Armenia,37.76,2002,EMP_TSRV_NOC_RT,Share of services in total employment (%),Population coverage: Excluding armed forces and/or conscripts
ARM,Armenia,44.5,2007,EMP_TSRV_NOC_RT,Share of services in total employment (%),Population coverage: Including armed forces and/or conscripts | Age coverage - minimum age: 16 years old
ARM,Armenia,47.51,2008,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,43.47,2009,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,43.99,2010,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,44.38,2011,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,45.07,2012,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,46.72,2013,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,48.45,2014,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,48.76,2015,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,50.62,2016,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
ARM,Armenia,51.95,2017,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
AUT,Austria,60.56,1995,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,62.27,1996,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,63.47,1997,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,63.95,1998,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,64.01,1999,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,63.92,2000,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,64.83,2001,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,65.39,2002,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,65.58,2003,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,68.25,2004,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,67.15,2005,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,66.59,2006,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,67.15,2007,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,68.51,2008,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,69.71,2009,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,69.88,2010,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,69.04,2011,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,69.24,2012,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,69.52,2013,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,69.41,2014,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,69.7,2015,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,70.09,2016,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,71.15,2017,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AUT,Austria,70.87,2018,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
AZE,Azerbaijan,35.78,1995,EMP_TSRV_NOC_RT,Share of services in total employment (%),Population coverage: Including armed forces and/or conscripts
AZE,Azerbaijan,37.71,1996,EMP_TSRV_NOC_RT,Share of services in total employment (%),Population coverage: Including armed forces and/or conscripts
AZE,Azerbaijan,42.32,1997,EMP_TSRV_NOC_RT,Share of services in total employment (%),Population coverage: Including armed forces and/or conscripts
AZE,Azerbaijan,46.58,1998,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
AZE,Azerbaijan,46.51,1999,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
AZE,Azerbaijan,48.11,2000,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
AZE,Azerbaijan,49.22,2001,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
AZE,Azerbaijan,48.29,2002,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
AZE,Azerbaijan,48.9,2003,EMP_TSRV_NOC_RT,Share of services in total employment (%),Population coverage: Excluding armed forces and/or conscripts
AZE,Azerbaijan,48.56,2004,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
AZE,Azerbaijan,48.61,2005,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
AZE,Azerbaijan,48.1,2006,EMP_TSRV_NOC_RT,Share of services in total employment (%),Population coverage: Excluding armed forces and/or conscripts
AZE,Azerbaijan,48.83,2007,EMP_TSRV_NOC_RT,Share of services in total employment (%),Population coverage: Excluding armed forces and/or conscripts
AZE,Azerbaijan,48.9,2008,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
AZE,Azerbaijan,49.28,2017,EMP_TSRV_NOC_RT,Share of services in total employment (%),Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
AZE,Azerbaijan,49.02,2018,EMP_TSRV_NOC_RT,Share of services in total employment (%),Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
BEL,Belgium,69.07,1995,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,69.62,1996,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,69.8,1997,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,70.52,1998,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,71.84,1999,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,72.28,2000,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,73.13,2001,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,72.43,2002,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,73.36,2003,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,72.84,2004,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,73.27,2005,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,73.34,2006,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,73.7,2007,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,73.77,2008,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,75.04,2009,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,75.27,2010,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,75.47,2011,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,77.07,2012,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,76.94,2013,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,77.39,2014,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,77.39,2015,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,77.49,2016,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,78.08,2017,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BEL,Belgium,77.94,2018,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,42.65,1995,EMP_TSRV_NOC_RT,Share of services in total employment (%),Population coverage: Excluding armed forces and/or conscripts
BGR,Bulgaria,43.06,1996,EMP_TSRV_NOC_RT,Share of services in total employment (%),NA
BGR,Bulgaria,42.65,1997,EMP_TSRV_NOC_RT,Share of services in total employment (%),Population coverage: Excluding armed forces and/or conscripts
BGR,Bulgaria,43.19,1998,EMP_TSRV_NOC_RT,Share of services in total employment (%),Population coverage: Excluding armed forces and/or conscripts
BGR,Bulgaria,45.37,1999,EMP_TSRV_NOC_RT,Share of services in total employment (%),Population coverage: Excluding armed forces and/or conscripts
BGR,Bulgaria,53.68,2000,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,57.46,2001,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,56.57,2002,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,56.69,2003,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,56.23,2004,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,56.78,2005,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,57.42,2006,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,56.96,2007,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,56.1,2008,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,57.67,2009,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
BGR,Bulgaria,60.21,2010,EMP_TSRV_NOC_RT,Share of services in total employment (%),Repository: Eurostat special tabulation
