"Sex","Type of Crime","Measurement","Country","1990","1995","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Both sexes","Serious assault","Victims of crime","Albania",..,..,..,..,..,..,..,..,..,..,137,143,172,169,170,179,146,189,137,127
"Both sexes","Serious assault","Victims of crime","Armenia",235,134,196,199,205,196,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Both sexes","Serious assault","Victims of crime","Austria",..,..,..,202,257,274,309,274,265,299,321,349,373,409,452,469,471,483,595,564
"Both sexes","Serious assault","Victims of crime","Azerbaijan",..,..,..,..,..,18,16,20,20,30,13,14,19,20,30,24,19,14,19,19
"Both sexes","Serious assault","Victims of crime","Belarus",..,1417,1864,1936,2073,2111,2324,2274,2123,1887,1743,1561,1389,1225,1067,1011,936,845,741,701
"Both sexes","Serious assault","Victims of crime","Bosnia and Herzegovina",..,..,..,..,..,..,..,1369,1498,1566,1474,..,505,652,618,577,592,992,1009,..
"Both sexes","Serious assault","Victims of crime","Bulgaria",..,..,47,69,84,86,62,64,58,56,68,44,39,26,25,35,22,21,26,19
"Both sexes","Serious assault","Victims of crime","Croatia",..,..,1046,1258,1278,1272,1178,1187,1090,1129,1155,1080,1005,891,915,848,778,822,787,673
"Both sexes","Serious assault","Victims of crime","Cyprus",75,153,108,140,158,168,217,148,170,183,197,290,..,..,..,..,..,..,..,..
"Both sexes","Serious assault","Victims of crime","Czechia",..,..,..,..,..,..,..,..,..,..,..,2758,1730,2667,3108,3294,..,..,..,..
"Both sexes","Serious assault","Victims of crime","Denmark",..,..,..,1711,1861,2022,1990,2047,1936,2326,2384,2350,2378,2256,2179,2021,2036,2032,2379,4092
"Both sexes","Serious assault","Victims of crime","Estonia",289,223,1104,1070,1411,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Both sexes","Serious assault","Victims of crime","Finland",2602,2305,2305,2486,2517,2455,2604,2420,2327,2766,2619,2507,2294,2363,2227,2041,1982,1859,1912,1963
"Both sexes","Serious assault","Victims of crime","France",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,252086,..,..
"Both sexes","Serious assault","Victims of crime","Georgia",..,..,..,..,..,..,..,375,276,167,209,160,133,102,62,125,188,153,136,149
"Both sexes","Serious assault","Victims of crime","Germany",75216,106831,133027,138181,146028,154505,163224,173576,181084,185875,182421,180437,172897,169044,165388,154795,152176,154082,..,..
"Both sexes","Serious assault","Victims of crime","Greece",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Both sexes","Serious assault","Victims of crime","Hungary",2006,2190,1939,1894,1914,1774,1788,1858,1681,1569,1714,7456,8062,6632,6497,6835,6503,6174,5592,5027
"Both sexes","Serious assault","Victims of crime","Iceland",..,..,..,..,..,..,..,58,56,50,77,79,57,60,74,92,101,53,74,101
"Both sexes","Serious assault","Victims of crime","Ireland",..,..,..,..,..,3789,3764,3611,3886,3777,3701,3603,3590,3439,3131,3011,3090,3441,3535,3990
"Both sexes","Serious assault","Victims of crime","Italy",19412,21448,29068,30693,28699,30644,51823,56629,59143,60127,62360,58205,57713,62893,64534,62301,61647,59220,58042,59937
"Both sexes","Serious assault","Victims of crime","Kazakhstan",..,..,..,..,..,..,..,..,..,..,..,..,1642,1854,1789,1780,1539,2271,2203,2065
"Both sexes","Serious assault","Victims of crime","Kyrgyzstan",716,627,290,345,336,333,305,296,296,273,269,292,347,336,..,..,..,..,..,..
"Both sexes","Serious assault","Victims of crime","Latvia",..,16312,19054,17764,17618,..,..,..,..,..,..,..,..,..,170,179,191,124,127,119
"Both sexes","Serious assault","Victims of crime","Lithuania",..,220,453,403,..,..,428,362,307,237,254,222,273,243,184,232,227,235,195,218
"Both sexes","Serious assault","Victims of crime","Luxembourg",..,..,..,803,897,916,1062,1074,1196,..,..,..,..,..,..,..,..,..,..,..
"Both sexes","Serious assault","Victims of crime","Malta",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Both sexes","Serious assault","Victims of crime","Netherlands",..,..,..,..,..,..,..,58235,62065,63202,59318,45878,61445,60455,57585,53445,50905,48280,46990,44790
"Both sexes","Serious assault","Victims of crime","North Macedonia",..,..,..,..,..,..,..,..,456,..,..,..,..,..,..,..,..,..,..,..
"Both sexes","Serious assault","Victims of crime","Norway",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Both sexes","Serious assault","Victims of crime","Poland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24470,21743,17801,..,..
