country,year,female_researchers
Armenia,1990,NA
Armenia,1995,NA
Armenia,2000,NA
Armenia,2001,NA
Armenia,2002,45.5
Armenia,2003,45.3
Armenia,2004,44.3
Armenia,2005,46.6
Armenia,2006,46.1
Armenia,2007,45.6
Armenia,2008,48.2
Armenia,2009,46.9
Armenia,2010,48.2
Armenia,2011,45.3
Armenia,2012,47
Armenia,2013,51
Armenia,2014,53.7
Armenia,2015,53.3
Armenia,2016,NA
Armenia,2017,NA
Austria,1990,NA
Austria,1995,NA
Austria,2000,NA
Austria,2001,NA
Austria,2002,20.7
Austria,2003,NA
Austria,2004,23.6
Austria,2005,NA
Austria,2006,25.3
Austria,2007,26.4
Austria,2008,NA
Austria,2009,28.4
Austria,2010,NA
Austria,2011,29
Austria,2012,NA
Austria,2013,29.6
Austria,2014,NA
Austria,2015,29.5
Austria,2016,NA
Austria,2017,NA
Azerbaijan,1990,NA
Azerbaijan,1995,NA
Azerbaijan,2000,50.5
Azerbaijan,2001,52.3
Azerbaijan,2002,52.3
Azerbaijan,2003,51.7
Azerbaijan,2004,51.9
Azerbaijan,2005,51.7
Azerbaijan,2006,52
Azerbaijan,2007,51.1
Azerbaijan,2008,51.5
Azerbaijan,2009,53.8
Azerbaijan,2010,54.9
Azerbaijan,2011,53.6
Azerbaijan,2012,51.2
Azerbaijan,2013,53.2
Azerbaijan,2014,53.5
Azerbaijan,2015,53.3
Azerbaijan,2016,56
Azerbaijan,2017,57.9
Belarus,1990,NA
Belarus,1995,NA
Belarus,2000,46.2
Belarus,2001,45.2
Belarus,2002,45.1
Belarus,2003,44
Belarus,2004,44.4
Belarus,2005,43.2
Belarus,2006,43.7
Belarus,2007,43.3
Belarus,2008,43.9
Belarus,2009,42.7
Belarus,2010,42.2
Belarus,2011,41.7
Belarus,2012,41.1
Belarus,2013,41.1
Belarus,2014,41.2
Belarus,2015,40.5
Belarus,2016,39.6
Belarus,2017,39.7
Belgium,1990,NA
Belgium,1995,NA
Belgium,2000,NA
Belgium,2001,NA
Belgium,2002,27.7
Belgium,2003,28.1
Belgium,2004,28.8
Belgium,2005,29.6
Belgium,2006,30.7
Belgium,2007,31.1
Belgium,2008,32.2
Belgium,2009,32.7
Belgium,2010,33.2
Belgium,2011,33.5
Belgium,2012,NA
Belgium,2013,33.4
Belgium,2014,NA
Belgium,2015,34.1
Belgium,2016,NA
Belgium,2017,NA
Bosnia and Herzegovina,1990,NA
Bosnia and Herzegovina,1995,NA
Bosnia and Herzegovina,2000,NA
Bosnia and Herzegovina,2001,NA
