country,year,female_victims_of_serious_assaults (in %)
Albania,1990,NA
Albania,1995,NA
Albania,2000,NA
Albania,2001,NA
Albania,2002,NA
Albania,2003,NA
Albania,2004,NA
Albania,2005,NA
Albania,2006,NA
Albania,2007,NA
Albania,2008,2.9
Albania,2009,4.9
Albania,2010,5.8
Albania,2011,4.7
Albania,2012,4.7
Albania,2013,3.4
Albania,2014,4.8
Albania,2015,5.3
Albania,2016,4.4
Albania,2017,6.3
Armenia,1990,NA
Armenia,1995,NA
Armenia,2000,9.2
Armenia,2001,9.5
Armenia,2002,10.2
Armenia,2003,12.2
Armenia,2004,NA
Armenia,2005,NA
Armenia,2006,NA
Armenia,2007,NA
Armenia,2008,NA
Armenia,2009,NA
Armenia,2010,NA
Armenia,2011,NA
Armenia,2012,NA
Armenia,2013,NA
Armenia,2014,NA
Armenia,2015,NA
Armenia,2016,NA
Armenia,2017,NA
Austria,1990,NA
Austria,1995,NA
Austria,2000,NA
Austria,2001,18.8
Austria,2002,15.2
Austria,2003,14.6
Austria,2004,14.6
Austria,2005,15
Austria,2006,14.7
Austria,2007,14
Austria,2008,15.9
Austria,2009,13.5
Austria,2010,17.7
Austria,2011,18.8
Austria,2012,18.1
Austria,2013,17.5
Austria,2014,15.3
Austria,2015,17.2
Austria,2016,15.5
Austria,2017,16.8
Azerbaijan,1990,NA
Azerbaijan,1995,NA
Azerbaijan,2000,NA
Azerbaijan,2001,NA
Azerbaijan,2002,NA
Azerbaijan,2003,27.8
Azerbaijan,2004,6.2
Azerbaijan,2005,20
Azerbaijan,2006,20
Azerbaijan,2007,20
Azerbaijan,2008,23.1
Azerbaijan,2009,21.4
Azerbaijan,2010,15.8
Azerbaijan,2011,15
Azerbaijan,2012,13.3
Azerbaijan,2013,12.5
Azerbaijan,2014,15.8
Azerbaijan,2015,7.1
Azerbaijan,2016,31.6
Azerbaijan,2017,5.3
Belarus,1990,NA
Belarus,1995,27.9
Belarus,2000,22.7
Belarus,2001,24.9
Belarus,2002,23.5
Belarus,2003,23.4
Belarus,2004,24.2
Belarus,2005,24.7
Belarus,2006,24.3
Belarus,2007,23.7
Belarus,2008,23.5
Belarus,2009,23.5
Belarus,2010,24.5
Belarus,2011,25
Belarus,2012,21.7
Belarus,2013,22.2
Belarus,2014,22.1
Belarus,2015,20.9
Belarus,2016,20.5
Belarus,2017,21.3
Bosnia and Herzegovina,1990,NA
Bosnia and Herzegovina,1995,NA
Bosnia and Herzegovina,2000,NA
Bosnia and Herzegovina,2001,NA
Bosnia and Herzegovina,2002,NA
Bosnia and Herzegovina,2003,NA
Bosnia and Herzegovina,2004,NA
Bosnia and Herzegovina,2005,NA
Bosnia and Herzegovina,2006,NA
Bosnia and Herzegovina,2007,NA
Bosnia and Herzegovina,2008,NA
Bosnia and Herzegovina,2009,NA
Bosnia and Herzegovina,2010,NA
Bosnia and Herzegovina,2011,NA
Bosnia and Herzegovina,2012,NA
Bosnia and Herzegovina,2013,NA
Bosnia and Herzegovina,2014,NA
Bosnia and Herzegovina,2015,NA
Bosnia and Herzegovina,2016,NA
Bosnia and Herzegovina,2017,NA
Bulgaria,1990,NA
Bulgaria,1995,NA
Bulgaria,2000,17
Bulgaria,2001,17.4
Bulgaria,2002,15.5
Bulgaria,2003,18.6
Bulgaria,2004,14.5
Bulgaria,2005,31.2
Bulgaria,2006,25.9
Bulgaria,2007,14.3
Bulgaria,2008,23.5
Bulgaria,2009,29.5
Bulgaria,2010,20.5
Bulgaria,2011,15.4
Bulgaria,2012,20
Bulgaria,2013,17.1
Bulgaria,2014,9.1
Bulgaria,2015,23.8
Bulgaria,2016,15.4
Bulgaria,2017,31.6
Croatia,1990,NA
Croatia,1995,NA
Croatia,2000,16
Croatia,2001,18.4
Croatia,2002,16.7
Croatia,2003,18.6
Croatia,2004,16.3
Croatia,2005,14.2
Croatia,2006,16.9
Croatia,2007,15.7
Croatia,2008,15.7
Croatia,2009,15.6
Croatia,2010,12
Croatia,2011,14.7
Croatia,2012,16.5
Croatia,2013,17.5
Croatia,2014,16.8
Croatia,2015,14.4
Croatia,2016,16.1
Croatia,2017,16.9
Cyprus,1990,9.3
Cyprus,1995,10.5
Cyprus,2000,20.4
Cyprus,2001,20
Cyprus,2002,17.1
Cyprus,2003,16.1
Cyprus,2004,16.1
Cyprus,2005,12.2
Cyprus,2006,16.5
Cyprus,2007,12.6
Cyprus,2008,14.2
Cyprus,2009,20
Cyprus,2010,NA
Cyprus,2011,NA
Cyprus,2012,NA
Cyprus,2013,NA
Cyprus,2014,NA
Cyprus,2015,NA
Cyprus,2016,NA
Cyprus,2017,NA
Czechia,1990,NA
Czechia,1995,NA
Czechia,2000,NA
Czechia,2001,NA
Czechia,2002,NA
Czechia,2003,NA
Czechia,2004,NA
Czechia,2005,NA
Czechia,2006,NA
Czechia,2007,NA
Czechia,2008,NA
Czechia,2009,29.4
Czechia,2010,29.1
Czechia,2011,26.7
Czechia,2012,27
Czechia,2013,26.6
Czechia,2014,NA
Czechia,2015,NA
Czechia,2016,NA
Czechia,2017,NA
Denmark,1990,NA
Denmark,1995,NA
Denmark,2000,NA
Denmark,2001,21.3
Denmark,2002,22.7
Denmark,2003,22.6
Denmark,2004,20.6
Denmark,2005,21.5
Denmark,2006,23.2
Denmark,2007,20.9
Denmark,2008,23.2
Denmark,2009,20.5
Denmark,2010,25.8
Denmark,2011,22.6
Denmark,2012,20.7
Denmark,2013,22.7
Denmark,2014,22.5
Denmark,2015,24.4
Denmark,2016,23.6
Denmark,2017,28.4
Estonia,1990,NA
Estonia,1995,NA
Estonia,2000,NA
Estonia,2001,NA
Estonia,2002,NA
Estonia,2003,NA
Estonia,2004,NA
Estonia,2005,NA
Estonia,2006,NA
Estonia,2007,NA
Estonia,2008,NA
Estonia,2009,NA
Estonia,2010,NA
Estonia,2011,NA
Estonia,2012,NA
Estonia,2013,NA
Estonia,2014,NA
Estonia,2015,NA
Estonia,2016,NA
Estonia,2017,NA
Finland,1990,NA
Finland,1995,NA
Finland,2000,NA
Finland,2001,NA
Finland,2002,NA
Finland,2003,NA
Finland,2004,NA
Finland,2005,NA
Finland,2006,NA
Finland,2007,NA
Finland,2008,NA
Finland,2009,20.2
Finland,2010,19.4
Finland,2011,20.4
Finland,2012,19.8
Finland,2013,20.8
Finland,2014,20.7
Finland,2015,22.8
Finland,2016,22.2
Finland,2017,23.2
France,1990,NA
France,1995,NA
France,2000,NA
France,2001,NA
France,2002,NA
France,2003,NA
France,2004,NA
France,2005,NA
France,2006,NA
France,2007,NA
France,2008,NA
France,2009,NA
France,2010,NA
France,2011,NA
France,2012,NA
France,2013,NA
France,2014,NA
France,2015,48.9
France,2016,NA
France,2017,NA
Georgia,1990,NA
Georgia,1995,NA
Georgia,2000,NA
Georgia,2001,NA
Georgia,2002,NA
Georgia,2003,NA
Georgia,2004,NA
Georgia,2005,8.3
Georgia,2006,8.7
Georgia,2007,14.4
Georgia,2008,8.1
Georgia,2009,11.2
Georgia,2010,8.3
Georgia,2011,14.7
Georgia,2012,8.1
Georgia,2013,7.2
Georgia,2014,7.4
Georgia,2015,6.5
Georgia,2016,8.1
Georgia,2017,6.7
Germany,1990,21.6
Germany,1995,22.7
Germany,2000,24
Germany,2001,24.5
Germany,2002,25.6
Germany,2003,25.6
Germany,2004,25
Germany,2005,24.6
Germany,2006,24.3
Germany,2007,23.5
Germany,2008,24.7
Germany,2009,24.5
Germany,2010,24.9
Germany,2011,24.9
Germany,2012,25.4
Germany,2013,26.2
Germany,2014,26.4
Germany,2015,26.6
Germany,2016,NA
Germany,2017,NA
Greece,1990,NA
Greece,1995,NA
Greece,2000,NA
Greece,2001,NA
Greece,2002,NA
Greece,2003,NA
Greece,2004,NA
Greece,2005,NA
Greece,2006,NA
Greece,2007,NA
Greece,2008,NA
Greece,2009,NA
Greece,2010,NA
Greece,2011,NA
Greece,2012,NA
Greece,2013,NA
Greece,2014,NA
Greece,2015,NA
Greece,2016,NA
Greece,2017,NA
Hungary,1990,20.5
Hungary,1995,20
Hungary,2000,22.3
Hungary,2001,20.8
Hungary,2002,22.2
Hungary,2003,22.2
Hungary,2004,22.9
Hungary,2005,21.7
Hungary,2006,20.6
Hungary,2007,21.5
Hungary,2008,21.8
Hungary,2009,26.6
Hungary,2010,26.5
Hungary,2011,26.6
Hungary,2012,25.6
Hungary,2013,26.2
Hungary,2014,27
Hungary,2015,25.5
Hungary,2016,24.6
Hungary,2017,24.7
Iceland,1990,NA
Iceland,1995,NA
Iceland,2000,NA
Iceland,2001,NA
Iceland,2002,NA
Iceland,2003,NA
Iceland,2004,NA
Iceland,2005,NA
Iceland,2006,NA
Iceland,2007,NA
Iceland,2008,NA
Iceland,2009,NA
Iceland,2010,NA
Iceland,2011,NA
Iceland,2012,NA
Iceland,2013,NA
Iceland,2014,NA
Iceland,2015,NA
Iceland,2016,NA
Iceland,2017,NA
Ireland,1990,NA
Ireland,1995,NA
Ireland,2000,NA
Ireland,2001,NA
Ireland,2002,NA
Ireland,2003,22
Ireland,2004,22.6
Ireland,2005,22
Ireland,2006,22.2
Ireland,2007,21.3
Ireland,2008,20.1
Ireland,2009,21.8
Ireland,2010,21.9
Ireland,2011,21.5
Ireland,2012,22.9
Ireland,2013,22.4
Ireland,2014,22.3
Ireland,2015,23.9
Ireland,2016,25.8
Ireland,2017,26.4
Italy,1990,NA
Italy,1995,NA
Italy,2000,NA
