country,year,Both sexes,Female,Male,gender_parity_in_tertiary_education
Albania,1990-1991,27461,14100,13361,1.1
Albania,1995-1996,30086,16172,13914,1.2
Albania,2000-2001,40859,25069,15790,1.6
Albania,2001-2002,42160,26124,16036,1.6
Albania,2002-2003,43600,27180,16420,1.7
Albania,2003-2004,52609,32633,19976,1.6
Albania,2004-2005,63257,38128,25129,1.5
Albania,2005-2006,74157,43329,30828,1.4
Albania,2006-2007,86863,50419,36444,1.4
Albania,2007-2008,90606,50979,39627,1.3
Albania,2008-2009,93139,52610,40529,1.3
Albania,2009-2010,122326,68079,54247,1.3
Albania,2010-2011,134877,74718,60159,1.2
Albania,2011-2012,160839,89269,71570,1.2
Albania,2012-2013,173029,96668,76361,1.3
Albania,2013-2014,173819,98291,75528,1.3
Albania,2014-2015,160527,91038,69489,1.3
Albania,2015-2016,NA,NA,NA,NA
Albania,2016-2017,NA,NA,NA,NA
Albania,2017-2018,NA,NA,NA,NA
Armenia,1990-1991,69470,NA,NA,NA
Armenia,1995-1996,40326,NA,NA,NA
Armenia,2000-2001,90417,53024,37393,1.4
Armenia,2001-2002,99761,58471,41290,1.4
Armenia,2002-2003,104891,60523,44368,1.4
Armenia,2003-2004,108750,64973,43777,1.5
Armenia,2004-2005,115475,68589,46886,1.5
Armenia,2005-2006,127499,74039,53460,1.4
Armenia,2006-2007,135725,78358,57367,1.4
Armenia,2007-2008,141407,81476,59931,1.4
Armenia,2008-2009,146224,83077,63147,1.3
Armenia,2009-2010,146125,82676,63449,1.3
Armenia,2010-2011,141455,79066,62389,1.3
Armenia,2011-2012,121265,67856,53409,1.3
Armenia,2012-2013,116036,63577,52459,1.2
Armenia,2013-2014,113957,63013,50944,1.2
Armenia,2014-2015,106966,59208,47758,1.2
Armenia,2015-2016,107775,60669,47106,1.3
Armenia,2016-2017,NA,NA,NA,NA
Armenia,2017-2018,NA,NA,NA,NA
Austria,1990-1991,205767,NA,NA,NA
Austria,1995-1996,238981,NA,NA,NA
Austria,2000-2001,323192,162769,160423,1
Austria,2001-2002,283480,144816,138664,1
Austria,2002-2003,229802,121778,108024,1.1
Austria,2003-2004,238521,127206,111315,1.1
Austria,2004-2005,244410,131144,113266,1.2
Austria,2005-2006,253139,136240,116899,1.2
Austria,2006-2007,260975,140125,120850,1.2
Austria,2007-2008,284791,151771,133020,1.1
Austria,2008-2009,308150,164060,144090,1.1
Austria,2009-2010,350190,185907,164283,1.1
Austria,2010-2011,361797,193033,168764,1.1
Austria,2011-2012,376498,201192,175306,1.1
Austria,2012-2013,418228,223280,194948,1.1
Austria,2013-2014,421225,224470,196755,1.1
Austria,2014-2015,425972,226737,199235,1.1
Austria,2015-2016,431125,228708,202417,1.1
Austria,2016-2017,430370,227452,202919,1.1
Austria,2017-2018,NA,NA,NA,NA
Azerbaijan,1990-1991,163901,64342,99559,0.65
Azerbaijan,1995-1996,118105,57738,60367,0.96
Azerbaijan,2000-2001,120693,50203,70490,0.71
Azerbaijan,2001-2002,121475,53661,67814,0.79
Azerbaijan,2002-2003,121156,54117,67039,0.81
Azerbaijan,2003-2004,122770,56431,66339,0.85
Azerbaijan,2004-2005,128634,60131,68503,0.88
Azerbaijan,2005-2006,131507,62450,69057,0.9
Azerbaijan,2006-2007,181937,92635,89302,1.04
Azerbaijan,2007-2008,180298,89827,90471,0.99
Azerbaijan,2008-2009,180276,89456,90820,0.98
Azerbaijan,2009-2010,180727,89245,91482,0.98
Azerbaijan,2010-2011,181057,90065,90992,0.99
Azerbaijan,2011-2012,184834,92481,92353,1
Azerbaijan,2012-2013,187590,95844,91746,1.04
Azerbaijan,2013-2014,195401,100685,94716,1.06
Azerbaijan,2014-2015,NA,NA,NA,NA
Azerbaijan,2015-2016,NA,NA,NA,NA
Azerbaijan,2016-2017,NA,NA,NA,NA
Azerbaijan,2017-2018,200609,102248,98361,1.04
Belarus,1990-1991,335294,185132,150162,1.2
Belarus,1995-1996,322985,173946,149039,1.2
Belarus,2000-2001,437995,246071,191924,1.3
Belarus,2001-2002,463544,263272,200272,1.3
Belarus,2002-2003,488650,278862,209788,1.3
Belarus,2003-2004,507360,289517,217843,1.3
Belarus,2004-2005,528508,299984,228524,1.3
Belarus,2005-2006,544328,309293,235035,1.3
Belarus,2006-2007,556893,320022,236871,1.4
Belarus,2007-2008,544434,317320,227114,1.4
Belarus,2008-2009,554060,322636,231424,1.4
Belarus,2009-2010,568772,328463,240309,1.4
Belarus,2010-2011,584846,335472,249374,1.3
Belarus,2011-2012,587958,334512,253446,1.3
Belarus,2012-2013,562168,315399,246769,1.3
Belarus,2013-2014,517578,288657,228921,1.3
Belarus,2014-2015,477221,265504,211717,1.3
Belarus,2015-2016,443997,243966,200031,1.2
Belarus,2016-2017,418745,226360,192385,1.2
Belarus,2017-2018,389327,205903,183424,1.1
Belgium,1990-1991,276248,133339,142909,0.93
Belgium,1995-1996,358214,178833,179381,1
Belgium,2000-2001,359265,189813,169452,1.12
Belgium,2001-2002,366982,194843,172139,1.13
Belgium,2002-2003,374532,199796,174736,1.14
Belgium,2003-2004,386110,207756,178354,1.16
Belgium,2004-2005,389547,211974,177573,1.19
