country,year,"expenditures, total(%)"
European Union (28 countries),1997,NA
European Union (15 countries),1997,NA
Belgium,1997,NA
Bulgaria,1997,NA
Czech Republic,1997,NA
Denmark,1997,NA
Germany (until 1990 former territory of the FRG),1997,NA
Estonia,1997,NA
Ireland,1997,NA
Greece,1997,NA
Spain,1997,NA
France,1997,NA
Croatia,1997,NA
Italy,1997,NA
Cyprus,1997,NA
Latvia,1997,NA
Lithuania,1997,NA
Luxembourg,1997,NA
Hungary,1997,NA
Malta,1997,NA
Netherlands,1997,NA
Austria,1997,NA
Poland,1997,NA
Portugal,1997,NA
Romania,1997,NA
Slovenia,1997,NA
Slovakia,1997,NA
Finland,1997,4.291
Sweden,1997,NA
United Kingdom,1997,NA
Norway,1997,NA
European Union (28 countries),1998,NA
European Union (15 countries),1998,NA
Belgium,1998,NA
Bulgaria,1998,NA
Czech Republic,1998,NA
Denmark,1998,NA
Germany (until 1990 former territory of the FRG),1998,3.361
Estonia,1998,NA
Ireland,1998,NA
Greece,1998,NA
Spain,1998,NA
France,1998,3.042
Croatia,1998,NA
Italy,1998,NA
Cyprus,1998,NA
Latvia,1998,NA
Lithuania,1998,NA
Luxembourg,1998,NA
Hungary,1998,NA
Malta,1998,NA
Netherlands,1998,3.42
Austria,1998,1.834
Poland,1998,NA
Portugal,1998,NA
Romania,1998,NA
Slovenia,1998,NA
Slovakia,1998,NA
Finland,1998,3.569
Sweden,1998,3.975
United Kingdom,1998,NA
Norway,1998,NA
European Union (28 countries),1999,NA
European Union (15 countries),1999,NA
Belgium,1999,NA
Bulgaria,1999,NA
Czech Republic,1999,NA
Denmark,1999,NA
Germany (until 1990 former territory of the FRG),1999,3.329
Estonia,1999,NA
Ireland,1999,NA
Greece,1999,NA
Spain,1999,NA
France,1999,3.078
Croatia,1999,NA
Italy,1999,NA
Cyprus,1999,NA
Latvia,1999,NA
Lithuania,1999,NA
Luxembourg,1999,NA
Hungary,1999,NA
Malta,1999,NA
Netherlands,1999,3.098
Austria,1999,1.825
Poland,1999,NA
Portugal,1999,NA
Romania,1999,NA
Slovenia,1999,NA
Slovakia,1999,NA
Finland,1999,3.238
Sweden,1999,3.606
United Kingdom,1999,NA
Norway,1999,NA
European Union (28 countries),2000,NA
European Union (15 countries),2000,NA
Belgium,2000,2.867
Bulgaria,2000,NA
Czech Republic,2000,NA
Denmark,2000,4.116
Germany (until 1990 former territory of the FRG),2000,3.05
Estonia,2000,NA
Ireland,2000,NA
Greece,2000,NA
Spain,2000,NA
France,2000,2.871
Croatia,2000,NA
Italy,2000,NA
Cyprus,2000,NA
Latvia,2000,NA
Lithuania,2000,NA
Luxembourg,2000,NA
Hungary,2000,NA
Malta,2000,NA
Netherlands,2000,2.773
Austria,2000,1.663
Poland,2000,NA
Portugal,2000,NA
Romania,2000,NA
Slovenia,2000,NA
Slovakia,2000,NA
Finland,2000,2.846
Sweden,2000,2.881
United Kingdom,2000,NA
Norway,2000,1.016
European Union (28 countries),2001,NA
European Union (15 countries),2001,NA
Belgium,2001,2.896
Bulgaria,2001,NA
Czech Republic,2001,NA
Denmark,2001,3.975
Germany (until 1990 former territory of the FRG),2001,3.063
Estonia,2001,NA
Ireland,2001,NA
Greece,2001,NA
Spain,2001,NA
France,2001,2.89
Croatia,2001,NA
Italy,2001,NA
Cyprus,2001,NA
Latvia,2001,NA
Lithuania,2001,NA
Luxembourg,2001,0.66
Hungary,2001,NA
Malta,2001,NA
Netherlands,2001,2.724
Austria,2001,1.715
Poland,2001,NA
Portugal,2001,NA
Romania,2001,NA
Slovenia,2001,NA
Slovakia,2001,NA
Finland,2001,2.663
Sweden,2001,2.5
United Kingdom,2001,NA
Norway,2001,1.056
European Union (28 countries),2002,NA
European Union (15 countries),2002,NA
Belgium,2002,NA
Bulgaria,2002,NA
Czech Republic,2002,0.424
Denmark,2002,4.009
Germany (until 1990 former territory of the FRG),2002,3.292
Estonia,2002,NA
Ireland,2002,NA
Greece,2002,NA
Spain,2002,NA
France,2002,3.034
Croatia,2002,NA
Italy,2002,NA
Cyprus,2002,NA
Latvia,2002,NA
Lithuania,2002,NA
Luxembourg,2002,0.712
Hungary,2002,NA
Malta,2002,NA
Netherlands,2002,2.864
Austria,2002,1.757
Poland,2002,NA
Portugal,2002,NA
Romania,2002,NA
Slovenia,2002,NA
Slovakia,2002,NA
Finland,2002,2.722
Sweden,2002,2.402
United Kingdom,2002,NA
Norway,2002,1.216
European Union (28 countries),2003,NA
European Union (15 countries),2003,NA
Belgium,2003,NA
Bulgaria,2003,NA
Czech Republic,2003,0.459
Denmark,2003,4.257
Germany (until 1990 former territory of the FRG),2003,3.374
Estonia,2003,0.264
Ireland,2003,NA
Greece,2003,NA
Spain,2003,NA
France,2003,3.168
Croatia,2003,NA
Italy,2003,NA
Cyprus,2003,NA
Latvia,2003,0.468
Lithuania,2003,0.347
Luxembourg,2003,0.956
Hungary,2003,NA
Malta,2003,NA
Netherlands,2003,3.068
Austria,2003,1.942
Poland,2003,NA
Portugal,2003,1.73
Romania,2003,0.668
Slovenia,2003,NA
Slovakia,2003,NA
Finland,2003,2.816
Sweden,2003,2.244
United Kingdom,2003,NA
Norway,2003,1.491
European Union (28 countries),2004,NA
European Union (15 countries),2004,2.196
Belgium,2004,2.964
Bulgaria,2004,0.756
Czech Republic,2004,0.463
Denmark,2004,4.203
Germany (until 1990 former territory of the FRG),2004,3.312
Estonia,2004,0.233
Ireland,2004,1.523
Greece,2004,0.54
Spain,2004,2.076
France,2004,3.069
Croatia,2004,NA
Italy,2004,1.173
Cyprus,2004,NA
Latvia,2004,0.485
Lithuania,2004,0.304
Luxembourg,2004,1.032
Hungary,2004,0.679
Malta,2004,NA
Netherlands,2004,3.081
Austria,2004,1.966
Poland,2004,NA
Portugal,2004,1.791
Romania,2004,0.623
Slovenia,2004,NA
Slovakia,2004,0.491
Finland,2004,2.848
Sweden,2004,2.31
United Kingdom,2004,0.592
Norway,2004,1.392
European Union (28 countries),2005,1.991
European Union (15 countries),2005,2.074
Belgium,2005,2.93
Bulgaria,2005,0.658
Czech Republic,2005,0.45
Denmark,2005,3.655
Germany (until 1990 former territory of the FRG),2005,3.032
Estonia,2005,0.186
Ireland,2005,1.444
Greece,2005,0.465
Spain,2005,2.087
France,2005,2.903
Croatia,2005,NA
Italy,2005,1.165
Cyprus,2005,NA
Latvia,2005,0.508
Lithuania,2005,0.337
