iso2c,country,gdp_per_capita,year
AL,Albania,12306.2622099058,2018
AL,Albania,11803.2838833533,2017
AL,Albania,11356.719009208,2016
AL,Albania,10971.046329379,2015
AL,Albania,10700.5228024779,2014
AL,Albania,10492.6703152817,2013
AL,Albania,10369.5623849725,2012
AL,Albania,10207.7535191277,2011
AL,Albania,9927.63133338886,2010
AL,Albania,9525.37237449764,2009
AL,Albania,9154.71487169324,2008
AL,Albania,8450.91927240661,2007
AL,Albania,7914.03682387366,2006
AL,Albania,7426.11635396994,2005
AL,Albania,7001.05494057677,2004
AL,Albania,6607.76843805481,2003
AL,Albania,6238.12048934071,2002
AL,Albania,5949.34396570494,2001
AL,Albania,5442.57871487087,2000
AL,Albania,5056.56713519172,1999
AL,Albania,4450.92306948123,1998
AL,Albania,4064.1333020626,1997
AL,Albania,4533.89491365644,1996
AL,Albania,4129.97584659137,1995
AM,Armenia,9177.74415910678,2018
AM,Armenia,8744.7313676447,2017
AM,Armenia,8158.63479378224,2016
AM,Armenia,8171.83235372945,2015
AM,Armenia,7954.19533052503,2014
AM,Armenia,7717.06096440542,2013
AM,Armenia,7505.12457412053,2012
AM,Armenia,7019.76774846004,2011
AM,Armenia,6702.82936989704,2010
AM,Armenia,6534.07715174723,2009
AM,Armenia,7559.92654863541,2008
AM,Armenia,7011.67412540552,2007
AM,Armenia,6110.62482273624,2006
AM,Armenia,5356.59645608394,2005
AM,Armenia,4673.81650269449,2004
AM,Armenia,4206.79947455511,2003
AM,Armenia,3669.34542509198,2002
AM,Armenia,3224.10745580806,2001
AM,Armenia,2924.74452135796,2000
AM,Armenia,2744.4257626029,1999
AM,Armenia,2639.94677079136,1998
AM,Armenia,2441.17949606885,1997
AM,Armenia,2336.51213668275,1996
AM,Armenia,2173.35877702752,1995
AT,Austria,46473.2571552366,2018
AT,Austria,45493.0453463098,2017
AT,Austria,44670.654569154,2016
AT,Austria,44253.7542473183,2015
AT,Austria,44246.8932651257,2014
AT,Austria,44301.104028751,2013
AT,Austria,44551.6175741173,2012
AT,Austria,44452.7327457999,2011
AT,Austria,43336.1978527647,2010
AT,Austria,42656.8541604126,2009
AT,Austria,44441.7885303671,2008
AT,Austria,43939.4252883758,2007
AT,Austria,42498.0073262324,2006
AT,Austria,41282.8799941074,2005
AT,Austria,40652.8107017009,2004
AT,Austria,39816.7741226218,2003
AT,Austria,39638.0268737228,2002
AT,Austria,39186.3370023663,2001
AT,Austria,38844.404713666,2000
AT,Austria,37666.411617272,1999
AT,Austria,36443.7092612023,1998
AT,Austria,35222.2593769414,1997
AT,Austria,34539.0855902146,1996
AT,Austria,33791.8014680143,1995
AZ,Azerbaijan,16010.989036316,2018
AZ,Azerbaijan,15929.3996305909,2017
AZ,Azerbaijan,16131.9721279442,2016
AZ,Azerbaijan,16828.9901596414,2015
AZ,Azerbaijan,16853.5684691467,2014
AZ,Azerbaijan,16600.8799688925,2013
AZ,Azerbaijan,15888.6748721826,2012
AZ,Azerbaijan,15754.1523626148,2011
AZ,Azerbaijan,16215.8471997646,2010
AZ,Azerbaijan,15660.0023600548,2009
AZ,Azerbaijan,14618.8154247387,2008
AZ,Azerbaijan,13499.2683468612,2007
AZ,Azerbaijan,10882.2346703891,2006
AZ,Azerbaijan,8182.31181443141,2005
AZ,Azerbaijan,6460.05502508542,2004
AZ,Azerbaijan,5964.8783790501,2003
AZ,Azerbaijan,5453.5302441996,2002
AZ,Azerbaijan,5020.4949277868,2001
AZ,Azerbaijan,4603.76986629071,2000
AZ,Azerbaijan,4177.98970781258,1999
AZ,Azerbaijan,3924.41064257799,1998
AZ,Azerbaijan,3601.66912676867,1997
AZ,Azerbaijan,3437.22267606738,1996
AZ,Azerbaijan,3427.55108529804,1995
BE,Belgium,43217.9522397785,2018
BE,Belgium,42781.0578154979,2017
BE,Belgium,42214.0246055038,2016
BE,Belgium,41820.8268335992,2015
BE,Belgium,41344.6362757704,2014
BE,Belgium,41013.9921057712,2013
BE,Belgium,41125.241157877,2012
BE,Belgium,41284.1510136804,2011
BE,Belgium,41085.9175030485,2010
BE,Belgium,40355.5647103738,2009
BE,Belgium,41619.3300965694,2008
BE,Belgium,41623.4378839282,2007
BE,Belgium,40532.2682610931,2006
BE,Belgium,39802.9675336697,2005
BE,Belgium,39201.5251968517,2004
BE,Belgium,37990.6481933893,2003
BE,Belgium,37856.860173232,2002
BE,Belgium,37361.7179057106,2001
BE,Belgium,37188.6394500032,2000
BE,Belgium,35971.8519385873,1999
BE,Belgium,34813.8552388618,1998
BE,Belgium,34212.4817296127,1997
BE,Belgium,33068.3971189009,1996
BE,Belgium,32613.4125258345,1995
BG,Bulgaria,19320.7575705485,2018
BG,Bulgaria,18606.2200267256,2017
BG,Bulgaria,17792.6839803308,2016
BG,Bulgaria,16999.1119766229,2015
BG,Bulgaria,16324.3428333823,2014
BG,Bulgaria,15938.9388427047,2013
BG,Bulgaria,15772.084454076,2012
BG,Bulgaria,15676.1384768142,2011
BG,Bulgaria,15283.2797191136,2010
BG,Bulgaria,14984.5948559347,2009
BG,Bulgaria,15442.1398644812,2008
BG,Bulgaria,14463.1721354461,2007
BG,Bulgaria,13374.9073773038,2006
BG,Bulgaria,12419.9191988778,2005
BG,Bulgaria,11507.0455512993,2004
BG,Bulgaria,10730.0035137381,2003
BG,Bulgaria,10123.3627330715,2002
BG,Bulgaria,9350.77885978475,2001
BG,Bulgaria,8833.43977161349,2000
BG,Bulgaria,8390.06786411958,1999
BG,Bulgaria,9109.06296843949,1998
BG,Bulgaria,8508.29071186099,1997
BG,Bulgaria,8549.74112930788,1996
BG,Bulgaria,8446.24203072366,1995
BA,Bosnia and Herzegovina,12755.9998666974,2018
BA,Bosnia and Herzegovina,12274.6052055602,2017
BA,Bosnia and Herzegovina,11776.1339870263,2016
BA,Bosnia and Herzegovina,11273.5262651636,2015
BA,Bosnia and Herzegovina,10770.1608850858,2014
BA,Bosnia and Herzegovina,10466.0723969374,2013
BA,Bosnia and Herzegovina,10048.7567962269,2012
BA,Bosnia and Herzegovina,9976.47713251324,2011
BA,Bosnia and Herzegovina,9763.58530890592,2010
BA,Bosnia and Herzegovina,9600.23621352998,2009
BA,Bosnia and Herzegovina,9849.10007459007,2008
BA,Bosnia and Herzegovina,9320.98753467172,2007
BA,Bosnia and Herzegovina,8799.21205377073,2006
BA,Bosnia and Herzegovina,8347.23704388932,2005
BA,Bosnia and Herzegovina,7677.28525926982,2004
BA,Bosnia and Herzegovina,7239.78494032317,2003
BA,Bosnia and Herzegovina,6966.490560617,2002
BA,Bosnia and Herzegovina,6622.67681312619,2001
BA,Bosnia and Herzegovina,6350.89274352131,2000
BA,Bosnia and Herzegovina,6032.38232399139,1999
BA,Bosnia and Herzegovina,5517.28853881313,1998
BA,Bosnia and Herzegovina,4770.52723413652,1997
BA,Bosnia and Herzegovina,3523.03660866038,1996
BA,Bosnia and Herzegovina,1832.99067015142,1995
BY,Belarus,17741.8622306394,2018
BY,Belarus,17193.4241428478,2017
BY,Belarus,16763.0361063249,2016
BY,Belarus,17219.1206477761,2015
BY,Belarus,17933.3427177555,2014
BY,Belarus,17644.8544069875,2013
BY,Belarus,17472.3249308517,2012
BY,Belarus,17166.6956434719,2011
BY,Belarus,16260.5926799472,2010
BY,Belarus,15058.6044544366,2009
BY,Belarus,14995.0776294825,2008
BY,Belarus,13560.2284948669,2007
BY,Belarus,12429.2352111868,2006
BY,Belarus,11230.3314313225,2005
BY,Belarus,10195.5108209511,2004
BY,Belarus,9085.88621617333,2003
BY,Belarus,8428.86324527166,2002
BY,Belarus,7973.1135065485,2001
BY,Belarus,7574.4049979219,2000
BY,Belarus,7125.52295663578,1999
BY,Belarus,6862.29737993061,1998
BY,Belarus,6300.49799152434,1997
BY,Belarus,5631.80627795077,1996
BY,Belarus,5460.13841164859,1995
CY,Cyprus,NA,2018
CY,Cyprus,33047.5457880328,2017
CY,Cyprus,32002.2342212493,2016
CY,Cyprus,30673.3025195789,2015
CY,Cyprus,29912.190030924,2014
CY,Cyprus,29977.9136856447,2013
CY,Cyprus,31749.5615603048,2012
CY,Cyprus,33192.336901327,2011
CY,Cyprus,33913.2951547692,2010
CY,Cyprus,34353.1632353752,2009
CY,Cyprus,36013.6191905943,2008
CY,Cyprus,35630.0507839928,2007
CY,Cyprus,34631.2588517068,2006
CY,Cyprus,33628.6893248723,2005
CY,Cyprus,32537.4632321429,2004
CY,Cyprus,31397.4787562609,2003
CY,Cyprus,30968.9907342059,2002
CY,Cyprus,30201.5553871857,2001
CY,Cyprus,29368.0612158564,2000
CY,Cyprus,28011.1537174725,1999
CY,Cyprus,26978.0083482024,1998
CY,Cyprus,25738.0086962488,1997
CY,Cyprus,25433.7503083012,1996
CY,Cyprus,25523.7180126115,1995
CZ,Czech Republic,33414.4615140088,2018
CZ,Czech Republic,32570.7811793014,2017
CZ,Czech Republic,31295.2595242278,2016
CZ,Czech Republic,30605.4205211471,2015
CZ,Czech Republic,29119.6166119074,2014
CZ,Czech Republic,28379.7461179156,2013
CZ,Czech Republic,28527.1387345992,2012
CZ,Czech Republic,28797.4179611691,2011
CZ,Czech Republic,28352.9493964403,2010
CZ,Czech Republic,27803.5871622193,2009
CZ,Czech Republic,29373.1092319296,2008
CZ,Czech Republic,28844.0671946539,2007
CZ,Czech Republic,27473.6271233445,2006
CZ,Czech Republic,25781.2047057911,2005
CZ,Czech Republic,24233.5969865534,2004
CZ,Czech Republic,23107.2038753806,2003
CZ,Czech Republic,22297.2247461099,2002
CZ,Czech Republic,21892.48252523,2001
CZ,Czech Republic,21193.9017140583,2000
CZ,Czech Republic,20269.6986562541,1999
CZ,Czech Republic,19962.9612888893,1998
CZ,Czech Republic,20009.8318097638,1997
CZ,Czech Republic,20107.8534574349,1996
CZ,Czech Republic,19270.6993868643,1995
DE,Germany,45959.3618959186,2018
DE,Germany,45462.0283308103,2017
DE,Germany,44668.6962980606,2016
DE,Germany,44043.1779351549,2015
DE,Germany,43666.765146204,2014
DE,Germany,42914.4761126655,2013
DE,Germany,42822.0994035797,2012
DE,Germany,42692.5197566424,2011
DE,Germany,40428.7210307617,2010
DE,Germany,38784.4524824906,2009
DE,Germany,40989.4431148599,2008
DE,Germany,40473.5274498896,2007
DE,Germany,39143.1662435764,2006
DE,Germany,37703.9329399406,2005
DE,Germany,37418.0924996579,2004
DE,Germany,36977.3460076486,2003
DE,Germany,37262.3512875562,2002
DE,Germany,37325.0525470646,2001
DE,Germany,36764.5629268974,2000
DE,Germany,35755.2993074406,1999
DE,Germany,35081.304207874004,1998
DE,Germany,34405.5192090796,1997
DE,Germany,33830.3056593287,1996
DE,Germany,33653.1296358835,1995
DK,Denmark,47672.956641161,2018
DK,Denmark,47269.6913018337,2017
DK,Denmark,46522.2773082741,2016
DK,Denmark,45787.9878732052,2015
DK,Denmark,45057.0741699595,2014
DK,Denmark,44564.452155464904,2013
DK,Denmark,44336.8124612297,2012
DK,Denmark,44403.3941459257,2011
DK,Denmark,43998.4366716285,2010
DK,Denmark,43382.6254590015,2009
DK,Denmark,45865.7959577936,2008
DK,Denmark,46373.5166625592,2007
DK,Denmark,46159.9137391637,2006
DK,Denmark,44567.9313092661,2005
DK,Denmark,43670.4452995124,2004
DK,Denmark,42645.5831253435,2003
DK,Denmark,42595.5872217462,2002
DK,Denmark,42533.5392582329,2001
DK,Denmark,42337.7143693512,2000
DK,Denmark,40945.2792350717,1999
DK,Denmark,39904.5956145279,1998
DK,Denmark,39180.6865580516,1997
DK,Denmark,38101.4055156612,1996
DK,Denmark,37237.7232792657,1995
ES,Spain,35055.6630250429,2018
ES,Spain,34269.1162384896,2017
ES,Spain,33356.2233860542,2016
ES,Spain,32357.4740440962,2015
ES,Spain,31195.4052422035,2014
ES,Spain,30678.9172969914,2013
ES,Spain,31109.1874649142,2012
ES,Spain,32068.2709273108,2011
ES,Spain,32507.0939660629,2010
ES,Spain,32652.5121822546,2009
ES,Spain,34163.946391185404,2008
ES,Spain,34329.6470032958,2007
ES,Spain,33700.8521141386,2006
ES,Spain,32901.9877322306,2005
ES,Spain,32261.4444925784,2004
ES,Spain,31815.4213391699,2003
ES,Spain,31395.2760183926,2002
ES,Spain,30950.5732327814,2001
ES,Spain,29967.1314474464,2000
ES,Spain,28589.3085949046,1999
ES,Spain,27473.3069596232,1998
ES,Spain,26448.3786561369,1997
ES,Spain,25614.3894951727,1996
ES,Spain,25051.2336818993,1995
EE,Estonia,30990.514554788,2018
EE,Estonia,29916.356908192,2017
EE,Estonia,28565.2729101724,2016
EE,Estonia,27610.2419529994,2015
EE,Estonia,27113.1201129961,2014
EE,Estonia,26282.9088374806,2013
EE,Estonia,25691.9996357991,2012
EE,Estonia,24543.0674715452,2011
EE,Estonia,22740.9720038708,2010
EE,Estonia,22187.9264018728,2009
EE,Estonia,25968.9728072711,2008
EE,Estonia,27383.4695578858,2007
EE,Estonia,25298.646049925,2006
EE,Estonia,22807.1827469547,2005
EE,Estonia,20733.538079237,2004
EE,Estonia,19389.4423083658,2003
EE,Estonia,17937.8319791363,2002
EE,Estonia,16803.5186789525,2001
EE,Estonia,15703.0274678557,2000
EE,Estonia,14270.9983363474,1999
EE,Estonia,14436.7289529188,1998
EE,Estonia,13733.2848117095,1997
EE,Estonia,12144.5950918986,1996
EE,Estonia,11361.8462429184,1995
FI,Finland,41898.615871537,2018
FI,Finland,41018.0502011471,2017
FI,Finland,40052.0286231029,2016
FI,Finland,39083.9347589518,2015
FI,Finland,39017.5372069548,2014
FI,Finland,39428.3120606313,2013
FI,Finland,39912.9413580065,2012
FI,Finland,40683.5275821703,2011
FI,Finland,39848.1344978775,2010
FI,Finland,38867.7994464569,2009
FI,Finland,42574.6411365042,2008
FI,Finland,42467.2609961997,2007
FI,Finland,40546.0807261049,2006
FI,Finland,39115.7647931549,2005
FI,Finland,38188.2510919027,2004
FI,Finland,36852.4439237464,2003
FI,Finland,36218.2401573648,2002
FI,Finland,35706.1533300355,2001
FI,Finland,34887.1787990067,2000
FI,Finland,33094.8384299002,1999
FI,Finland,31760.2768039513,1998
FI,Finland,30205.0204371741,1997
FI,Finland,28512.4344000172,1996
FI,Finland,27596.4128931831,1995
FR,France,39555.5446628918,2018
FR,France,38955.8339662767,2017
FR,France,38097.8770379454,2016
FR,France,37835.8070767413,2015
FR,France,37575.8118178524,2014
FR,France,37398.9261198335,2013
FR,France,37376.5354325521,2012
FR,France,37440.6386298685,2011
FR,France,36814.9211418022,2010
FR,France,36289.8030255818,2009
FR,France,37556.0958767363,2008
FR,France,37670.5278381019,2007
FR,France,37006.9948676667,2006
FR,France,36374.9710210524,2005
FR,France,36050.6010914167,2004
FR,France,35317.6246897021,2003
FR,France,35278.4396085697,2002
FR,France,35136.9396690968,2001
FR,France,34705.1410457103,2000
FR,France,33624.3541976046,1999
FR,France,32679.6882454744,1998
FR,France,31664.0521483768,1997
FR,France,31050.8228503298,1996
FR,France,30726.7955067563,1995
GB,United Kingdom,40157.9822285448,2018
GB,United Kingdom,39862.3455248145,2017
GB,United Kingdom,39425.1958826979,2016
GB,United Kingdom,39009.7147335074,2015
GB,United Kingdom,38418.5661216615,2014
GB,United Kingdom,37600.7788059373,2013
GB,United Kingdom,37094.3126260054,2012
GB,United Kingdom,36820.321718188,2011
GB,United Kingdom,36508.7801742556,2010
GB,United Kingdom,36177.0293344155,2009
GB,United Kingdom,38068.296422573,2008
GB,United Kingdom,38502.2742264755,2007
GB,United Kingdom,37840.0303864897,2006
GB,United Kingdom,37172.025435583,2005
GB,United Kingdom,36285.597578507,2004
GB,United Kingdom,35655.5130759791,2003
GB,United Kingdom,34664.3269378473,2002
GB,United Kingdom,33962.4172394701,2001
GB,United Kingdom,33151.6556155009,2000
GB,United Kingdom,32159.6954685843,1999
GB,United Kingdom,31262.3904492991,1998
GB,United Kingdom,30339.8836479713,1997
GB,United Kingdom,29166.0072056039,1996
GB,United Kingdom,28517.3748628811,1995
GE,Georgia,10151.6973976951,2018
GE,Georgia,9702.16827734726,2017
GE,Georgia,9256.1465770659,2016
GE,Georgia,9005.33867753628,2015
GE,Georgia,8766.99593876866,2014
GE,Georgia,8383.49305501964,2013
GE,Georgia,8084.49566749305,2012
GE,Georgia,7545.93946556889,2011
GE,Georgia,6981.47589791816,2010
GE,Georgia,6523.07432830012,2009
GE,Georgia,6710.35639053596,2008
GE,Georgia,6532.02026961474,2007
GE,Georgia,5771.98024917422,2006
GE,Georgia,5245.1768661547,2005
GE,Georgia,4755.8906418095,2004
GE,Georgia,4467.65225194067,2003
GE,Georgia,3995.70676567452,2002
GE,Georgia,3754.50025704068,2001
GE,Georgia,3527.21002564036,2000
GE,Georgia,3396.8360351214,1999
GE,Georgia,3234.84821822438,1998
GE,Georgia,3060.75928185705,1997
GE,Georgia,2682.01988831753,1996
GE,Georgia,2325.91734972461,1995
GR,Greece,25140.7031489628,2018
GR,Greece,24601.6732265416,2017
GR,Greece,24188.9949355739,2016
GR,Greece,24134.6844088562,2015
GR,Greece,24081.6305378246,2014
GR,Greece,23746.0845699961,2013
GR,Greece,24364.2690631745,2012
GR,Greece,26141.3195918975,2011
GR,Greece,28726.0792836873,2010
