iso3,country,immigrants,year,time_period
ARM,Armenia,4278,1995,1995
AZE,Azerbaijan,6222,1995,NA
KAZ,Kazakhstan,71137,1995,NA
KGZ,Kyrgyzstan,18368,1995,NA
TJK,Tajikistan,5484,1995,NA
TKM,Turkmenistan,7456,1995,NA
UZB,Uzbekistan,33590,1995,NA
BGR,Bulgaria,2400,1995,NA
BLR,Belarus,34866,1995,NA
CZE,Czech Republic,10540,1995,NA
HRV,Croatia,42026,1995,NA
HUN,Hungary,15435,1995,NA
LTU,Lithuania,2020,1995,NA
LVA,Latvia,2799,1995,NA
MDA,Republic of Moldova,9640,1995,NA
MKD,The Former Yugoslav Republic of Macedonia,2088,1995,NA
POL,Poland,8121,1995,NA
ROU,Romania,4458,1995,NA
RUS,Russian Federation,866857,1995,NA
SVK,Slovakia,3055,1995,NA
SVN,Slovenia,5879,1995,NA
UKR,Ukraine,182763,1995,NA
ARM,Armenia,2706,1996,1996
AZE,Azerbaijan,5781,1996,NA
KAZ,Kazakhstan,53874,1996,NA
KGZ,Kyrgyzstan,15910,1996,NA
TJK,Tajikistan,3691,1996,NA
TKM,Turkmenistan,4407,1996,NA
UZB,Uzbekistan,16974,1996,NA
BGR,Bulgaria,1562,1996,NA
BLR,Belarus,31902,1996,NA
CZE,Czech Republic,10857,1996,NA
HRV,Croatia,44596,1996,NA
HUN,Hungary,14984,1996,NA
LTU,Lithuania,3025,1996,NA
LVA,Latvia,2747,1996,NA
MDA,Republic of Moldova,8958,1996,NA
MKD,The Former Yugoslav Republic of Macedonia,1489,1996,NA
POL,Poland,8186,1996,NA
ROU,Romania,2053,1996,NA
RUS,Russian Federation,647026,1996,NA
SVK,Slovakia,2477,1996,NA
SVN,Slovenia,9495,1996,NA
UKR,Ukraine,129538,1996,NA
ARM,Armenia,2672,1997,1997
AZE,Azerbaijan,7528,1997,NA
KAZ,Kazakhstan,38067,1997,NA
KGZ,Kyrgyzstan,12799,1997,NA
TJK,Tajikistan,3311,1997,NA
TKM,Turkmenistan,4079,1997,NA
UZB,Uzbekistan,5321,1997,NA
BGR,Bulgaria,1795,1997,NA
BLR,Belarus,31417,1997,NA
CZE,Czech Republic,12880,1997,NA
HRV,Croatia,52343,1997,NA
HUN,Hungary,14442,1997,NA
LTU,Lithuania,2536,1997,NA
LVA,Latvia,2913,1997,NA
MDA,Republic of Moldova,7968,1997,NA
MKD,The Former Yugoslav Republic of Macedonia,1295,1997,NA
POL,Poland,8426,1997,NA
ROU,Romania,6600,1997,NA
RUS,Russian Federation,597651,1997,NA
SVK,Slovakia,2303,1997,NA
SVN,Slovenia,7889,1997,NA
UKR,Ukraine,129100,1997,NA
ARM,Armenia,2215,1998,1998
AZE,Azerbaijan,5404,1998,NA
KAZ,Kazakhstan,40624,1998,NA
KGZ,Kyrgyzstan,10219,1998,NA
TJK,Tajikistan,2743,1998,NA
TKM,Turkmenistan,4172,1998,NA
UZB,Uzbekistan,5284,1998,NA
BLR,Belarus,33182,1998,NA
CZE,Czech Republic,10729,1998,NA
HRV,Croatia,51784,1998,NA
HUN,Hungary,17269,1998,NA
LTU,Lithuania,2706,1998,NA
LVA,Latvia,3123,1998,NA
MDA,Republic of Moldova,6349,1998,NA
MKD,The Former Yugoslav Republic of Macedonia,1057,1998,NA
POL,Poland,8916,1998,NA
ROU,Romania,11907,1998,NA
RUS,Russian Federation,513551,1998,NA
SVK,Slovakia,2052,1998,NA
SVN,Slovenia,4603,1998,NA
UKR,Ukraine,71810,1998,NA
ARM,Armenia,1725,1999,1999
AZE,Azerbaijan,4806,1999,NA
KAZ,Kazakhstan,41320,1999,NA
KGZ,Kyrgyzstan,7879,1999,NA
TJK,Tajikistan,1778,1999,NA
TKM,Turkmenistan,3941,1999,NA
UZB,Uzbekistan,8945,1999,NA
BLR,Belarus,30830,1999,NA
CZE,Czech Republic,9910,1999,NA
HRV,Croatia,32910,1999,NA
HUN,Hungary,21422,1999,NA
LTU,Lithuania,2679,1999,NA
LVA,Latvia,1813,1999,NA
MDA,Republic of Moldova,4399,1999,NA
MKD,The Former Yugoslav Republic of Macedonia,1118,1999,NA
POL,Poland,7525,1999,NA
ROU,Romania,10078,1999,NA
RUS,Russian Federation,379726,1999,NA
SVK,Slovakia,2072,1999,NA
SVN,Slovenia,4941,1999,NA
UKR,Ukraine,65800,1999,NA
ARM,Armenia,1598,2000,2000
AZE,Azerbaijan,4361,2000,NA
KAZ,Kazakhstan,47442,2000,NA
KGZ,Kyrgyzstan,5349,2000,NA
TJK,Tajikistan,1719,2000,NA
TKM,Turkmenistan,1195,2000,NA
UZB,Uzbekistan,5418,2000,NA
BLR,Belarus,25943,2000,NA
CZE,Czech Republic,7802,2000,NA
EST,Estonia,35,2000,NA
HRV,Croatia,29385,2000,NA
HUN,Hungary,20184,2000,NA
LTU,Lithuania,1510,2000,NA
LVA,Latvia,6483,2000,NA
MDA,Republic of Moldova,2748,2000,NA
MKD,The Former Yugoslav Republic of Macedonia,1199,2000,NA
POL,Poland,7331,2000,NA
ROU,Romania,11024,2000,NA
RUS,Russian Federation,359330,2000,NA
SVK,Slovakia,2274,2000,NA
SVN,Slovenia,6185,2000,NA
UKR,Ukraine,53700,2000,NA
ARM,Armenia,1574,2001,2001
AZE,Azerbaijan,2574,2001,NA
KAZ,Kazakhstan,53548,2001,NA
KGZ,Kyrgyzstan,5048,2001,NA
TJK,Tajikistan,1681,2001,NA
TKM,Turkmenistan,778,2001,NA
UZB,Uzbekistan,7155,2001,NA
BLR,Belarus,23355,2001,NA
CZE,Czech Republic,12918,2001,NA
EST,Estonia,241,2001,NA
HRV,Croatia,24415,2001,NA
HUN,Hungary,20308,2001,NA
LTU,Lithuania,4694,2001,NA
LVA,Latvia,5376,2001,NA
MDA,Republic of Moldova,2755,2001,NA
MKD,The Former Yugoslav Republic of Macedonia,1185,2001,NA
POL,Poland,6625,2001,NA
ROU,Romania,10350,2001,NA
RUS,Russian Federation,193450,2001,NA
SVK,Slovakia,2023,2001,NA
SVN,Slovenia,7803,2001,NA
UKR,Ukraine,45800,2001,NA
ARM,Armenia,1715,2002,2002
AZE,Azerbaijan,1257,2002,NA
KAZ,Kazakhstan,58211,2002,NA
KGZ,Kyrgyzstan,4893,2002,NA
TJK,Tajikistan,1454,2002,NA
TKM,Turkmenistan,440,2002,NA
UZB,Uzbekistan,7420,2002,NA
BLR,Belarus,18939,2002,NA
CZE,Czech Republic,44679,2002,NA
EST,Estonia,575,2002,NA
HRV,Croatia,20365,2002,NA
HUN,Hungary,17972,2002,NA
LTU,Lithuania,5110,2002,NA
LVA,Latvia,6642,2002,NA
MDA,Republic of Moldova,2911,2002,NA
MKD,The Former Yugoslav Republic of Macedonia,1257,2002,NA
POL,Poland,6587,2002,NA
ROU,Romania,6582,2002,NA
RUS,Russian Federation,184612,2002,NA
SVK,Slovakia,2312,2002,NA
SVN,Slovenia,9134,2002,NA
UKR,Ukraine,42473,2002,NA
ARM,Armenia,1927,2003,2003
AZE,Azerbaijan,2500,2003,NA
KAZ,Kazakhstan,65584,2003,NA
KGZ,Kyrgyzstan,4483,2003,NA
TJK,Tajikistan,1426,2003,NA
TKM,Turkmenistan,378,2003,NA
UZB,Uzbekistan,7132,2003,NA
BLR,Belarus,18146,2003,NA
CZE,Czech Republic,60015,2003,NA
EST,Estonia,967,2003,NA
HRV,Croatia,18455,2003,NA
HUN,Hungary,19365,2003,NA
LTU,Lithuania,4728,2003,NA
LVA,Latvia,4063,2003,NA
MDA,Republic of Moldova,2905,2003,NA
MKD,The Former Yugoslav Republic of Macedonia,1145,2003,NA
POL,Poland,7048,2003,NA
ROU,Romania,91726,2003,NA
RUS,Russian Federation,129144,2003,NA
SVK,Slovakia,2603,2003,NA
SVN,Slovenia,9279,2003,NA
UKR,Ukraine,39489,2003,NA
ARM,Armenia,1514,2004,2004
AZE,Azerbaijan,2407,2004,NA
KAZ,Kazakhstan,68319,2004,NA
KGZ,Kyrgyzstan,3284,2004,NA
