iso2c,country,population_growth,year
AL,Albania,-0.246732042281782,2018
AL,Albania,-0.0919722937442495,2017
AL,Albania,-0.159880412127734,2016
AL,Albania,-0.291205786840436,2015
AL,Albania,-0.207046999760594,2014
AL,Albania,-0.183211384606402,2013
AL,Albania,-0.165151040121679,2012
AL,Albania,-0.269017331764615,2011
AL,Albania,-0.49646196338738,2010
AL,Albania,-0.673894046451936,2009
AL,Albania,-0.767342959142321,2008
AL,Albania,-0.75571875541991,2007
AL,Albania,-0.630911244851673,2006
AL,Albania,-0.511790116421897,2005
AL,Albania,-0.417931377925999,2004
AL,Albania,-0.374149169291299,2003
AL,Albania,-0.299876697084691,2002
AL,Albania,-0.93847042771206,2001
AL,Albania,-0.637356833943492,2000
AL,Albania,-0.63335227398725,1999
AL,Albania,-0.62933439252591294,1998
AL,Albania,-0.625430096900055,1997
AL,Albania,-0.62151139901728,1996
AL,Albania,-0.617703658436963,1995
AM,Armenia,0.236306378760517,2018
AM,Armenia,0.294612227638995,2017
AM,Armenia,0.361431439301066,2016
AM,Armenia,0.450500902714805,2015
AM,Armenia,0.510122729556191,2014
AM,Armenia,0.46196664441067,2013
AM,Armenia,0.267013214368239,2012
AM,Armenia,-0.0271470078174168,2011
AM,Armenia,-0.37371186678708,2010
AM,Armenia,-0.67381128030326,2009
AM,Armenia,-0.856135015821493,2008
AM,Armenia,-0.872160580518548,2007
AM,Armenia,-0.773190355452283,2006
AM,Armenia,-0.650321107289265,2005
AM,Armenia,-0.571956874130282,2004
AM,Armenia,-0.530280113243845,2003
AM,Armenia,-0.54921814104521,2002
AM,Armenia,-0.617751681128924,2001
AM,Armenia,-0.63102079888531,2000
AM,Armenia,-0.634591459310337,1999
AM,Armenia,-0.781896829378965,1998
AM,Armenia,-1.11508127761213,1997
AM,Armenia,-1.53871861049144,1996
AM,Armenia,-2.04033679929827,1995
AT,Austria,0.560750838441217,2018
AT,Austria,0.694621103604983,2017
AT,Austria,1.08139629872802,2016
AT,Austria,1.12099250236958,2015
AT,Austria,0.781541632525841,2014
AT,Austria,0.589387254692989,2013
AT,Austria,0.45593747231891,2012
AT,Austria,0.337080841831645,2011
