iso2c,country,population_total,year
AL,Albania,2866376,2018
AL,Albania,2873457,2017
AL,Albania,2876101,2016
AL,Albania,2880703,2015
AL,Albania,2889104,2014
AL,Albania,2895092,2013
AL,Albania,2900401,2012
AL,Albania,2905195,2011
AL,Albania,2913021,2010
AL,Albania,2927519,2009
AL,Albania,2947314,2008
AL,Albania,2970017,2007
AL,Albania,2992547,2006
AL,Albania,3011487,2005
AL,Albania,3026939,2004
AL,Albania,3039616,2003
AL,Albania,3051010,2002
AL,Albania,3060173,2001
AL,Albania,3089027,2000
AL,Albania,3108778,1999
AL,Albania,3128530,1998
AL,Albania,3148281,1997
AL,Albania,3168033,1996
AL,Albania,3187784,1995
AM,Armenia,2951776,2018
AM,Armenia,2944809,2017
AM,Armenia,2936146,2016
AM,Armenia,2925553,2015
AM,Armenia,2912403,2014
AM,Armenia,2897584,2013
AM,Armenia,2884229,2012
AM,Armenia,2876538,2011
AM,Armenia,2877319,2010
AM,Armenia,2888092,2009
AM,Armenia,2907618,2008
AM,Armenia,2932618,2007
AM,Armenia,2958307,2006
AM,Armenia,2981269,2005
AM,Armenia,3000720,2004
AM,Armenia,3017932,2003
AM,Armenia,3033978,2002
AM,Armenia,3050687,2001
AM,Armenia,3069591,2000
AM,Armenia,3089022,1999
AM,Armenia,3108687,1998
AM,Armenia,3133089,1997
AM,Armenia,3168221,1996
AM,Armenia,3217348,1995
AT,Austria,8847037,2018
AT,Austria,8797566,2017
AT,Austria,8736668,2016
AT,Austria,8642699,2015
AT,Austria,8546356,2014
AT,Austria,8479823,2013
AT,Austria,8429991,2012
AT,Austria,8391643,2011
AT,Austria,8363404,2010
AT,Austria,8343323,2009
AT,Austria,8321496,2008
AT,Austria,8295487,2007
AT,Austria,8268641,2006
AT,Austria,8227829,2005
AT,Austria,8171966,2004
AT,Austria,8121423,2003
AT,Austria,8081957,2002
AT,Austria,8042293,2001
AT,Austria,8011566,2000
AT,Austria,7992324,1999
AT,Austria,7976789,1998
AT,Austria,7968041,1997
AT,Austria,7959017,1996
AT,Austria,7948278,1995
AZ,Azerbaijan,9942334,2018
AZ,Azerbaijan,9854033,2017
AZ,Azerbaijan,9757812,2016
AZ,Azerbaijan,9649341,2015
AZ,Azerbaijan,9535079,2014
AZ,Azerbaijan,9416801,2013
AZ,Azerbaijan,9295784,2012
AZ,Azerbaijan,9173082,2011
AZ,Azerbaijan,9054332,2010
AZ,Azerbaijan,8947243,2009
AZ,Azerbaijan,8763400,2008
AZ,Azerbaijan,8581300,2007
AZ,Azerbaijan,8484550,2006
AZ,Azerbaijan,8391850,2005
AZ,Azerbaijan,8306500,2004
AZ,Azerbaijan,8234100,2003
AZ,Azerbaijan,8171950,2002
AZ,Azerbaijan,8111200,2001
AZ,Azerbaijan,8048600,2000
AZ,Azerbaijan,7982750,1999
AZ,Azerbaijan,7913000,1998
AZ,Azerbaijan,7838250,1997
AZ,Azerbaijan,7763000,1996
AZ,Azerbaijan,7685000,1995
BE,Belgium,11422068,2018
BE,Belgium,11375158,2017
BE,Belgium,11331422,2016
BE,Belgium,11274196,2015
BE,Belgium,11209057,2014
BE,Belgium,11159407,2013
BE,Belgium,11106932,2012
BE,Belgium,11038264,2011
BE,Belgium,10895586,2010
BE,Belgium,10796493,2009
BE,Belgium,10709973,2008
BE,Belgium,10625700,2007
BE,Belgium,10547958,2006
BE,Belgium,10478617,2005
BE,Belgium,10421137,2004
BE,Belgium,10376133,2003
BE,Belgium,10332785,2002
BE,Belgium,10286570,2001
BE,Belgium,10251250,2000
BE,Belgium,10226419,1999
BE,Belgium,10203008,1998
BE,Belgium,10181245,1997
BE,Belgium,10156637,1996
BE,Belgium,10136811,1995
BG,Bulgaria,7024216,2018
BG,Bulgaria,7075947,2017
BG,Bulgaria,7127822,2016
BG,Bulgaria,7177991,2015
BG,Bulgaria,7223938,2014
BG,Bulgaria,7265115,2013
BG,Bulgaria,7305888,2012
BG,Bulgaria,7348328,2011
BG,Bulgaria,7395599,2010
BG,Bulgaria,7444443,2009
BG,Bulgaria,7492561,2008
BG,Bulgaria,7545338,2007
BG,Bulgaria,7601022,2006
BG,Bulgaria,7658972,2005
BG,Bulgaria,7716860,2004
BG,Bulgaria,7775327,2003
BG,Bulgaria,7837161,2002
BG,Bulgaria,8009142,2001
BG,Bulgaria,8170172,2000
BG,Bulgaria,8210624,1999
BG,Bulgaria,8256786,1998
BG,Bulgaria,8312068,1997
BG,Bulgaria,8362826,1996
BG,Bulgaria,8406067,1995
BA,Bosnia and Herzegovina,3323929,2018
BA,Bosnia and Herzegovina,3351527,2017
BA,Bosnia and Herzegovina,3386267,2016
BA,Bosnia and Herzegovina,3429361,2015
BA,Bosnia and Herzegovina,3482104,2014
BA,Bosnia and Herzegovina,3542605,2013
BA,Bosnia and Herzegovina,3604972,2012
BA,Bosnia and Herzegovina,3661175,2011
BA,Bosnia and Herzegovina,3705472,2010
BA,Bosnia and Herzegovina,3735938,2009
BA,Bosnia and Herzegovina,3754271,2008
BA,Bosnia and Herzegovina,3762786,2007
BA,Bosnia and Herzegovina,3765424,2006
BA,Bosnia and Herzegovina,3765331,2005
BA,Bosnia and Herzegovina,3764194,2004
BA,Bosnia and Herzegovina,3762173,2003
BA,Bosnia and Herzegovina,3759387,2002
BA,Bosnia and Herzegovina,3755512,2001
BA,Bosnia and Herzegovina,3751176,2000
BA,Bosnia and Herzegovina,3743354,1999
BA,Bosnia and Herzegovina,3734337,1998
BA,Bosnia and Herzegovina,3736070,1997
BA,Bosnia and Herzegovina,3764425,1996
BA,Bosnia and Herzegovina,3829050,1995
BY,Belarus,9485386,2018
BY,Belarus,9498264,2017
BY,Belarus,9501534,2016
BY,Belarus,9489616,2015
BY,Belarus,9474511,2014
BY,Belarus,9465997,2013
BY,Belarus,9464495,2012
BY,Belarus,9473172,2011
BY,Belarus,9490583,2010
BY,Belarus,9506765,2009
BY,Belarus,9527985,2008
BY,Belarus,9560953,2007
BY,Belarus,9604924,2006
BY,Belarus,9663915,2005
BY,Belarus,9730146,2004
BY,Belarus,9796749,2003
BY,Belarus,9865548,2002
BY,Belarus,9928549,2001
BY,Belarus,9979610,2000
BY,Belarus,10026738,1999
BY,Belarus,10069000,1998
BY,Belarus,10117000,1997
BY,Belarus,10160000,1996
BY,Belarus,10194000,1995
CY,Cyprus,1189265,2018
CY,Cyprus,1179680,2017
CY,Cyprus,1170187,2016
CY,Cyprus,1160985,2015
CY,Cyprus,1152285,2014
CY,Cyprus,1143866,2013
CY,Cyprus,1135046,2012
CY,Cyprus,1124833,2011
CY,Cyprus,1112612,2010
CY,Cyprus,1098083,2009
CY,Cyprus,1081563,2008
CY,Cyprus,1063713,2007
CY,Cyprus,1045507,2006
CY,Cyprus,1027662,2005
CY,Cyprus,1010408,2004
CY,Cyprus,993563,2003
CY,Cyprus,976964,2002
CY,Cyprus,960276,2001
CY,Cyprus,943290,2000
