country,year,values,cofog99
Austria,2017,8.2,Health
Belgium,2017,7.7,Health
Bulgaria,2017,4.9,Health
Switzerland,2017,2.2,Health
Cyprus,2017,2.6,Health
Czechia,2017,7.5,Health
Germany (until 1990 former territory of the FRG),2017,7.1,Health
Denmark,2017,8.4,Health
Euro area (11 countries),2017,7.1,Health
Euro area (12 countries),2017,7.1,Health
Euro area (13 countries),2017,7.1,Health
Euro area (15 countries),2017,7.1,Health
Euro area (16 countries),2017,7.1,Health
Euro area (17 countries),2017,7.1,Health
Euro area (18 countries),2017,7.1,Health
Euro area (19 countries),2017,7.1,Health
Estonia,2017,5,Health
Greece,2017,5.2,Health
Spain,2017,6,Health
European Union - 15 countries (1995-2004),2017,7.2,Health
European Union - 25 countries (2004-2006),2017,7.1,Health
European Union - 27 countries (2007-2013),2017,7,Health
European Union - 28 countries,2017,7,Health
Finland,2017,7.1,Health
France,2017,8,Health
Croatia,2017,6.3,Health
Hungary,2017,4.8,Health
Ireland,2017,5.1,Health
Iceland,2017,7.6,Health
Italy,2017,6.8,Health
Lithuania,2017,5.7,Health
Luxembourg,2017,4.9,Health
Latvia,2017,3.5,Health
Malta,2017,5.4,Health
Netherlands,2017,7.6,Health
Norway,2017,8.5,Health
Poland,2017,4.7,Health
Portugal,2017,6,Health
Romania,2017,4.3,Health
Sweden,2017,6.9,Health
Slovenia,2017,6.6,Health
Slovakia,2017,7.1,Health
United Kingdom,2017,7.4,Health
Austria,2017,0.2,Public health services
Belgium,2017,0.1,Public health services
Bulgaria,2017,0.1,Public health services
Switzerland,2017,0.1,Public health services
Cyprus,2017,0,Public health services
Czechia,2017,1.3,Public health services
Germany (until 1990 former territory of the FRG),2017,0.1,Public health services
Denmark,2017,0.1,Public health services
Euro area (11 countries),2017,0.1,Public health services
Euro area (12 countries),2017,0.1,Public health services
Euro area (13 countries),2017,0.1,Public health services
Euro area (15 countries),2017,0.1,Public health services
Euro area (16 countries),2017,0.1,Public health services
Euro area (17 countries),2017,0.1,Public health services
Euro area (18 countries),2017,0.1,Public health services
Euro area (19 countries),2017,0.1,Public health services
Estonia,2017,0,Public health services
Greece,2017,0,Public health services
Spain,2017,0.1,Public health services
European Union - 15 countries (1995-2004),2017,0.1,Public health services
European Union - 25 countries (2004-2006),2017,0.2,Public health services
European Union - 27 countries (2007-2013),2017,0.2,Public health services
European Union - 28 countries,2017,0.2,Public health services
Finland,2017,0,Public health services
France,2017,0.1,Public health services
Croatia,2017,0.1,Public health services
Hungary,2017,0.1,Public health services
Ireland,2017,0.1,Public health services
Iceland,2017,0,Public health services
Italy,2017,0.3,Public health services
Lithuania,2017,0.1,Public health services
Luxembourg,2017,0.1,Public health services
Latvia,2017,0.1,Public health services
Malta,2017,0,Public health services
Netherlands,2017,0.2,Public health services
Norway,2017,0.2,Public health services
Poland,2017,0.1,Public health services
Portugal,2017,0,Public health services
Romania,2017,0.1,Public health services
Sweden,2017,0.2,Public health services
Slovenia,2017,0.3,Public health services
Slovakia,2017,0,Public health services
United Kingdom,2017,0.2,Public health services
Austria,2017,0.5,R&D Health
Belgium,2017,0,R&D Health
Bulgaria,2017,NA,R&D Health
Switzerland,2017,0.1,R&D Health
Cyprus,2017,0,R&D Health
Czechia,2017,0.1,R&D Health
Germany (until 1990 former territory of the FRG),2017,0.1,R&D Health
Denmark,2017,0.2,R&D Health
Euro area (11 countries),2017,0.1,R&D Health
Euro area (12 countries),2017,0.1,R&D Health
Euro area (13 countries),2017,0.1,R&D Health
Euro area (15 countries),2017,0.1,R&D Health
Euro area (16 countries),2017,0.1,R&D Health
Euro area (17 countries),2017,0.1,R&D Health
Euro area (18 countries),2017,0.1,R&D Health
Euro area (19 countries),2017,0.1,R&D Health
Estonia,2017,0.1,R&D Health
Greece,2017,0,R&D Health
Spain,2017,0.2,R&D Health
European Union - 15 countries (1995-2004),2017,0.1,R&D Health
European Union - 25 countries (2004-2006),2017,0.1,R&D Health
European Union - 27 countries (2007-2013),2017,0.1,R&D Health
European Union - 28 countries,2017,0.1,R&D Health
Finland,2017,0.1,R&D Health
France,2017,0.1,R&D Health
Croatia,2017,0.2,R&D Health
Hungary,2017,0,R&D Health
Ireland,2017,0,R&D Health
Iceland,2017,0,R&D Health
Italy,2017,0.1,R&D Health
Lithuania,2017,0,R&D Health
Luxembourg,2017,0.2,R&D Health
Latvia,2017,0,R&D Health
Malta,2017,0,R&D Health
Netherlands,2017,0.3,R&D Health
Norway,2017,0.4,R&D Health
Poland,2017,0.1,R&D Health
Portugal,2017,0.1,R&D Health
Romania,2017,0,R&D Health
Sweden,2017,0.2,R&D Health
Slovenia,2017,0.1,R&D Health
Slovakia,2017,0,R&D Health
United Kingdom,2017,0.2,R&D Health
Austria,2016,8.2,Health
Belgium,2016,7.7,Health
Bulgaria,2016,5,Health
Switzerland,2016,2.2,Health
Cyprus,2016,2.6,Health
Czechia,2016,7.4,Health
Germany (until 1990 former territory of the FRG),2016,7.1,Health
Denmark,2016,8.5,Health
Euro area (11 countries),2016,7.2,Health
Euro area (12 countries),2016,7.2,Health
Euro area (13 countries),2016,7.2,Health
Euro area (15 countries),2016,7.1,Health
Euro area (16 countries),2016,7.1,Health
Euro area (17 countries),2016,7.1,Health
Euro area (18 countries),2016,7.1,Health
Euro area (19 countries),2016,7.1,Health
Estonia,2016,5.2,Health
Greece,2016,5,Health
Spain,2016,6.1,Health
European Union - 15 countries (1995-2004),2016,7.2,Health
European Union - 25 countries (2004-2006),2016,7.1,Health
European Union - 27 countries (2007-2013),2016,7.2,Health
European Union - 28 countries,2016,7.1,Health
Finland,2016,7.2,Health
France,2016,8.1,Health
Croatia,2016,6.4,Health
Hungary,2016,4.8,Health
Ireland,2016,5.2,Health
Iceland,2016,7.3,Health
Italy,2016,6.9,Health
Lithuania,2016,5.8,Health
Luxembourg,2016,4.7,Health
Latvia,2016,3.7,Health
Malta,2016,5.4,Health
Netherlands,2016,7.5,Health
Norway,2016,8.7,Health
Poland,2016,4.6,Health
Portugal,2016,6,Health
Romania,2016,4,Health
Sweden,2016,6.9,Health
Slovenia,2016,6.7,Health
Slovakia,2016,7.4,Health
United Kingdom,2016,7.6,Health
Austria,2016,0.2,Public health services
Belgium,2016,0.1,Public health services
Bulgaria,2016,0.1,Public health services
Switzerland,2016,0.1,Public health services
Cyprus,2016,0,Public health services
Czechia,2016,1.3,Public health services
Germany (until 1990 former territory of the FRG),2016,0.1,Public health services
Denmark,2016,0.1,Public health services
Euro area (11 countries),2016,0.1,Public health services
Euro area (12 countries),2016,0.1,Public health services
Euro area (13 countries),2016,0.1,Public health services
Euro area (15 countries),2016,0.1,Public health services
Euro area (16 countries),2016,0.1,Public health services
Euro area (17 countries),2016,0.1,Public health services
Euro area (18 countries),2016,0.1,Public health services
Euro area (19 countries),2016,0.1,Public health services
Estonia,2016,0,Public health services
Greece,2016,0,Public health services
Spain,2016,0.1,Public health services
European Union - 15 countries (1995-2004),2016,0.1,Public health services
European Union - 25 countries (2004-2006),2016,0.2,Public health services
European Union - 27 countries (2007-2013),2016,0.2,Public health services
European Union - 28 countries,2016,0.2,Public health services
Finland,2016,0,Public health services
France,2016,0.1,Public health services
Croatia,2016,0.1,Public health services
Hungary,2016,0.1,Public health services
Ireland,2016,0.1,Public health services
Iceland,2016,0,Public health services
Italy,2016,0.3,Public health services
Lithuania,2016,0.1,Public health services
Luxembourg,2016,0.1,Public health services
Latvia,2016,0.1,Public health services
Malta,2016,0,Public health services
Netherlands,2016,0.2,Public health services
Norway,2016,0.3,Public health services
Poland,2016,0.1,Public health services
Portugal,2016,0,Public health services
Romania,2016,0.1,Public health services
Sweden,2016,0.2,Public health services
Slovenia,2016,0.4,Public health services
Slovakia,2016,0,Public health services
United Kingdom,2016,0.2,Public health services
Austria,2016,0.5,R&D Health
Belgium,2016,0,R&D Health
Bulgaria,2016,NA,R&D Health
Switzerland,2016,0.1,R&D Health
Cyprus,2016,0,R&D Health
Czechia,2016,0,R&D Health
Germany (until 1990 former territory of the FRG),2016,0.1,R&D Health
Denmark,2016,0.2,R&D Health
Euro area (11 countries),2016,0.1,R&D Health
Euro area (12 countries),2016,0.1,R&D Health
Euro area (13 countries),2016,0.1,R&D Health
Euro area (15 countries),2016,0.1,R&D Health
Euro area (16 countries),2016,0.1,R&D Health
Euro area (17 countries),2016,0.1,R&D Health
Euro area (18 countries),2016,0.1,R&D Health
Euro area (19 countries),2016,0.1,R&D Health
Estonia,2016,0.1,R&D Health
Greece,2016,0,R&D Health
Spain,2016,0.3,R&D Health
European Union - 15 countries (1995-2004),2016,0.1,R&D Health
European Union - 25 countries (2004-2006),2016,0.1,R&D Health
European Union - 27 countries (2007-2013),2016,0.1,R&D Health
European Union - 28 countries,2016,0.1,R&D Health
Finland,2016,0.1,R&D Health
France,2016,0.1,R&D Health
Croatia,2016,0.2,R&D Health
Hungary,2016,0,R&D Health
Ireland,2016,0,R&D Health
Iceland,2016,0,R&D Health
Italy,2016,0.1,R&D Health
Lithuania,2016,0,R&D Health
Luxembourg,2016,0.2,R&D Health
Latvia,2016,0,R&D Health
Malta,2016,0,R&D Health
Netherlands,2016,0.3,R&D Health
Norway,2016,0.4,R&D Health
Poland,2016,0.1,R&D Health
Portugal,2016,0.2,R&D Health
Romania,2016,0,R&D Health
Sweden,2016,0.2,R&D Health
Slovenia,2016,0.1,R&D Health
Slovakia,2016,0,R&D Health
United Kingdom,2016,0.2,R&D Health
Austria,2015,8.2,Health
Belgium,2015,7.9,Health
Bulgaria,2015,5.5,Health
Switzerland,2015,2.2,Health
Cyprus,2015,2.6,Health
Czechia,2015,7.6,Health
Germany (until 1990 former territory of the FRG),2015,7.1,Health
Denmark,2015,8.5,Health
Euro area (11 countries),2015,7.3,Health
Euro area (12 countries),2015,7.2,Health
Euro area (13 countries),2015,7.2,Health
Euro area (15 countries),2015,7.2,Health
Euro area (16 countries),2015,7.2,Health
Euro area (17 countries),2015,7.2,Health
Euro area (18 countries),2015,7.2,Health
Euro area (19 countries),2015,7.2,Health
Estonia,2015,5.4,Health
Greece,2015,4.7,Health
Spain,2015,6.1,Health
European Union - 15 countries (1995-2004),2015,7.3,Health
European Union - 25 countries (2004-2006),2015,7.2,Health
European Union - 27 countries (2007-2013),2015,7.2,Health
European Union - 28 countries,2015,7.1,Health
Finland,2015,7.3,Health
France,2015,8.1,Health
Croatia,2015,6.5,Health
Hungary,2015,5.2,Health
Ireland,2015,5.3,Health
Iceland,2015,7.2,Health
Italy,2015,7,Health
Lithuania,2015,5.8,Health
Luxembourg,2015,4.8,Health
Latvia,2015,3.8,Health
Malta,2015,5.6,Health
Netherlands,2015,8,Health
Norway,2015,8.4,Health
Poland,2015,4.7,Health
Portugal,2015,6.1,Health
Romania,2015,4.2,Health
Sweden,2015,6.9,Health
Slovenia,2015,6.7,Health
Slovakia,2015,7.1,Health
United Kingdom,2015,7.5,Health
Austria,2015,0.2,Public health services
Belgium,2015,0.1,Public health services
Bulgaria,2015,0.1,Public health services
Switzerland,2015,0.1,Public health services
Cyprus,2015,0,Public health services
Czechia,2015,1.4,Public health services
Germany (until 1990 former territory of the FRG),2015,0.1,Public health services
Denmark,2015,0.1,Public health services
Euro area (11 countries),2015,0.1,Public health services
Euro area (12 countries),2015,0.1,Public health services
Euro area (13 countries),2015,0.1,Public health services
Euro area (15 countries),2015,0.1,Public health services
Euro area (16 countries),2015,0.1,Public health services
Euro area (17 countries),2015,0.1,Public health services
Euro area (18 countries),2015,0.1,Public health services
Euro area (19 countries),2015,0.1,Public health services
Estonia,2015,0,Public health services
Greece,2015,0,Public health services
Spain,2015,0.1,Public health services
European Union - 15 countries (1995-2004),2015,0.1,Public health services
European Union - 25 countries (2004-2006),2015,0.2,Public health services
European Union - 27 countries (2007-2013),2015,0.2,Public health services
European Union - 28 countries,2015,0.2,Public health services
Finland,2015,0,Public health services
France,2015,0.1,Public health services
Croatia,2015,0.1,Public health services
Hungary,2015,0.1,Public health services
Ireland,2015,0.2,Public health services
Iceland,2015,0,Public health services
Italy,2015,0.3,Public health services
Lithuania,2015,0.1,Public health services
Luxembourg,2015,0,Public health services
Latvia,2015,0.1,Public health services
Malta,2015,0,Public health services
Netherlands,2015,0.2,Public health services
Norway,2015,0.3,Public health services
Poland,2015,0.1,Public health services
Portugal,2015,0,Public health services
Romania,2015,0.1,Public health services
Sweden,2015,0.2,Public health services
Slovenia,2015,0.3,Public health services
Slovakia,2015,0,Public health services
United Kingdom,2015,0.2,Public health services
Austria,2015,0.5,R&D Health
Belgium,2015,0,R&D Health
Bulgaria,2015,NA,R&D Health
Switzerland,2015,0.1,R&D Health
Cyprus,2015,0,R&D Health
Czechia,2015,0.1,R&D Health
Germany (until 1990 former territory of the FRG),2015,0.1,R&D Health
Denmark,2015,0.2,R&D Health
Euro area (11 countries),2015,0.1,R&D Health
Euro area (12 countries),2015,0.1,R&D Health
Euro area (13 countries),2015,0.1,R&D Health
Euro area (15 countries),2015,0.1,R&D Health
Euro area (16 countries),2015,0.1,R&D Health
Euro area (17 countries),2015,0.1,R&D Health
Euro area (18 countries),2015,0.1,R&D Health
Euro area (19 countries),2015,0.1,R&D Health
Estonia,2015,0.2,R&D Health
Greece,2015,0.1,R&D Health
Spain,2015,0.2,R&D Health
European Union - 15 countries (1995-2004),2015,0.1,R&D Health
European Union - 25 countries (2004-2006),2015,0.1,R&D Health
European Union - 27 countries (2007-2013),2015,0.1,R&D Health
European Union - 28 countries,2015,0.1,R&D Health
Finland,2015,0.1,R&D Health
France,2015,0.1,R&D Health
Croatia,2015,0.3,R&D Health
Hungary,2015,0,R&D Health
Ireland,2015,0,R&D Health
Iceland,2015,0,R&D Health
Italy,2015,0.1,R&D Health
Lithuania,2015,0,R&D Health
Luxembourg,2015,0.2,R&D Health
Latvia,2015,0,R&D Health
Malta,2015,0,R&D Health
Netherlands,2015,0.3,R&D Health
Norway,2015,0.4,R&D Health
Poland,2015,0.1,R&D Health
Portugal,2015,0.2,R&D Health
Romania,2015,0,R&D Health
Sweden,2015,0.2,R&D Health
Slovenia,2015,0.1,R&D Health
Slovakia,2015,0,R&D Health
United Kingdom,2015,0.2,R&D Health
Austria,2014,7.9,Health
Belgium,2014,8.1,Health
Bulgaria,2014,5.5,Health
Switzerland,2014,2.1,Health
Cyprus,2014,2.6,Health
Czechia,2014,7.6,Health
Germany (until 1990 former territory of the FRG),2014,7.1,Health
Denmark,2014,8.6,Health
Euro area (11 countries),2014,7.4,Health
Euro area (12 countries),2014,7.3,Health
Euro area (13 countries),2014,7.3,Health
Euro area (15 countries),2014,7.3,Health
Euro area (16 countries),2014,7.3,Health
Euro area (17 countries),2014,7.3,Health
Euro area (18 countries),2014,7.3,Health
Euro area (19 countries),2014,7.3,Health
Estonia,2014,5.1,Health
Greece,2014,4.7,Health
Spain,2014,6.1,Health
European Union - 15 countries (1995-2004),2014,7.4,Health
European Union - 25 countries (2004-2006),2014,7.2,Health
European Union - 27 countries (2007-2013),2014,7.2,Health
European Union - 28 countries,2014,7.2,Health
Finland,2014,8.3,Health
France,2014,8.2,Health
Croatia,2014,6.6,Health
Hungary,2014,4.8,Health
Ireland,2014,6.8,Health
Iceland,2014,7.3,Health
Italy,2014,7.2,Health
Lithuania,2014,5.5,Health
Luxembourg,2014,5,Health
Latvia,2014,3.8,Health
Malta,2014,5.7,Health
Netherlands,2014,8,Health
Norway,2014,7.9,Health
Poland,2014,4.6,Health
Portugal,2014,6.2,Health
Romania,2014,4,Health
Sweden,2014,7,Health
Slovenia,2014,6.5,Health
Slovakia,2014,7,Health
United Kingdom,2014,7.5,Health
Austria,2014,0.2,Public health services
Belgium,2014,0.2,Public health services
Bulgaria,2014,0.1,Public health services
Switzerland,2014,0.1,Public health services
Cyprus,2014,0,Public health services
Czechia,2014,1.4,Public health services
Germany (until 1990 former territory of the FRG),2014,0.1,Public health services
Denmark,2014,0.1,Public health services
Euro area (11 countries),2014,0.1,Public health services
Euro area (12 countries),2014,0.1,Public health services
Euro area (13 countries),2014,0.1,Public health services
Euro area (15 countries),2014,0.1,Public health services
Euro area (16 countries),2014,0.1,Public health services
Euro area (17 countries),2014,0.1,Public health services
Euro area (18 countries),2014,0.1,Public health services
Euro area (19 countries),2014,0.1,Public health services
Estonia,2014,0,Public health services
Greece,2014,0,Public health services
Spain,2014,0.1,Public health services
European Union - 15 countries (1995-2004),2014,0.1,Public health services
European Union - 25 countries (2004-2006),2014,0.2,Public health services
European Union - 27 countries (2007-2013),2014,0.2,Public health services
European Union - 28 countries,2014,0.2,Public health services
Finland,2014,0,Public health services
France,2014,0.1,Public health services
Croatia,2014,0.1,Public health services
Hungary,2014,0.1,Public health services
Ireland,2014,0.2,Public health services
Iceland,2014,0,Public health services
Italy,2014,0.3,Public health services
Lithuania,2014,0.1,Public health services
Luxembourg,2014,0,Public health services
Latvia,2014,0,Public health services
Malta,2014,0,Public health services
Netherlands,2014,0.2,Public health services
Norway,2014,0.2,Public health services
Poland,2014,0.1,Public health services
Portugal,2014,0,Public health services
Romania,2014,0.1,Public health services
Sweden,2014,0.2,Public health services
Slovenia,2014,0.3,Public health services
Slovakia,2014,0,Public health services
United Kingdom,2014,0.2,Public health services
Austria,2014,0.4,R&D Health
Belgium,2014,0,R&D Health
Bulgaria,2014,NA,R&D Health
Switzerland,2014,0.1,R&D Health
Cyprus,2014,0,R&D Health
Czechia,2014,0.1,R&D Health
Germany (until 1990 former territory of the FRG),2014,0.1,R&D Health
Denmark,2014,0.2,R&D Health
Euro area (11 countries),2014,0.1,R&D Health
Euro area (12 countries),2014,0.1,R&D Health
Euro area (13 countries),2014,0.1,R&D Health
Euro area (15 countries),2014,0.1,R&D Health
Euro area (16 countries),2014,0.1,R&D Health
Euro area (17 countries),2014,0.1,R&D Health
Euro area (18 countries),2014,0.1,R&D Health
Euro area (19 countries),2014,0.1,R&D Health
Estonia,2014,0.1,R&D Health
Greece,2014,0,R&D Health
Spain,2014,0.3,R&D Health
European Union - 15 countries (1995-2004),2014,0.1,R&D Health
European Union - 25 countries (2004-2006),2014,0.1,R&D Health
European Union - 27 countries (2007-2013),2014,0.1,R&D Health
European Union - 28 countries,2014,0.1,R&D Health
Finland,2014,0.1,R&D Health
France,2014,0.1,R&D Health
Croatia,2014,0.3,R&D Health
Hungary,2014,0,R&D Health
Ireland,2014,0,R&D Health
Iceland,2014,0,R&D Health
Italy,2014,0.1,R&D Health
Lithuania,2014,0,R&D Health
Luxembourg,2014,0.2,R&D Health
Latvia,2014,0,R&D Health
Malta,2014,0,R&D Health
Netherlands,2014,0.3,R&D Health
Norway,2014,0.4,R&D Health
Poland,2014,0.1,R&D Health
Portugal,2014,0.1,R&D Health
Romania,2014,0,R&D Health
Sweden,2014,0.2,R&D Health
Slovenia,2014,0.1,R&D Health
Slovakia,2014,0,R&D Health
United Kingdom,2014,0.1,R&D Health
Austria,2013,7.8,Health
Belgium,2013,8,Health
Bulgaria,2013,4.5,Health
Switzerland,2013,2.2,Health
Cyprus,2013,3.1,Health
Czechia,2013,7.6,Health
Germany (until 1990 former territory of the FRG),2013,7,Health
Denmark,2013,8.5,Health
Euro area (11 countries),2013,7.3,Health
Euro area (12 countries),2013,7.3,Health
Euro area (13 countries),2013,7.3,Health
Euro area (15 countries),2013,7.3,Health
Euro area (16 countries),2013,7.3,Health
Euro area (17 countries),2013,7.3,Health
Euro area (18 countries),2013,7.3,Health
Euro area (19 countries),2013,7.3,Health
Estonia,2013,5,Health
Greece,2013,5.2,Health
Spain,2013,6.2,Health
European Union - 15 countries (1995-2004),2013,7.3,Health
European Union - 25 countries (2004-2006),2013,7.2,Health
European Union - 27 countries (2007-2013),2013,7.2,Health
European Union - 28 countries,2013,7.2,Health
Finland,2013,8.3,Health
France,2013,8.1,Health
Croatia,2013,6.4,Health
Hungary,2013,5,Health
Ireland,2013,7.2,Health
Iceland,2013,7.1,Health
Italy,2013,7.2,Health
Lithuania,2013,5.6,Health
Luxembourg,2013,5.2,Health
Latvia,2013,3.7,Health
Malta,2013,5.7,Health
Netherlands,2013,8.1,Health
Norway,2013,7.5,Health
Poland,2013,4.6,Health
Portugal,2013,6.4,Health
Romania,2013,4,Health
Sweden,2013,7,Health
Slovenia,2013,6.8,Health
Slovakia,2013,6.8,Health
United Kingdom,2013,7.4,Health
Austria,2013,0.2,Public health services
Belgium,2013,0.2,Public health services
Bulgaria,2013,0.1,Public health services
Switzerland,2013,0.1,Public health services
Cyprus,2013,0,Public health services
Czechia,2013,1.4,Public health services
Germany (until 1990 former territory of the FRG),2013,0.1,Public health services
Denmark,2013,0.1,Public health services
Euro area (11 countries),2013,0.1,Public health services
Euro area (12 countries),2013,0.1,Public health services
Euro area (13 countries),2013,0.1,Public health services
Euro area (15 countries),2013,0.1,Public health services
Euro area (16 countries),2013,0.1,Public health services
Euro area (17 countries),2013,0.1,Public health services
Euro area (18 countries),2013,0.1,Public health services
Euro area (19 countries),2013,0.1,Public health services
Estonia,2013,0,Public health services
Greece,2013,0,Public health services
Spain,2013,0.1,Public health services
European Union - 15 countries (1995-2004),2013,0.1,Public health services
European Union - 25 countries (2004-2006),2013,0.2,Public health services
European Union - 27 countries (2007-2013),2013,0.2,Public health services
European Union - 28 countries,2013,0.1,Public health services
Finland,2013,0,Public health services
France,2013,0.1,Public health services
Croatia,2013,0.1,Public health services
Hungary,2013,0.1,Public health services
Ireland,2013,0.3,Public health services
Iceland,2013,0,Public health services
Italy,2013,0.3,Public health services
Lithuania,2013,0.1,Public health services
Luxembourg,2013,0.1,Public health services
Latvia,2013,0,Public health services
Malta,2013,0,Public health services
Netherlands,2013,0.2,Public health services
Norway,2013,0.2,Public health services
Poland,2013,0.1,Public health services
Portugal,2013,0,Public health services
Romania,2013,0.1,Public health services
Sweden,2013,0.2,Public health services
Slovenia,2013,0.4,Public health services
Slovakia,2013,0,Public health services
United Kingdom,2013,0.2,Public health services
Austria,2013,0.5,R&D Health
Belgium,2013,0,R&D Health
Bulgaria,2013,NA,R&D Health
Switzerland,2013,0.1,R&D Health
Cyprus,2013,0,R&D Health
Czechia,2013,0,R&D Health
Germany (until 1990 former territory of the FRG),2013,0.1,R&D Health
Denmark,2013,0.2,R&D Health
Euro area (11 countries),2013,0.1,R&D Health
Euro area (12 countries),2013,0.1,R&D Health
Euro area (13 countries),2013,0.1,R&D Health
Euro area (15 countries),2013,0.1,R&D Health
Euro area (16 countries),2013,0.1,R&D Health
Euro area (17 countries),2013,0.1,R&D Health
Euro area (18 countries),2013,0.1,R&D Health
Euro area (19 countries),2013,0.1,R&D Health
Estonia,2013,0.1,R&D Health
Greece,2013,0,R&D Health
Spain,2013,0.3,R&D Health
European Union - 15 countries (1995-2004),2013,0.1,R&D Health
European Union - 25 countries (2004-2006),2013,0.1,R&D Health
European Union - 27 countries (2007-2013),2013,0.1,R&D Health
European Union - 28 countries,2013,0.1,R&D Health
Finland,2013,0.1,R&D Health
France,2013,0.1,R&D Health
Croatia,2013,0.3,R&D Health
Hungary,2013,0,R&D Health
Ireland,2013,0,R&D Health
Iceland,2013,0,R&D Health
Italy,2013,0.1,R&D Health
Lithuania,2013,0,R&D Health
Luxembourg,2013,0.2,R&D Health
Latvia,2013,0,R&D Health
Malta,2013,0,R&D Health
Netherlands,2013,0.3,R&D Health
Norway,2013,0.4,R&D Health
Poland,2013,0.1,R&D Health
Portugal,2013,0.1,R&D Health
Romania,2013,0,R&D Health
Sweden,2013,0.2,R&D Health
Slovenia,2013,0.1,R&D Health
Slovakia,2013,0,R&D Health
United Kingdom,2013,0.1,R&D Health
Austria,2012,7.7,Health
Belgium,2012,7.9,Health
Bulgaria,2012,4.4,Health
Switzerland,2012,2.1,Health
Cyprus,2012,3,Health
Czechia,2012,7.7,Health
Germany (until 1990 former territory of the FRG),2012,6.8,Health
Denmark,2012,8.7,Health
Euro area (11 countries),2012,7.3,Health
Euro area (12 countries),2012,7.2,Health
Euro area (13 countries),2012,7.2,Health
Euro area (15 countries),2012,7.2,Health
Euro area (16 countries),2012,7.2,Health
Euro area (17 countries),2012,7.2,Health
Euro area (18 countries),2012,7.2,Health
Euro area (19 countries),2012,7.2,Health
Estonia,2012,5,Health
Greece,2012,5.8,Health
Spain,2012,6.2,Health
European Union - 15 countries (1995-2004),2012,7.3,Health
European Union - 25 countries (2004-2006),2012,7.2,Health
European Union - 27 countries (2007-2013),2012,7.1,Health
European Union - 28 countries,2012,7.1,Health
Finland,2012,8.2,Health
France,2012,8,Health
Croatia,2012,7.2,Health
Hungary,2012,5.1,Health
Ireland,2012,7.5,Health
Iceland,2012,7.1,Health
Italy,2012,7.2,Health
Lithuania,2012,5.9,Health
Luxembourg,2012,4.9,Health
Latvia,2012,3.9,Health
Malta,2012,5.5,Health
Netherlands,2012,8.1,Health
Norway,2012,7.3,Health
Poland,2012,4.6,Health
