country,year,Net social contribution (% of GDP)
Austria,2018,15.2
Belgium,2018,15.8
Bulgaria,2018,8.8
Cyprus,2018,8.9
Czechia,2018,15.6
Germany (until 1990 former territory of the FRG),2018,16.9
Denmark,2018,0.9
Euro area (11 countries),2018,15.2
Euro area (12 countries),2018,15.2
Euro area (13 countries),2018,15.2
Euro area (15 countries),2018,15.2
Euro area (16 countries),2018,15.2
Euro area (17 countries),2018,15.2
Euro area (18 countries),2018,15.2
Euro area (19 countries),2018,15.2
Estonia,2018,11.9
Greece,2018,14.3
Spain,2018,12.4
European Union - 15 countries (1995-2004),2018,13.3
European Union - 25 countries (2004-2006),2018,13.4
European Union - 28 countries,2018,13.3
Finland,2018,12
France,2018,18
Croatia,2018,12
Hungary,2018,12.2
Ireland,2018,4.2
Iceland,2018,3.5
Italy,2018,13.4
Lithuania,2018,13.1
Luxembourg,2018,12.4
Latvia,2018,9.3
Malta,2018,6.2
Netherlands,2018,14.5
Norway,2018,10.1
Poland,2018,14.1
Portugal,2018,11.8
Romania,2018,11.4
Sweden,2018,3.4
Slovenia,2018,14.8
Slovakia,2018,14.8
United Kingdom,2018,7.8
Austria,2017,15.2
Belgium,2017,15.9
Bulgaria,2017,8.4
Switzerland,2017,6.8
Cyprus,2017,8.7
Czechia,2017,15
Germany (until 1990 former territory of the FRG),2017,16.7
Denmark,2017,0.9
Euro area (11 countries),2017,15.3
Euro area (12 countries),2017,15.3
Euro area (13 countries),2017,15.3
Euro area (15 countries),2017,15.2
Euro area (16 countries),2017,15.2
Euro area (17 countries),2017,15.2
Euro area (18 countries),2017,15.2
Euro area (19 countries),2017,15.2
Estonia,2017,11.4
Greece,2017,14.4
Spain,2017,12.3
European Union - 15 countries (1995-2004),2017,13.3
European Union - 25 countries (2004-2006),2017,13.4
European Union - 28 countries,2017,13.3
Finland,2017,12.2
France,2017,18.8
Croatia,2017,11.9
Hungary,2017,12.8
Ireland,2017,4.3
Iceland,2017,3.4
Italy,2017,13.1
Lithuania,2017,12.6
Luxembourg,2017,12.5
Latvia,2017,8.7
Malta,2017,6.2
Netherlands,2017,14.3
Norway,2017,10.3
Poland,2017,13.9
Portugal,2017,11.7
Romania,2017,9.4
Sweden,2017,3.3
Slovenia,2017,14.8
Slovakia,2017,14.8
United Kingdom,2017,7.8
Austria,2016,15.2
Belgium,2016,15.9
Bulgaria,2016,7.8
Switzerland,2016,6.8
Cyprus,2016,8.4
Czechia,2016,14.7
Germany (until 1990 former territory of the FRG),2016,16.6
Denmark,2016,0.9
Euro area (11 countries),2016,15.3
Euro area (12 countries),2016,15.3
Euro area (13 countries),2016,15.3
Euro area (15 countries),2016,15.3
Euro area (16 countries),2016,15.3
Euro area (17 countries),2016,15.3
Euro area (18 countries),2016,15.2
Euro area (19 countries),2016,15.2
Estonia,2016,11.4
Greece,2016,14.1
Spain,2016,12.2
European Union - 15 countries (1995-2004),2016,13.3
European Union - 25 countries (2004-2006),2016,13.3
European Union - 28 countries,2016,13.2
Finland,2016,12.9
France,2016,18.7
Croatia,2016,11.9
Hungary,2016,13.6
Ireland,2016,4.4
Iceland,2016,3.4
Italy,2016,13.1
Lithuania,2016,12.5
Luxembourg,2016,12.2
Latvia,2016,8.6
Malta,2016,6.2
Netherlands,2016,15.2
Norway,2016,10.6
Poland,2016,13.8
Portugal,2016,11.6
Romania,2016,8.8
Sweden,2016,3.3
Slovenia,2016,14.8
Slovakia,2016,14.3
United Kingdom,2016,7.7
Austria,2015,15.1
Belgium,2015,16.5
Bulgaria,2015,7.9
Switzerland,2015,6.8
Cyprus,2015,8.4
Czechia,2015,14.4
Germany (until 1990 former territory of the FRG),2015,16.4
Denmark,2015,1
Euro area (11 countries),2015,15.3
Euro area (12 countries),2015,15.3
Euro area (13 countries),2015,15.3
Euro area (15 countries),2015,15.3
Euro area (16 countries),2015,15.2
Euro area (17 countries),2015,15.2
Euro area (18 countries),2015,15.2
Euro area (19 countries),2015,15.2
Estonia,2015,11.3
Greece,2015,13.8
Spain,2015,12.2
European Union - 15 countries (1995-2004),2015,13.1
European Union - 25 countries (2004-2006),2015,13.1
European Union - 28 countries,2015,13.1
Finland,2015,12.8
France,2015,18.8
Croatia,2015,12
Hungary,2015,13.1
Ireland,2015,4.3
Iceland,2015,3.5
Italy,2015,13.3
Lithuania,2015,11.9
Luxembourg,2015,12.1
Latvia,2015,8.7
Malta,2015,6.2
Netherlands,2015,14.5
Norway,2015,10.4
Poland,2015,13.5
Portugal,2015,11.6
Romania,2015,8.1
Sweden,2015,3.3
Slovenia,2015,14.7
Slovakia,2015,14
United Kingdom,2015,7.5
Austria,2014,15.2
Belgium,2014,16.7
Bulgaria,2014,7.9
Switzerland,2014,6.7
Cyprus,2014,8.2
Czechia,2014,14.6
Germany (until 1990 former territory of the FRG),2014,16.4
Denmark,2014,1
Euro area (11 countries),2014,15.5
Euro area (12 countries),2014,15.5
Euro area (13 countries),2014,15.5
Euro area (15 countries),2014,15.5
Euro area (16 countries),2014,15.5
Euro area (17 countries),2014,15.4
Euro area (18 countries),2014,15.4
Euro area (19 countries),2014,15.4
Estonia,2014,11.1
Greece,2014,13.5
Spain,2014,12.5
European Union - 15 countries (1995-2004),2014,13.4
European Union - 25 countries (2004-2006),2014,13.3
European Union - 28 countries,2014,13.3
Finland,2014,12.8
France,2014,19
Croatia,2014,11.8
Hungary,2014,12.9
Ireland,2014,5.6
Iceland,2014,3.5
Italy,2014,13.2
Lithuania,2014,11.4
Luxembourg,2014,11.9
Latvia,2014,8.7
Malta,2014,6.6
Netherlands,2014,15.2
Norway,2014,10
Poland,2014,13.2
Portugal,2014,11.8
Romania,2014,8.5
Sweden,2014,3.4
Slovenia,2014,14.6
Slovakia,2014,13.6
United Kingdom,2014,7.4
Austria,2013,15.2
Belgium,2013,16.8
Bulgaria,2013,7.5
Switzerland,2013,6.8
Cyprus,2013,7.5
Czechia,2013,14.8
Germany (until 1990 former territory of the FRG),2013,16.5
Denmark,2013,1.1
Euro area (11 countries),2013,15.6
