country,year,expenditure on social protection (% GDP)
Austria,2006,27.5
Austria,2007,27
Austria,2008,27.6
Austria,2009,29.6
Austria,2010,29.6
Austria,2011,28.8
Austria,2012,29.2
Austria,2013,29.6
Austria,2014,29.8
Austria,2015,29.8
Austria,2016,29.9
Belgium,2006,26.6
Belgium,2007,26.2
Belgium,2008,27.7
Belgium,2009,30
Belgium,2010,29.4
Belgium,2011,29.7
Belgium,2012,29.6
Belgium,2013,30.1
Belgium,2014,30.2
Belgium,2015,30.2
Belgium,2016,29.6
Belgium,2017,29.2
Bosnia and Herzegovina,2013,19.6
Bosnia and Herzegovina,2015,19.7
Bulgaria,2006,13.9
Bulgaria,2007,13.4
Bulgaria,2008,14.7
Bulgaria,2009,16.1
Bulgaria,2010,17
Bulgaria,2011,16.5
Bulgaria,2012,16.6
Bulgaria,2013,17.6
Bulgaria,2014,18.5
Bulgaria,2015,17.9
Bulgaria,2016,17.5
Croatia,2008,18.8
Croatia,2009,21
Croatia,2010,21.3
Croatia,2011,21
Croatia,2012,21.6
Croatia,2013,21.4
Croatia,2014,21.8
Croatia,2015,21.8
Croatia,2016,21.3
Croatia,2017,20.9
Cyprus,2006,16.7
Cyprus,2007,16.4
Cyprus,2008,17.6
Cyprus,2009,19.1
Cyprus,2010,18.8
Cyprus,2011,20.2
Cyprus,2012,20.9
Cyprus,2013,22.8
Cyprus,2014,20
Cyprus,2015,19.9
Cyprus,2016,19.1
Czechia,2006,17.6
Czechia,2007,17.6
Czechia,2008,17.9
Czechia,2009,20.1
Czechia,2010,20
Czechia,2011,20.1
Czechia,2012,20.4
Czechia,2013,20.2
Czechia,2014,19.7
Czechia,2015,19
Czechia,2016,18.9
Czechia,2017,18.6
Denmark,2006,28.4
Denmark,2007,29.1
Denmark,2008,28.9
Denmark,2009,32.7
Denmark,2010,32.4
Denmark,2011,32.1
Denmark,2012,32
Denmark,2013,32.5
Denmark,2014,32.8
Denmark,2015,32.1
Denmark,2016,31.1
Estonia,2006,12
Estonia,2007,12
Estonia,2008,14.7
Estonia,2009,18.8
Estonia,2010,17.6
Estonia,2011,15.6
Estonia,2012,15
Estonia,2013,14.8
Estonia,2014,14.9
Estonia,2015,16.1
Estonia,2016,16.6
Euro area (18 countries),2006,26.3
Euro area (18 countries),2007,25.9
Euro area (18 countries),2008,26.6
Euro area (18 countries),2009,29.4
Euro area (18 countries),2010,29.3
Euro area (18 countries),2011,29
Euro area (18 countries),2012,29.4
Euro area (18 countries),2013,29.8
Euro area (18 countries),2014,29.7
Euro area (18 countries),2015,29.4
Euro area (18 countries),2016,29.3
Euro area (19 countries),2006,26.2
Euro area (19 countries),2007,25.8
Euro area (19 countries),2008,26.5
Euro area (19 countries),2009,29.3
Euro area (19 countries),2010,29.2
Euro area (19 countries),2011,29
Euro area (19 countries),2012,29.4
Euro area (19 countries),2013,29.7
Euro area (19 countries),2014,29.7
Euro area (19 countries),2015,29.3
Euro area (19 countries),2016,29.2
European Union - 27 countries (2007-2013),2006,25.7
European Union - 27 countries (2007-2013),2007,25.3
European Union - 27 countries (2007-2013),2008,26
European Union - 27 countries (2007-2013),2009,28.7
European Union - 27 countries (2007-2013),2010,28.6
European Union - 27 countries (2007-2013),2011,28.4
European Union - 27 countries (2007-2013),2012,28.7
European Union - 27 countries (2007-2013),2013,28.9
European Union - 27 countries (2007-2013),2014,28.7
European Union - 27 countries (2007-2013),2015,28.4
European Union - 27 countries (2007-2013),2016,28.1
European Union - 28 countries,2008,25.9
European Union - 28 countries,2009,28.7
European Union - 28 countries,2010,28.6
European Union - 28 countries,2011,28.3
European Union - 28 countries,2012,28.7
European Union - 28 countries,2013,28.9
European Union - 28 countries,2014,28.7
European Union - 28 countries,2015,28.4
European Union - 28 countries,2016,28.1
Finland,2006,25.4
Finland,2007,24.5
Finland,2008,25.1
Finland,2009,29
Finland,2010,29.3
Finland,2011,28.9
Finland,2012,30.1
Finland,2013,31.1
Finland,2014,31.9
Finland,2015,32
Finland,2016,31.9
France,2006,30.7
France,2007,30.4
France,2008,30.8
France,2009,33.2
France,2010,33.2
France,2011,33
France,2012,33.8
France,2013,34.2
France,2014,34.5
France,2015,34.2
France,2016,34.3
Germany (until 1990 former territory of the FRG),2006,27.8
Germany (until 1990 former territory of the FRG),2007,26.8
Germany (until 1990 former territory of the FRG),2008,27.2
Germany (until 1990 former territory of the FRG),2009,30.6
Germany (until 1990 former territory of the FRG),2010,29.9
Germany (until 1990 former territory of the FRG),2011,28.7
Germany (until 1990 former territory of the FRG),2012,28.8
Germany (until 1990 former territory of the FRG),2013,29.1
Germany (until 1990 former territory of the FRG),2014,29
Germany (until 1990 former territory of the FRG),2015,29.2
Germany (until 1990 former territory of the FRG),2016,29.4
Greece,2006,20.6
Greece,2007,21.3
Greece,2008,22.8
Greece,2009,24.8
Greece,2010,25.9
Greece,2011,27.3
Greece,2012,28.1
Greece,2013,26.4
Greece,2014,26
Greece,2015,26.1
Greece,2016,26.2
Hungary,2006,21.9
Hungary,2007,22.1
Hungary,2008,22.3
Hungary,2009,22.7
Hungary,2010,22.5
Hungary,2011,21.6
Hungary,2012,21.3
Hungary,2013,20.8
Hungary,2014,19.8
Hungary,2015,19.3
Hungary,2016,19.1
Hungary,2017,18.6
Iceland,2006,20.5
Iceland,2007,20.3
Iceland,2008,20.7
Iceland,2009,23.3
Iceland,2010,22.5
Iceland,2011,23.2
Iceland,2012,22.9
Iceland,2013,22.6
Iceland,2014,23.1
Iceland,2015,22.2
Ireland,2006,17.1
Ireland,2007,17.6
Ireland,2008,20.2
Ireland,2009,24.1
Ireland,2010,24.8
Ireland,2011,24.2
Ireland,2012,23.6
Ireland,2013,22.6
Ireland,2014,20.6
Ireland,2015,15.8
Ireland,2016,15.8
Italy,2006,25.6
Italy,2007,25.7
Italy,2008,26.7
Italy,2009,28.8
Italy,2010,28.9
Italy,2011,28.5
Italy,2012,29.3
Italy,2013,29.8
Italy,2014,29.9
Italy,2015,29.9
Italy,2016,29.5
Italy,2017,29.2
Latvia,2006,11.9
Latvia,2007,10.6
Latvia,2008,12.1
Latvia,2009,16.8
Latvia,2010,18.3
Latvia,2011,15.3
Latvia,2012,14.4
Latvia,2013,14.6
Latvia,2014,14.5
Latvia,2015,14.9
Latvia,2016,15.1
Latvia,2017,14.7
Lithuania,2006,13.3
Lithuania,2007,14.2
Lithuania,2008,15.9
Lithuania,2009,21
Lithuania,2010,19.1
Lithuania,2011,17
Lithuania,2012,16.3
