country,year,Tax revenue (% of GDP)
Estonia,2018,33.3
Luxembourg,2018,41.3
Sweden,2018,44.6
Austria,2017,42.2
Belgium,2017,46.5
Bulgaria,2017,29.4
Switzerland,2017,28.5
Cyprus,2017,33.7
Czechia,2017,35.2
Germany (until 1990 former territory of the FRG),2017,40.3
Denmark,2017,46.4
Euro area (11 countries),2017,41.4
Euro area (12 countries),2017,41.4
Euro area (13 countries),2017,41.3
Euro area (15 countries),2017,41.3
Euro area (16 countries),2017,41.3
Euro area (17 countries),2017,41.2
Euro area (18 countries),2017,41.2
Euro area (19 countries),2017,41.2
Estonia,2017,32.8
Greece,2017,41.6
Spain,2017,34.2
European Union - 15 countries (1995-2004),2017,40.5
European Union - 25 countries (2004-2006),2017,40.2
European Union - 28 countries,2017,39.9
Finland,2017,43.3
France,2017,48.2
Croatia,2017,37.7
Hungary,2017,38.2
Ireland,2017,23.3
Iceland,2017,37.5
Italy,2017,42.2
Lithuania,2017,29.6
Luxembourg,2017,40
Latvia,2017,31.2
Malta,2017,33.2
Netherlands,2017,38.8
Norway,2017,38.9
Poland,2017,34.9
Portugal,2017,36.7
Romania,2017,25.7
Sweden,2017,44.8
Slovenia,2017,36.7
Slovakia,2017,33
United Kingdom,2017,35.3
Austria,2016,42.4
Belgium,2016,45.9
Bulgaria,2016,28.8
Switzerland,2016,27.8
Cyprus,2016,32.7
Czechia,2016,34.6
Germany (until 1990 former territory of the FRG),2016,40
Denmark,2016,46.7
Euro area (11 countries),2016,41.1
Euro area (12 countries),2016,41.1
Euro area (13 countries),2016,41.1
Euro area (15 countries),2016,41.1
Euro area (16 countries),2016,41
Euro area (17 countries),2016,41
Euro area (18 countries),2016,41
Euro area (19 countries),2016,41
Estonia,2016,33.6
Greece,2016,41.7
Spain,2016,33.9
European Union - 15 countries (1995-2004),2016,40.3
European Union - 25 countries (2004-2006),2016,39.9
European Union - 28 countries,2016,39.7
Finland,2016,44
France,2016,47.6
Croatia,2016,37.7
Hungary,2016,39.2
Ireland,2016,23.8
Iceland,2016,50.8
Italy,2016,42.4
Lithuania,2016,29.8
Luxembourg,2016,39.2
Latvia,2016,31.2
Malta,2016,32.4
Netherlands,2016,38.5
Norway,2016,38.7
Poland,2016,34.3
Portugal,2016,36.5
Romania,2016,26.4
Serbia,2016,38.4
Sweden,2016,44.6
Slovenia,2016,36.9
Slovakia,2016,32.2
United Kingdom,2016,34.8
Austria,2015,43.7
Belgium,2015,46.8
Bulgaria,2015,28.9
Switzerland,2015,27.6
Cyprus,2015,33
Czechia,2015,33.9
Germany (until 1990 former territory of the FRG),2015,39.5
Denmark,2015,47.1
Euro area (11 countries),2015,41.2
Euro area (12 countries),2015,41.2
Euro area (13 countries),2015,41.1
Euro area (15 countries),2015,41.1
Euro area (16 countries),2015,41
Euro area (17 countries),2015,41
Euro area (18 countries),2015,41
Euro area (19 countries),2015,41
Estonia,2015,33.3
Greece,2015,39.7
Spain,2015,34.3
European Union - 15 countries (1995-2004),2015,40
European Union - 25 countries (2004-2006),2015,39.6
European Union - 28 countries,2015,39.4
Finland,2015,43.9
France,2015,47.5
Croatia,2015,37.2
Hungary,2015,38.7
Ireland,2015,23.7
Iceland,2015,35.4
Italy,2015,43.1
Lithuania,2015,28.9
Luxembourg,2015,38.7
Latvia,2015,30.2
Malta,2015,31.8
Netherlands,2015,37
Norway,2015,38.4
Poland,2015,33.2
Portugal,2015,36.9
Romania,2015,27.9
Serbia,2015,37.3
Sweden,2015,43.5
Slovenia,2015,36.7
Slovakia,2015,32
United Kingdom,2015,34.2
Austria,2014,43.3
Belgium,2014,47.5
Bulgaria,2014,28.2
Switzerland,2014,26.9
Cyprus,2014,33.3
Czechia,2014,33.7
Germany (until 1990 former territory of the FRG),2014,39.3
Denmark,2014,49.7
Euro area (11 countries),2014,41.5
Euro area (12 countries),2014,41.4
Euro area (13 countries),2014,41.4
Euro area (15 countries),2014,41.4
Euro area (16 countries),2014,41.3
Euro area (17 countries),2014,41.3
Euro area (18 countries),2014,41.3
Euro area (19 countries),2014,41.2
Estonia,2014,32.2
Greece,2014,39
Spain,2014,34.4
European Union - 15 countries (1995-2004),2014,40.3
European Union - 25 countries (2004-2006),2014,39.8
European Union - 28 countries,2014,39.7
Finland,2014,43.9
France,2014,47.6
Croatia,2014,36.6
Hungary,2014,38
Ireland,2014,29.4
Iceland,2014,37.3
Italy,2014,43.3
Lithuania,2014,27.6
Luxembourg,2014,38.9
Latvia,2014,29.8
Malta,2014,33.5
Netherlands,2014,37.2
Norway,2014,38.8
Poland,2014,32.7
Portugal,2014,37
Romania,2014,27.4
Serbia,2014,37.4
Sweden,2014,43
Slovenia,2014,36.6
Slovakia,2014,31
United Kingdom,2014,33.8
Austria,2013,43.3
Belgium,2013,47.6
Bulgaria,2013,28.2
Switzerland,2013,27.1
Cyprus,2013,31.5
Czechia,2013,34.7
Germany (until 1990 former territory of the FRG),2013,39.5
Denmark,2013,47.1
Euro area (11 countries),2013,41.4
Euro area (12 countries),2013,41.4
Euro area (13 countries),2013,41.4
Euro area (15 countries),2013,41.3
Euro area (16 countries),2013,41.3
Euro area (17 countries),2013,41.2
Euro area (18 countries),2013,41.2
Euro area (19 countries),2013,41.2
Estonia,2013,31.7
Greece,2013,38.5
Spain,2013,33.8
European Union - 15 countries (1995-2004),2013,40.4
European Union - 25 countries (2004-2006),2013,39.9
European Union - 28 countries,2013,39.7
Finland,2013,43.7
France,2013,47.4
Croatia,2013,36.3
Hungary,2013,37.9
Ireland,2013,29.4
Iceland,2013,34.5
Italy,2013,43.6
Lithuania,2013,27
Luxembourg,2013,39.7
Latvia,2013,29.5
Malta,2013,33.6
Netherlands,2013,36.3
Norway,2013,39.9
Poland,2013,32.8
Portugal,2013,37.1
Romania,2013,27.2
Serbia,2013,36.6
Sweden,2013,43.3
Slovenia,2013,36.9
Slovakia,2013,30.1
United Kingdom,2013,34.2
Austria,2012,42.5
Belgium,2012,46.7
Bulgaria,2012,26.6
Switzerland,2012,27
Cyprus,2012,31.5
Czechia,2012,34.1
Germany (until 1990 former territory of the FRG),2012,39.1
Denmark,2012,46.7
Euro area (11 countries),2012,40.8
Euro area (12 countries),2012,40.8
Euro area (13 countries),2012,40.8
Euro area (15 countries),2012,40.8
Euro area (16 countries),2012,40.7
Euro area (17 countries),2012,40.6
Euro area (18 countries),2012,40.6
Euro area (19 countries),2012,40.6
Estonia,2012,31.7
Greece,2012,38.7
Spain,2012,33
European Union - 15 countries (1995-2004),2012,39.9
European Union - 25 countries (2004-2006),2012,39.5
European Union - 28 countries,2012,39.3
Finland,2012,42.7
France,2012,46.4
Croatia,2012,35.9
Hungary,2012,38.3
Ireland,2012,29
Iceland,2012,34
Italy,2012,43.6
Lithuania,2012,27.1
Luxembourg,2012,39.8
Latvia,2012,29.2
Malta,2012,33.4
Netherlands,2012,35.8
Norway,2012,41.5
Poland,2012,32.9
Portugal,2012,34.4
Romania,2012,27.6
Serbia,2012,37.1
Sweden,2012,42.9
Slovenia,2012,37.2
Slovakia,2012,28.2
United Kingdom,2012,34.3
Austria,2011,41.9
Belgium,2011,45.5
Bulgaria,2011,25.2
Switzerland,2011,27
Cyprus,2011,31.7
Czechia,2011,33.6
Germany (until 1990 former territory of the FRG),2011,38.5
Denmark,2011,46.1
Euro area (11 countries),2011,39.8
Euro area (12 countries),2011,39.7
Euro area (13 countries),2011,39.7
Euro area (15 countries),2011,39.7
Euro area (16 countries),2011,39.6
Euro area (17 countries),2011,39.6
Euro area (18 countries),2011,39.6
Euro area (19 countries),2011,39.5
Estonia,2011,31.5
Greece,2011,36
Spain,2011,31.9
European Union - 15 countries (1995-2004),2011,39.3
European Union - 25 countries (2004-2006),2011,38.8
European Union - 28 countries,2011,38.7
Finland,2011,42.1
France,2011,45.3
Croatia,2011,35.2
Hungary,2011,36.5
Ireland,2011,28.8
Iceland,2011,33.3
Italy,2011,41.6
Lithuania,2011,27.4
Luxembourg,2011,38.4
Latvia,2011,28.4
Malta,2011,33.2
Netherlands,2011,35.7
Norway,2011,42
Poland,2011,32.7
Portugal,2011,35.4
Romania,2011,28.1
Serbia,2011,36.8
Sweden,2011,42.9
Slovenia,2011,36.8
Slovakia,2011,28.5
United Kingdom,2011,35.2
Austria,2010,41.8
Belgium,2010,44.8
Bulgaria,2010,25.8
Switzerland,2010,26.7
Cyprus,2010,31.7
Czechia,2010,32.5
Germany (until 1990 former territory of the FRG),2010,38.1
Denmark,2010,46.1
Euro area (11 countries),2010,39.3
Euro area (12 countries),2010,39.2
Euro area (13 countries),2010,39.2
Euro area (15 countries),2010,39.2
Euro area (16 countries),2010,39.1
Euro area (17 countries),2010,39.1
Euro area (18 countries),2010,39.1
Euro area (19 countries),2010,39
Estonia,2010,33.3
Greece,2010,34.1
Spain,2010,32
European Union - 15 countries (1995-2004),2010,38.8
European Union - 25 countries (2004-2006),2010,38.4
European Union - 28 countries,2010,38.2
Finland,2010,40.8
France,2010,44.1
Croatia,2010,35.9
Hungary,2010,37.2
Ireland,2010,28.2
Iceland,2010,32.4
Italy,2010,41.6
Lithuania,2010,28.5
Luxembourg,2010,38.9
Latvia,2010,28.6
Malta,2010,33.1
Netherlands,2010,35.8
Norway,2010,41.9
Poland,2010,32.3
Portugal,2010,33.6
Romania,2010,27
Serbia,2010,38.4
Sweden,2010,43.6
Slovenia,2010,37.3
Slovakia,2010,28
United Kingdom,2010,34.7
Austria,2009,41.9
Belgium,2009,44.5
Bulgaria,2009,27
Switzerland,2009,27
Cyprus,2009,31.5
Czechia,2009,32.1
Germany (until 1990 former territory of the FRG),2009,39.4
Denmark,2009,46.1
Euro area (11 countries),2009,39.5
Euro area (12 countries),2009,39.3
Euro area (13 countries),2009,39.3
Euro area (15 countries),2009,39.3
Euro area (16 countries),2009,39.2
Euro area (17 countries),2009,39.2
Euro area (18 countries),2009,39.2
Euro area (19 countries),2009,39.1
Estonia,2009,35
Greece,2009,32.8
Spain,2009,30.5
European Union - 15 countries (1995-2004),2009,38.7
European Union - 25 countries (2004-2006),2009,38.3
European Union - 28 countries,2009,38.2
Finland,2009,41
France,2009,44
Croatia,2009,36.4
Hungary,2009,38.8
Ireland,2009,28.8
Iceland,2009,31.3
Italy,2009,41.8
Lithuania,2009,30.4
Luxembourg,2009,39.7
Latvia,2009,27.9
Malta,2009,33.6
Netherlands,2009,35.4
Norway,2009,41.2
Poland,2009,32
Portugal,2009,33.4
Romania,2009,26
Serbia,2009,37.5
Sweden,2009,44.5
Slovenia,2009,36.6
Slovakia,2009,28.8
United Kingdom,2009,33.5
Austria,2008,42.2
Belgium,2008,45.1
Bulgaria,2008,30.5
Switzerland,2008,26.7
Cyprus,2008,34.4
Czechia,2008,33
Germany (until 1990 former territory of the FRG),2008,39
Denmark,2008,45.8
Euro area (11 countries),2008,39.7
Euro area (12 countries),2008,39.6
Euro area (13 countries),2008,39.6
Euro area (15 countries),2008,39.5
Euro area (16 countries),2008,39.5
Euro area (17 countries),2008,39.5
Euro area (18 countries),2008,39.4
Euro area (19 countries),2008,39.4
Estonia,2008,31.4
Greece,2008,33.6
Spain,2008,32.8
European Union - 15 countries (1995-2004),2008,39.2
European Union - 25 countries (2004-2006),2008,38.9
European Union - 28 countries,2008,38.7
Finland,2008,41.2
France,2008,44.3
Croatia,2008,36.8
Hungary,2008,39.3
Ireland,2008,30.3
Iceland,2008,34.6
Italy,2008,41.3
Lithuania,2008,30.6
Luxembourg,2008,38
Latvia,2008,28.3
Malta,2008,33.2
Netherlands,2008,36.1
Norway,2008,41.4
Poland,2008,34.9
Portugal,2008,34.8
Romania,2008,27.4
Serbia,2008,38.8
Sweden,2008,44.3
Slovenia,2008,36.6
Slovakia,2008,28.9
United Kingdom,2008,35.7
Austria,2007,41.4
Belgium,2007,44.5
Bulgaria,2007,31.4
Switzerland,2007,26.3
Cyprus,2007,35.7
Czechia,2007,34.3
Germany (until 1990 former territory of the FRG),2007,38.7
Denmark,2007,47.5
Euro area (11 countries),2007,40.2
Euro area (12 countries),2007,40
Euro area (13 countries),2007,40
Euro area (15 countries),2007,40
Euro area (16 countries),2007,39.9
Euro area (17 countries),2007,39.9
Euro area (18 countries),2007,39.9
Euro area (19 countries),2007,39.8
Estonia,2007,31.2
Greece,2007,33.4
Spain,2007,37
European Union - 15 countries (1995-2004),2007,39.3
European Union - 25 countries (2004-2006),2007,39.1
European Union - 28 countries,2007,38.9
Finland,2007,41.5
France,2007,44.4
Croatia,2007,37.1
Hungary,2007,39.2
Ireland,2007,32
Iceland,2007,38.7
Italy,2007,41.5
Lithuania,2007,30.1
Luxembourg,2007,37.4
Latvia,2007,28.4
Malta,2007,33.9
Netherlands,2007,35.8
Norway,2007,42.1
Poland,2007,35.4
Portugal,2007,34.9
Romania,2007,28.7
Serbia,2007,39.7
Sweden,2007,45.3
Slovenia,2007,37.1
Slovakia,2007,29
United Kingdom,2007,34.9
Austria,2006,41.4
Belgium,2006,44.8
Bulgaria,2006,29.9
Switzerland,2006,26.5
Cyprus,2006,31.8
Czechia,2006,33.8
Germany (until 1990 former territory of the FRG),2006,38.6
Denmark,2006,47.6
Euro area (11 countries),2006,40.1
Euro area (12 countries),2006,39.9
Euro area (13 countries),2006,39.9
Euro area (15 countries),2006,39.8
Euro area (16 countries),2006,39.8
Euro area (17 countries),2006,39.8
Euro area (18 countries),2006,39.8
Euro area (19 countries),2006,39.7
Estonia,2006,30.5
Greece,2006,32.5
Spain,2006,36.5
European Union - 15 countries (1995-2004),2006,39.3
European Union - 25 countries (2004-2006),2006,39
European Union - 28 countries,2006,38.9
Finland,2006,42.2
France,2006,45
Croatia,2006,36.9
Hungary,2006,36.4
Ireland,2006,32.6
Iceland,2006,40.2
Italy,2006,40.2
Lithuania,2006,30.2
Luxembourg,2006,37.1
Latvia,2006,28.8
Malta,2006,33.1
Netherlands,2006,36.3
Norway,2006,42.9
Poland,2006,34.5
Portugal,2006,34.7
Romania,2006,29
Serbia,2006,40.1
Sweden,2006,46.2
