country,poverty rate after soc. transfer (%),year
Austria,13,1995
Austria,14,1996
Austria,13,1997
Austria,13,1998
Austria,12,1999
Austria,12,2000
Austria,12,2001
Austria,13.2,2003
Austria,13,2004
Austria,12.6,2005
Austria,12.6,2006
Austria,12,2007
Austria,15.2,2008
Austria,14.5,2009
Austria,14.7,2010
Austria,14.5,2011
Austria,14.4,2012
Austria,14.4,2013
Austria,14.1,2014
Austria,13.9,2015
Austria,14.1,2016
Austria,14.4,2017
Austria,14.3,2018
Belgium,16,1995
Belgium,15,1996
Belgium,14,1997
Belgium,14,1998
Belgium,13,1999
Belgium,13,2000
Belgium,13,2001
Belgium,15.4,2003
Belgium,14.3,2004
Belgium,14.8,2005
Belgium,14.7,2006
Belgium,15.2,2007
Belgium,14.7,2008
Belgium,14.6,2009
Belgium,14.6,2010
Belgium,15.3,2011
Belgium,15.3,2012
Belgium,15.1,2013
Belgium,15.5,2014
Belgium,14.9,2015
Belgium,15.5,2016
Belgium,15.9,2017
Belgium,16.4,2018
Bulgaria,14,2000
Bulgaria,16,2001
Bulgaria,14,2002
Bulgaria,18.4,2006
Bulgaria,22,2007
Bulgaria,21.4,2008
Bulgaria,21.8,2009
Bulgaria,20.7,2010
Bulgaria,22.2,2011
Bulgaria,21.2,2012
Bulgaria,21,2013
Bulgaria,21.8,2014
Bulgaria,22,2015
Bulgaria,22.9,2016
Bulgaria,23.4,2017
Bulgaria,22,2018
Croatia,20.6,2010
Croatia,20.9,2011
Croatia,20.4,2012
Croatia,19.5,2013
Croatia,19.4,2014
Croatia,20,2015
Croatia,19.5,2016
Croatia,20,2017
Croatia,19.4,2018
Cyprus,16.1,2005
Cyprus,15.6,2006
Cyprus,15.5,2007
Cyprus,15.9,2008
Cyprus,15.8,2009
Cyprus,15.6,2010
Cyprus,14.8,2011
Cyprus,14.7,2012
Cyprus,15.3,2013
Cyprus,14.4,2014
Cyprus,16.2,2015
Cyprus,16.1,2016
Cyprus,15.7,2017
Czechia,8,2001
Czechia,10.4,2005
Czechia,9.9,2006
Czechia,9.6,2007
Czechia,9,2008
Czechia,8.6,2009
Czechia,9,2010
Czechia,9.8,2011
Czechia,9.6,2012
Czechia,8.6,2013
Czechia,9.7,2014
Czechia,9.7,2015
Czechia,9.7,2016
Czechia,9.1,2017
Czechia,9.6,2018
Denmark,10,1995
Denmark,10,1997
Denmark,10,1999
Denmark,10,2001
Denmark,11.7,2003
Denmark,10.9,2004
Denmark,11.8,2005
Denmark,11.7,2006
Denmark,11.7,2007
Denmark,11.8,2008
Denmark,13.1,2009
Denmark,13.3,2010
Denmark,12.1,2011
Denmark,12,2012
Denmark,11.9,2013
Denmark,12.1,2014
Denmark,12.2,2015
Denmark,11.9,2016
Denmark,12.4,2017
Denmark,12.8,2018
Estonia,18,2000
Estonia,18,2001
Estonia,18,2002
Estonia,20.2,2004
Estonia,18.3,2005
Estonia,18.3,2006
Estonia,19.4,2007
Estonia,19.5,2008
Estonia,19.7,2009
Estonia,15.8,2010
Estonia,17.5,2011
Estonia,17.5,2012
Estonia,18.6,2013
Estonia,21.8,2014
Estonia,21.6,2015
Estonia,21.7,2016
Estonia,21,2017
Estonia,21.9,2018
Euro area (18 countries),15.4,2005
Euro area (18 countries),15.5,2006
Euro area (18 countries),16.1,2007
Euro area (18 countries),16,2008
Euro area (18 countries),16.1,2009
Euro area (18 countries),16.3,2010
Euro area (18 countries),16.8,2011
Euro area (18 countries),16.8,2012
Euro area (18 countries),16.7,2013
Euro area (18 countries),17.1,2014
Euro area (18 countries),17.2,2015
Euro area (18 countries),17.4,2016
Euro area (18 countries),17,2017
Euro area (19 countries),15.5,2005
Euro area (19 countries),15.6,2006
Euro area (19 countries),16.1,2007
Euro area (19 countries),16.1,2008
Euro area (19 countries),16.2,2009
Euro area (19 countries),16.3,2010
Euro area (19 countries),16.8,2011
Euro area (19 countries),16.9,2012
Euro area (19 countries),16.7,2013
Euro area (19 countries),17.1,2014
Euro area (19 countries),17.2,2015
Euro area (19 countries),17.4,2016
Euro area (19 countries),17,2017
European Union - 27 countries (2007-2013),16.5,2005
European Union - 27 countries (2007-2013),16.5,2006
European Union - 27 countries (2007-2013),16.6,2007
European Union - 27 countries (2007-2013),16.6,2008
European Union - 27 countries (2007-2013),16.4,2009
European Union - 27 countries (2007-2013),16.5,2010
European Union - 27 countries (2007-2013),16.8,2011
European Union - 27 countries (2007-2013),16.8,2012
European Union - 27 countries (2007-2013),16.7,2013
European Union - 27 countries (2007-2013),17.2,2014
European Union - 27 countries (2007-2013),17.3,2015
European Union - 27 countries (2007-2013),17.3,2016
European Union - 27 countries (2007-2013),16.9,2017
European Union - 28 countries,16.5,2010
European Union - 28 countries,16.9,2011
European Union - 28 countries,16.8,2012
European Union - 28 countries,16.7,2013
European Union - 28 countries,17.2,2014
European Union - 28 countries,17.3,2015
European Union - 28 countries,17.3,2016
European Union - 28 countries,16.9,2017
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",16,2005
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",16.1,2006
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",16.6,2007
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",16.6,2008
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",16.4,2009
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",16.5,2010
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",16.9,2011
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",16.8,2012
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",16.7,2013
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",17.2,2014
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",17.3,2015
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",17.3,2016
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",16.9,2017
Finland,8,1996
Finland,8,1997
Finland,9,1998
Finland,11,1999
Finland,11,2000
Finland,11,2001
Finland,11,2002
Finland,11,2004
Finland,11.7,2005
Finland,12.6,2006
Finland,13,2007
Finland,13.6,2008
Finland,13.8,2009
Finland,13.1,2010
Finland,13.7,2011
Finland,13.2,2012
Finland,11.8,2013
Finland,12.8,2014
Finland,12.4,2015
Finland,11.6,2016
Finland,11.5,2017
Finland,12,2018
France,15,1995
France,15,1996
France,15,1997
France,15,1998
France,15,1999
France,16,2000
France,13,2001
France,12,2002
France,13.5,2004
France,13,2005
France,13.2,2006
France,13.1,2007
France,12.5,2008
France,12.9,2009
France,13.3,2010
France,14,2011
France,14.1,2012
France,13.7,2013
France,13.3,2014
France,13.6,2015
France,13.6,2016
France,13.3,2017
Germany (until 1990 former territory of the FRG),15,1995
Germany (until 1990 former territory of the FRG),14,1996
Germany (until 1990 former territory of the FRG),12,1997
